Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,13.5,5.0,0.0,26.4
2022-01-02,14.3,2.4,0.0,15.2
2022-01-03,14.6,0.1,0.0,15.3
2022-01-04,14.9,3.0,0.0,8.9
2022-01-05,20.6,8.0,0.0,21.4
2022-01-06,20.4,6.9,0.0,14.4
2022-01-07,14.8,6.2,0.0,7.2
2022-01-08,14.7,6.8,0.0,7.3
2022-01-09,20.1,6.1,0.0,13.9
2022-01-10,19.4,9.6,0.0,18.9
2022-01-11,21.4,9.6,0.0,20.2
2022-01-12,21.6,9.2,0.0,16.5
2022-01-13,20.9,10.1,0.0,12.8
2022-01-14,23.6,6.7,0.0,13.0
2022-01-15,16.2,11.3,3.9,17.4
2022-01-16,20.7,9.4,0.0,13.4
2022-01-17,14.3,10.0,7.2,8.6
2022-01-18,16.3,8.5,0.1,12.8
2022-01-19,16.0,7.7,0.0,10.6
2022-01-20,22.8,7.8,0.0,15.3
2022-01-21,21.1,5.4,0.0,23.4
2022-01-22,18.5,10.8,0.0,24.6
2022-01-23,21.8,11.0,0.0,21.4
2022-01-24,20.7,7.2,0.0,17.1
2022-01-25,17.9,5.7,0.0,8.4
2022-01-26,20.3,6.8,0.0,12.5
2022-01-27,20.5,5.4,0.0,14.7
2022-01-28,21.5,9.3,0.0,18.1
2022-01-29,19.8,8.3,0.0,15.8
2022-01-30,21.2,6.8,0.0,18.9
2022-01-31,16.8,6.4,0.0,8.6
2022-02-01,16.4,6.9,0.0,15.8
2022-02-02,17.4,8.1,0.0,23.4
2022-02-03,17.7,6.3,0.0,19.9
2022-02-04,19.7,7.2,0.0,19.8
2022-02-05,21.4,8.4,0.0,16.9
2022-02-06,25.6,9.8,0.0,19.1
2022-02-07,24.7,11.6,0.0,17.7
2022-02-08,25.8,10.3,0.0,19.7
2022-02-09,29.3,15.3,0.0,19.8
2022-02-10,27.9,17.8,0.0,29.1
2022-02-11,29.0,14.7,0.0,15.3
2022-02-12,29.9,13.4,0.0,18.1
2022-02-13,28.9,10.7,0.0,16.5
2022-02-14,25.2,7.0,0.0,12.0
2022-02-15,14.6,7.5,2.3,20.7
2022-02-16,16.5,5.7,0.0,12.6
2022-02-17,20.5,6.0,0.0,19.1
2022-02-18,22.2,4.4,0.0,15.4
2022-02-19,23.6,5.4,0.0,13.3
2022-02-20,17.4,8.0,0.0,10.9
2022-02-21,14.6,8.0,0.5,13.2
2022-02-22,14.0,6.4,0.1,22.9
2022-02-23,11.2,3.2,0.6,21.4
2022-02-24,14.7,2.9,0.0,16.9
2022-02-25,16.9,2.6,0.0,14.5
2022-02-26,20.2,4.8,0.0,14.8
2022-02-27,23.6,7.7,0.0,17.3
2022-02-28,28.5,14.1,0.0,24.6
2022-03-01,30.8,14.7,0.0,20.6
2022-03-02,27.8,7.0,0.0,10.7
2022-03-03,20.7,9.0,0.1,12.3
2022-03-04,16.6,8.1,7.5,17.7
2022-03-05,14.3,6.1,0.2,14.5
2022-03-06,15.8,4.2,0.0,13.0
2022-03-07,20.6,4.3,0.0,19.2
2022-03-08,20.6,7.8,0.0,17.9
2022-03-09,19.0,5.8,0.0,12.4
2022-03-10,21.8,7.3,0.3,22.2
2022-03-11,22.3,10.3,0.0,21.5
2022-03-12,24.5,8.1,0.0,16.6
2022-03-13,20.8,7.9,0.0,13.9
2022-03-14,24.6,7.6,0.0,9.8
2022-03-15,24.8,9.0,0.0,17.2
2022-03-16,25.3,14.8,0.0,27.5
2022-03-17,26.0,14.6,0.0,19.8
2022-03-18,25.5,13.1,0.0,17.6
2022-03-19,18.7,10.2,0.0,13.8
2022-03-20,21.5,8.2,0.4,25.1
2022-03-21,24.8,13.2,0.0,26.1
2022-03-22,29.5,14.3,0.0,17.2
2022-03-23,28.5,13.2,0.0,15.9
2022-03-24,28.6,12.5,0.0,13.5
2022-03-25,28.1,12.1,0.0,10.6
2022-03-26,24.2,9.5,0.0,10.6
2022-03-27,17.9,9.1,0.1,15.7
2022-03-28,14.2,9.3,37.0,23.3
2022-03-29,19.1,7.6,0.1,12.0
2022-03-30,18.8,8.4,0.0,14.8
2022-03-31,15.6,9.3,1.0,11.2
2022-04-01,18.9,9.2,0.0,11.0
2022-04-02,18.6,9.3,0.3,13.9
2022-04-03,17.6,9.4,0.0,13.2
2022-04-04,22.2,8.2,0.0,13.4
2022-04-05,29.5,12.6,0.0,25.6
2022-04-06,33.0,12.5,0.0,15.2
2022-04-07,34.5,16.1,0.0,15.1
2022-04-08,35.3,20.7,0.0,20.6
2022-04-09,27.6,12.8,0.0,13.9
2022-04-10,21.0,11.9,0.1,15.1
2022-04-11,18.1,11.1,0.3,16.0
2022-04-12,19.1,8.0,0.0,29.7
2022-04-13,20.9,9.0,0.0,23.4
2022-04-14,20.2,7.6,0.0,16.3
2022-04-15,20.4,7.8,0.0,16.3
2022-04-16,20.6,10.0,0.0,18.8
2022-04-17,22.2,8.8,0.0,13.4
2022-04-18,23.8,8.9,0.0,11.6
2022-04-19,23.8,11.0,0.0,15.8
2022-04-20,20.6,10.4,0.0,13.7
2022-04-21,18.7,7.4,1.0,19.6
2022-04-22,18.7,9.1,7.5,18.4
2022-04-23,25.4,8.1,0.0,23.5
2022-04-24,29.2,14.7,0.0,20.9
2022-04-25,31.3,14.2,0.0,16.1
2022-04-26,25.8,12.9,0.0,11.3
2022-04-27,21.3,10.6,0.1,13.1
2022-04-28,19.1,10.6,0.0,16.3
2022-04-29,24.4,7.7,0.0,15.2
2022-04-30,26.0,8.8,0.0,16.1
2022-05-01,20.8,10.7,0.0,14.5
2022-05-02,21.8,9.5,0.0,14.5
2022-05-03,20.4,10.5,0.0,14.1
2022-05-04,28.3,10.4,0.0,12.9
2022-05-05,25.5,10.7,0.0,12.6
2022-05-06,26.0,10.5,0.0,15.8
2022-05-07,23.2,10.8,0.0,14.5
2022-05-08,20.4,10.8,0.0,13.2
2022-05-09,19.3,9.3,0.0,22.6
2022-05-10,19.4,8.5,0.0,18.1
2022-05-11,20.4,9.7,0.0,20.9
2022-05-12,27.2,13.3,0.0,21.9
2022-05-13,32.0,16.9,0.0,24.8
2022-05-14,33.8,17.0,0.0,14.3
2022-05-15,31.2,14.4,0.0,15.7
