Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.2,23.7,0.2,20.2
2022-01-02,28.3,23.6,4.1,20.4
2022-01-03,28.6,23.4,1.1,19.7
2022-01-04,27.9,23.6,4.5,16.3
2022-01-05,28.6,23.2,0.4,20.2
2022-01-06,31.1,22.6,0.2,22.9
2022-01-07,30.2,23.5,0.7,20.5
2022-01-08,29.7,24.1,0.0,26.2
2022-01-09,29.4,24.0,0.2,22.8
2022-01-10,29.6,23.9,0.0,22.4
2022-01-11,29.1,22.6,0.0,23.4
2022-01-12,28.5,23.0,0.1,18.9
2022-01-13,28.5,22.5,2.1,12.7
2022-01-14,29.1,22.0,0.0,18.9
2022-01-15,28.3,22.3,0.0,18.4
2022-01-16,29.0,22.5,0.0,20.0
2022-01-17,28.5,21.1,0.0,24.5
2022-01-18,28.8,20.4,0.0,24.1
2022-01-19,29.4,21.3,0.0,23.2
2022-01-20,28.9,21.8,0.0,24.5
2022-01-21,29.1,21.6,0.0,27.2
2022-01-22,30.0,21.4,0.0,27.7
2022-01-23,28.8,20.5,0.0,22.3
2022-01-24,28.8,20.6,0.0,23.3
2022-01-25,27.9,22.9,1.1,21.0
2022-01-26,27.9,23.3,2.7,11.2
2022-01-27,28.2,23.2,0.0,15.5
2022-01-28,28.7,23.0,0.1,17.1
2022-01-29,29.0,22.8,0.1,19.9
2022-01-30,29.4,23.4,0.1,21.3
2022-01-31,29.5,23.6,0.8,21.7
2022-02-01,30.3,23.0,0.0,26.7
2022-02-02,30.8,22.4,0.2,29.8
2022-02-03,28.7,23.1,0.0,21.4
2022-02-04,29.5,22.4,0.0,21.6
2022-02-05,29.4,22.3,0.0,22.6
2022-02-06,29.8,23.5,0.0,24.5
2022-02-07,29.8,22.1,0.0,24.5
2022-02-08,30.2,22.2,0.0,23.8
2022-02-09,29.7,21.1,0.0,21.5
2022-02-10,29.9,22.6,0.0,23.0
2022-02-11,30.8,22.8,0.0,19.1
2022-02-12,29.8,21.8,0.0,22.0
2022-02-13,29.7,22.6,0.0,20.5
2022-02-14,30.7,24.3,0.0,21.2
2022-02-15,30.4,22.4,0.0,20.2
2022-02-16,29.9,24.8,0.0,19.7
2022-02-17,28.8,24.1,0.0,13.2
