Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,16.1,1.9,0.0,10.7
2022-01-02,14.0,1.2,0.0,7.4
2022-01-03,13.6,1.1,0.0,9.5
2022-01-04,12.9,3.5,7.5,25.9
2022-01-05,9.8,4.3,5.3,20.2
2022-01-06,7.8,1.2,0.0,8.3
2022-01-07,10.5,-0.5,0.0,18.9
2022-01-08,9.6,-2.7,0.0,14.4
2022-01-09,12.8,2.9,0.0,24.9
2022-01-10,15.0,8.3,0.2,17.2
2022-01-11,15.8,5.9,0.0,18.8
2022-01-12,11.6,2.7,0.0,19.1
2022-01-13,9.3,-2.3,0.0,12.2
2022-01-14,7.9,-3.0,0.0,10.3
2022-01-15,7.4,-3.5,0.0,9.3
2022-01-16,8.2,-3.2,0.0,7.2
2022-01-17,9.6,-2.5,0.0,10.2
2022-01-18,11.0,-2.6,0.0,8.8
2022-01-19,10.8,-3.7,0.0,8.8
2022-01-20,12.2,-1.8,0.0,16.2
2022-01-21,9.3,-1.3,0.0,16.4
2022-01-22,8.7,-2.3,0.0,16.5
2022-01-23,9.6,-1.5,0.0,13.4
2022-01-24,10.5,-0.4,0.0,11.4
2022-01-25,10.9,1.2,0.2,12.6
2022-01-26,11.2,-1.7,0.0,13.2
2022-01-27,13.1,-1.5,0.0,11.6
2022-01-28,14.1,-1.6,0.0,13.5
2022-01-29,15.1,-2.1,0.0,13.6
2022-01-30,15.2,-1.7,0.0,9.9
2022-01-31,14.9,-3.5,0.0,19.2
2022-02-01,16.4,4.7,0.0,27.2
2022-02-02,18.9,2.8,0.0,15.8
2022-02-03,17.9,-0.0,0.0,15.8
2022-02-04,14.6,4.0,0.0,8.5
2022-02-05,15.2,5.8,0.0,22.4
2022-02-06,14.3,0.6,0.0,18.8
2022-02-07,17.2,0.2,0.0,19.3
2022-02-08,16.7,2.1,0.0,17.9
2022-02-09,15.1,1.0,0.0,9.2
2022-02-10,16.5,-0.6,0.0,10.5
2022-02-11,17.4,2.5,0.0,16.7
2022-02-12,15.0,2.6,0.0,8.7
2022-02-13,14.6,4.9,0.7,26.9
2022-02-14,12.5,3.7,0.9,22.5
2022-02-15,13.6,-0.4,0.0,17.1
2022-02-16,15.4,3.7,0.0,18.8
2022-02-17,17.3,2.0,0.0,8.7
2022-02-18,18.6,1.9,0.0,12.6
2022-02-19,12.9,6.9,0.3,26.4
2022-02-20,15.2,-1.6,0.0,13.1
2022-02-21,18.2,2.4,0.0,15.8
2022-02-22,20.3,1.8,0.0,13.4
2022-02-23,18.5,2.7,0.0,13.9
2022-02-24,17.6,2.0,0.0,13.4
2022-02-25,11.5,6.6,4.1,19.5
2022-02-26,9.6,5.8,1.4,19.4
2022-02-27,13.2,6.9,0.6,9.0
2022-02-28,16.7,3.6,0.0,9.8
2022-03-01,17.6,1.7,0.0,12.5
2022-03-02,16.9,7.4,0.4,23.3
2022-03-03,10.4,3.0,14.4,27.2
2022-03-04,13.1,5.1,2.2,26.8
2022-03-05,10.4,0.6,0.0,13.0
2022-03-06,10.9,1.3,0.0,18.3
2022-03-07,11.3,4.6,16.5,17.6
2022-03-08,12.2,3.4,1.1,18.2
2022-03-09,13.6,2.4,0.1,12.0
2022-03-10,14.2,3.6,3.6,17.4
2022-03-11,13.6,7.0,8.8,20.6
2022-03-12,13.0,3.1,1.8,25.9
2022-03-13,13.4,4.7,9.5,17.7
2022-03-14,12.3,5.1,13.4,24.2
2022-03-15,18.8,7.8,0.6,20.6
2022-03-16,16.1,9.3,0.7,23.7
2022-03-17,13.4,8.3,1.7,32.9
2022-03-18,14.0,6.2,0.0,18.4
2022-03-19,12.8,5.3,0.0,13.8
2022-03-20,14.0,5.8,0.7,23.0
2022-03-21,15.0,8.3,12.7,20.9
2022-03-22,12.8,7.9,27.7,27.6
2022-03-23,11.8,6.5,4.1,20.9
2022-03-24,12.8,6.2,6.6,21.0
2022-03-25,14.0,7.7,6.2,18.0
2022-03-26,13.7,6.9,1.9,17.4
2022-03-27,15.1,7.1,0.2,16.7
2022-03-28,16.9,4.5,0.1,14.7
2022-03-29,15.3,7.6,7.8,11.2
2022-03-30,12.5,8.3,3.7,16.9
2022-03-31,14.1,4.5,0.4,17.6
2022-04-01,10.1,2.8,0.2,22.8
2022-04-02,10.2,-1.5,0.0,19.7
2022-04-03,10.1,-1.8,0.0,21.3
2022-04-04,11.5,-1.4,0.0,23.8
2022-04-05,8.3,1.6,0.2,15.8
2022-04-06,15.5,3.3,0.0,18.3
2022-04-07,18.8,5.3,0.0,19.8
2022-04-08,15.5,5.8,0.0,24.0
2022-04-09,16.8,9.0,0.4,17.8
2022-04-10,22.0,8.4,0.3,21.5
2022-04-11,21.7,7.3,0.8,25.0
2022-04-12,16.4,6.3,3.9,21.3
2022-04-13,18.6,4.5,0.1,17.9
2022-04-14,20.8,8.4,0.0,14.1
2022-04-15,23.3,8.5,0.0,10.6
2022-04-16,26.7,9.6,0.0,17.2
2022-04-17,26.3,9.1,0.0,12.0
2022-04-18,25.8,11.2,0.0,16.1
2022-04-19,18.9,8.3,1.2,31.5
2022-04-20,13.2,2.8,19.7,30.6
2022-04-21,16.1,5.1,0.0,17.6
2022-04-22,10.4,6.9,19.9,24.1
2022-04-23,11.8,4.9,3.0,31.5
2022-04-24,17.1,3.8,0.0,13.4
2022-04-25,19.2,5.0,0.0,10.2
2022-04-26,20.7,8.3,0.4,13.0
2022-04-27,15.9,10.2,10.1,14.7
2022-04-28,15.6,8.7,1.6,19.8
2022-04-29,22.3,8.4,0.0,12.8
2022-04-30,23.1,9.0,0.3,10.2
2022-05-01,24.1,10.2,0.3,16.9
2022-05-02,17.4,10.5,4.5,17.0
2022-05-03,17.3,9.4,6.4,23.0
2022-05-04,19.9,9.0,0.1,20.9
2022-05-05,22.6,8.2,0.0,13.7
2022-05-06,23.3,7.6,0.0,17.6
2022-05-07,23.7,9.2,0.0,16.4
2022-05-08,26.1,10.2,0.0,12.5
2022-05-09,27.0,10.9,0.0,16.8
2022-05-10,28.2,11.8,0.0,10.4
2022-05-11,29.6,14.0,0.0,15.0
2022-05-12,27.4,14.7,0.0,13.4
2022-05-13,29.6,13.4,0.0,12.3
2022-05-14,28.6,15.8,0.8,15.0
2022-05-15,24.0,14.7,0.2,21.1
2022-05-16,25.3,12.7,0.0,15.3
2022-05-17,27.9,13.6,0.0,15.6
2022-05-18,31.6,13.8,0.0,15.8
2022-05-19,34.7,16.2,0.0,31.1
2022-05-20,33.0,17.5,0.0,22.5
2022-05-21,34.0,16.4,0.0,17.9
2022-05-22,28.1,18.2,0.0,29.1
2022-05-23,27.6,14.8,0.0,17.9
2022-05-24,22.9,13.1,0.0,28.6
2022-05-25,22.4,9.1,0.0,23.1
2022-05-26,26.7,9.9,0.0,21.1
2022-05-27,31.0,13.7,0.0,20.4
2022-05-28,32.3,15.1,0.0,14.8
2022-05-29,30.3,16.6,0.0,20.2
2022-05-30,22.9,15.5,0.0,23.1
2022-05-31,29.9,13.6,0.0,19.1
2022-06-01,29.1,17.3,0.0,20.9
2022-06-02,27.4,15.7,0.0,17.5
2022-06-03,27.8,17.0,0.0,22.5
2022-06-04,26.1,15.0,0.0,25.2
2022-06-05,28.5,13.3,0.0,13.4
2022-06-06,30.7,15.1,0.0,19.7
2022-06-07,31.9,16.7,0.0,21.1
2022-06-08,29.0,18.5,0.0,23.7
2022-06-09,32.8,18.4,0.0,14.6
2022-06-10,35.1,18.5,0.0,21.0
2022-06-11,34.0,20.8,0.0,17.5
2022-06-12,35.8,20.6,0.0,22.3
2022-06-13,37.6,20.5,0.0,13.8
2022-06-14,39.9,21.4,0.0,26.2
2022-06-15,38.6,21.8,0.0,24.4
2022-06-16,37.0,22.0,0.4,24.7
2022-06-17,39.0,20.9,0.0,21.4
2022-06-18,39.6,21.2,0.0,31.4
2022-06-19,30.0,17.9,0.0,27.4
2022-06-20,27.1,17.3,0.0,23.3
2022-06-21,27.5,14.2,0.0,24.0
2022-06-22,22.6,14.2,0.2,19.9
2022-06-23,23.6,14.7,1.8,23.9
2022-06-24,26.4,13.4,0.1,20.4
2022-06-25,27.8,15.1,0.0,26.2
2022-06-26,27.1,14.3,0.0,18.7
2022-06-27,28.5,15.5,0.0,22.2
2022-06-28,30.6,14.3,0.0,18.5
2022-06-29,31.6,16.5,0.0,22.1
2022-06-30,30.0,17.9,0.0,17.7
2022-07-01,32.2,14.9,0.0,25.5
2022-07-02,34.3,19.7,0.0,13.7
2022-07-03,33.9,21.7,0.0,22.1
2022-07-04,34.2,21.0,0.0,16.3
2022-07-05,36.6,19.0,0.0,20.1
2022-07-06,29.2,19.3,6.0,20.1
2022-07-07,32.4,17.5,0.0,25.5
2022-07-08,34.9,17.9,0.0,22.6
2022-07-09,36.7,20.0,0.0,21.6
2022-07-10,38.4,21.0,0.0,17.3
2022-07-11,37.3,22.1,0.0,15.3
2022-07-12,38.0,22.3,0.0,15.1
2022-07-13,39.7,23.0,0.0,11.0
2022-07-14,41.1,24.3,0.0,21.1
2022-07-15,39.9,23.3,0.0,19.4
2022-07-16,39.5,23.7,0.0,14.5
2022-07-17,39.7,24.3,0.0,17.9
2022-07-18,40.1,23.9,0.0,28.9
2022-07-19,33.7,23.0,0.0,20.7
2022-07-20,36.3,20.0,0.0,13.4
2022-07-21,37.7,22.0,0.0,15.0
2022-07-22,37.7,23.4,0.0,21.4
2022-07-23,38.4,20.5,0.0,18.3
2022-07-24,39.5,22.1,0.0,32.0
2022-07-25,37.3,22.8,0.0,22.5
2022-07-26,35.9,20.5,0.0,19.3
2022-07-27,35.3,20.8,0.0,23.0
2022-07-28,35.6,21.8,0.0,22.0
2022-07-29,36.4,21.9,0.0,17.6
2022-07-30,36.8,21.5,0.0,27.2
2022-07-31,35.9,23.0,0.0,12.8
2022-08-01,38.1,23.8,0.0,15.9
2022-08-02,34.7,24.1,1.0,15.4
2022-08-03,38.2,22.5,1.0,16.8
2022-08-04,36.9,21.9,0.0,15.3
2022-08-05,36.6,22.5,0.0,16.3
2022-08-06,36.4,22.6,0.0,13.6
2022-08-07,36.3,22.6,0.0,12.6
2022-08-08,36.5,20.9,0.0,14.7
2022-08-09,37.3,22.3,0.0,14.0
2022-08-10,36.6,23.9,0.0,27.8
2022-08-11,35.3,23.3,0.0,18.6
2022-08-12,36.8,22.3,0.0,19.7
2022-08-13,29.8,22.1,3.2,32.2
2022-08-14,31.7,17.7,0.0,23.2
2022-08-15,31.0,16.2,0.0,16.4
2022-08-16,29.1,18.7,0.0,27.8
2022-08-17,27.5,15.7,1.4,18.0
2022-08-18,29.2,14.4,0.0,19.4
2022-08-19,30.8,15.4,0.0,18.0
2022-08-20,34.1,17.2,0.0,14.4
2022-08-21,36.5,18.4,0.0,22.9
2022-08-22,35.7,20.5,0.0,19.5
