Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.7,22.3,0.1,20.0
2022-01-02,28.4,21.4,0.0,18.4
2022-01-03,29.4,22.0,0.0,19.6
2022-01-04,29.1,22.6,0.0,19.5
2022-01-05,30.4,21.8,0.0,18.2
2022-01-06,28.7,22.4,1.3,15.4
2022-01-07,30.1,21.9,0.0,11.4
2022-01-08,29.7,22.1,1.8,8.9
2022-01-09,29.3,22.2,0.4,7.3
2022-01-10,29.5,22.5,0.0,11.2
2022-01-11,29.8,23.2,0.2,18.0
2022-01-12,28.5,21.7,1.7,13.7
2022-01-13,28.1,22.4,1.7,12.8
2022-01-14,29.1,21.9,0.4,17.2
2022-01-15,29.7,21.4,0.0,22.3
2022-01-16,30.4,20.6,0.0,22.0
2022-01-17,29.4,21.2,0.0,17.9
2022-01-18,30.1,20.7,0.0,17.2
2022-01-19,30.5,22.7,0.9,11.4
2022-01-20,30.3,23.1,4.3,18.5
2022-01-21,29.5,22.9,1.2,15.5
2022-01-22,30.7,22.6,1.1,18.5
2022-01-23,31.0,23.4,1.8,17.2
2022-01-24,29.9,23.2,0.9,12.5
2022-01-25,32.1,22.8,0.0,16.0
2022-01-26,30.2,24.4,3.4,11.4
2022-01-27,31.7,24.0,3.2,21.1
2022-01-28,32.6,24.0,0.1,17.6
2022-01-29,31.6,23.4,0.7,19.2
2022-01-30,29.4,25.0,8.4,24.1
2022-01-31,31.8,24.6,0.0,15.1
2022-02-01,31.0,23.4,2.8,15.9
2022-02-02,31.4,22.8,0.0,17.0
2022-02-03,29.6,23.6,2.1,11.6
2022-02-04,32.1,22.5,0.0,16.8
2022-02-05,30.7,23.0,0.0,18.4
2022-02-06,31.2,23.6,0.0,23.4
2022-02-07,30.1,23.4,5.1,20.0
2022-02-08,32.1,22.8,0.5,15.5
2022-02-09,31.9,23.3,0.9,17.0
2022-02-10,32.6,22.7,0.0,18.9
2022-02-11,32.6,22.7,0.0,19.2
2022-02-12,32.5,23.1,5.3,18.5
2022-02-13,30.9,24.3,1.2,17.4
2022-02-14,30.2,24.0,7.2,11.4
2022-02-15,31.6,23.4,0.1,13.9
2022-02-16,30.3,24.1,3.2,10.5
2022-02-17,30.3,24.0,0.9,20.3
2022-02-18,30.8,24.2,2.9,14.1
2022-02-19,31.5,23.6,0.9,16.9
2022-02-20,31.6,24.4,1.8,16.4
2022-02-21,32.8,24.1,0.3,20.2
2022-02-22,30.5,25.0,4.6,16.2
2022-02-23,32.1,24.2,0.4,16.6
2022-02-24,33.0,22.6,0.2,17.7
2022-02-25,32.0,24.2,0.6,19.1
2022-02-26,31.5,24.7,4.3,15.6
2022-02-27,32.5,23.1,2.1,16.6
2022-02-28,32.7,23.3,0.0,24.4
2022-03-01,34.1,23.6,0.0,24.3
2022-03-02,33.3,23.3,1.5,17.0
2022-03-03,34.1,24.4,0.6,21.2
2022-03-04,32.9,22.9,1.3,16.4
2022-03-05,32.1,24.5,0.0,23.9
2022-03-06,34.3,23.6,0.0,19.8
2022-03-07,31.6,24.2,0.0,16.0
2022-03-08,32.7,24.2,0.1,15.9
2022-03-09,32.2,24.5,0.0,19.8
2022-03-10,33.6,25.0,0.0,22.0
2022-03-11,32.9,25.0,2.9,10.8
2022-03-12,33.0,25.2,3.7,18.7
2022-03-13,31.8,24.2,6.2,17.7
2022-03-14,31.8,25.3,7.0,6.8
2022-03-15,33.0,24.4,3.8,8.3
2022-03-16,32.4,24.9,4.2,14.2
2022-03-17,33.6,24.7,4.5,19.3
2022-03-18,33.2,25.5,9.0,16.2
2022-03-19,32.8,24.9,0.6,16.5
2022-03-20,34.4,25.5,0.4,15.8
2022-03-21,34.6,25.5,0.2,20.6
2022-03-22,34.9,26.0,0.0,19.3
2022-03-23,34.4,25.2,1.6,13.0
2022-03-24,35.1,25.5,0.2,19.3
2022-03-25,35.1,25.6,0.0,20.0
2022-03-26,34.4,26.5,1.2,15.6
2022-03-27,35.5,26.3,0.4,19.5
2022-03-28,35.3,25.4,0.5,21.2
2022-03-29,33.3,26.1,0.3,26.1
2022-03-30,34.6,26.1,0.2,23.4
2022-03-31,35.0,25.7,0.0,14.7
2022-04-01,34.3,25.9,1.0,16.2
2022-04-02,34.2,25.0,1.7,20.6
2022-04-03,34.5,23.4,0.0,14.8
2022-04-04,32.7,24.8,3.7,19.5
2022-04-05,30.5,25.3,2.0,13.4
2022-04-06,31.7,24.3,2.3,12.6
2022-04-07,33.0,25.3,2.4,15.6
2022-04-08,30.5,25.2,21.0,10.3
2022-04-09,32.1,25.4,1.8,13.9
2022-04-10,29.9,25.3,1.6,9.7
2022-04-11,31.5,25.3,0.2,15.8
2022-04-12,30.0,25.0,5.9,11.6
2022-04-13,30.9,24.4,4.0,19.1
2022-04-14,31.7,24.9,3.6,14.8
2022-04-15,32.4,24.3,0.8,16.5
2022-04-16,31.7,24.8,3.9,12.3
2022-04-17,28.4,24.8,12.8,14.8
2022-04-18,32.6,24.8,2.8,18.8
2022-04-19,32.3,23.8,1.4,17.6
2022-04-20,32.3,24.5,6.9,17.8
2022-04-21,32.7,24.7,1.6,13.1
2022-04-22,33.5,25.9,0.7,16.5
2022-04-23,34.2,24.9,0.0,21.3
2022-04-24,33.7,25.7,1.2,20.9
2022-04-25,33.4,26.2,1.0,17.8
2022-04-26,33.3,26.5,0.7,17.1
2022-04-27,34.3,25.9,3.3,17.4
2022-04-28,34.6,25.6,1.6,23.4
2022-04-29,34.4,26.5,3.8,20.3
2022-04-30,34.0,24.5,4.4,18.7
2022-05-01,34.6,25.9,0.0,23.4
2022-05-02,33.9,25.2,1.3,18.9
2022-05-03,34.8,25.5,0.5,16.4
2022-05-04,34.7,25.6,1.4,23.1
2022-05-05,35.9,25.2,0.2,14.1
2022-05-06,35.7,25.8,0.0,17.2
2022-05-07,35.9,26.8,1.3,19.9
2022-05-08,36.9,26.9,0.0,21.0
2022-05-09,36.2,26.8,0.8,20.8
2022-05-10,35.6,26.7,1.5,20.1
2022-05-11,35.4,26.9,0.7,19.4
2022-05-12,35.7,27.0,2.2,20.6
2022-05-13,34.9,27.2,9.2,14.0
2022-05-14,34.0,26.4,2.4,16.5
2022-05-15,33.6,25.8,5.5,15.5
2022-05-16,32.2,25.8,19.9,16.5
2022-05-17,31.1,25.6,12.3,14.5
2022-05-18,29.7,25.5,16.7,12.4
2022-05-19,30.7,24.9,12.6,16.9
2022-05-20,30.0,24.9,16.9,10.4
2022-05-21,30.4,25.0,1.0,13.5
2022-05-22,30.1,25.3,14.6,14.6
2022-05-23,31.3,25.6,7.3,12.1
2022-05-24,32.2,25.3,0.6,15.5
2022-05-25,32.3,26.6,3.5,13.2
2022-05-26,31.8,25.0,9.4,16.9
2022-05-27,32.8,25.4,4.2,13.8
2022-05-28,28.3,24.7,30.8,10.2
2022-05-29,31.2,25.0,0.3,21.4
2022-05-30,32.5,25.7,8.1,13.0
2022-05-31,30.5,24.2,9.2,16.6
2022-06-01,29.8,26.0,3.4,10.3
2022-06-02,31.0,25.3,4.3,18.2
2022-06-03,31.9,25.5,1.3,24.1
2022-06-04,32.4,25.2,0.7,12.9
2022-06-05,32.8,25.1,0.1,16.3
2022-06-06,32.4,26.2,1.2,16.1
2022-06-07,31.5,26.2,19.6,18.2
2022-06-08,31.9,24.2,19.9,13.8
2022-06-09,32.8,25.5,1.3,15.9
2022-06-10,33.0,25.6,2.1,16.3
2022-06-11,32.5,26.0,2.5,13.9
2022-06-12,31.3,25.9,10.9,14.6
2022-06-13,32.4,25.2,17.7,18.8
2022-06-14,33.6,26.1,9.2,18.3
