Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,23.0,16.0,4.2,7.8
2022-01-02,22.1,16.6,10.2,4.8
2022-01-03,25.0,15.4,0.4,8.8
2022-01-04,24.9,13.3,0.6,10.9
2022-01-05,24.2,12.7,0.3,11.9
2022-01-06,23.2,14.4,9.4,9.5
2022-01-07,20.5,16.1,4.9,4.2
2022-01-08,23.9,14.3,2.4,7.3
2022-01-09,23.0,14.3,2.9,8.4
2022-01-10,20.4,15.9,5.4,6.8
2022-01-11,21.7,16.0,5.2,6.8
2022-01-12,22.8,15.8,3.3,8.2
2022-01-13,22.3,14.0,1.5,7.6
2022-01-14,23.3,12.7,1.7,9.1
2022-01-15,25.2,14.6,0.5,12.4
2022-01-16,25.3,15.0,0.6,11.3
2022-01-17,24.2,14.5,1.5,8.8
2022-01-18,24.4,15.4,0.8,9.5
2022-01-19,27.5,15.8,0.0,10.4
2022-01-20,27.1,16.7,0.3,11.0
2022-01-21,26.2,16.2,0.5,11.2
2022-01-22,22.9,15.7,1.5,8.0
2022-01-23,26.2,14.7,0.6,9.8
2022-01-24,25.7,16.1,2.6,9.5
2022-01-25,25.1,15.4,5.5,7.6
2022-01-26,25.8,14.5,0.3,8.3
2022-01-27,24.6,14.5,0.9,8.3
2022-01-28,24.7,13.8,1.4,8.3
2022-01-29,25.1,11.4,0.0,11.3
2022-01-30,26.1,11.9,0.0,12.3
2022-01-31,26.0,12.6,0.0,11.6
2022-02-01,25.6,12.8,0.1,11.2
2022-02-02,26.9,15.0,0.0,11.4
2022-02-03,27.4,16.0,0.9,11.5
2022-02-04,23.5,15.5,2.3,9.2
2022-02-05,22.7,15.5,3.1,9.6
2022-02-06,24.4,14.5,7.6,8.8
2022-02-07,24.0,14.1,19.3,7.6
2022-02-08,21.8,15.2,16.7,6.1
2022-02-09,23.3,15.4,6.2,7.7
2022-02-10,24.7,14.5,10.4,8.4
2022-02-11,26.2,14.7,0.0,9.4
2022-02-12,25.4,15.0,1.0,11.3
2022-02-13,24.3,15.6,7.7,8.3
2022-02-14,22.7,15.2,7.8,7.2
2022-02-15,24.7,14.2,1.6,8.3
2022-02-16,25.9,14.2,1.5,10.3
2022-02-17,25.3,15.7,7.2,7.9
2022-02-18,22.8,15.5,12.0,9.0
2022-02-19,23.6,16.4,12.2,7.5
2022-02-20,23.3,15.2,3.2,8.9
2022-02-21,24.7,14.6,2.0,10.1
2022-02-22,25.5,14.3,6.6,9.2
2022-02-23,25.7,14.4,4.4,10.2
2022-02-24,25.2,14.5,8.9,9.5
2022-02-25,25.3,14.1,4.3,9.1
2022-02-26,23.4,15.5,13.8,7.9
2022-02-27,24.4,14.7,35.0,8.4
2022-02-28,21.6,16.4,13.2,6.0
2022-03-01,23.3,14.9,20.5,6.1
2022-03-02,20.7,14.9,11.5,7.6
