Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,36.7,18.2,0.2,21.9
2022-01-02,30.1,17.6,0.0,26.3
2022-01-03,20.7,16.0,0.2,26.6
2022-01-04,23.9,16.9,0.3,20.1
2022-01-05,28.6,19.0,15.6,21.3
2022-01-06,30.1,17.5,14.2,17.7
2022-01-07,26.0,18.7,4.5,17.6
2022-01-08,19.7,16.9,3.6,20.1
2022-01-09,22.1,15.7,0.0,20.3
2022-01-10,28.8,13.5,0.0,17.0
2022-01-11,28.6,17.6,0.0,26.0
2022-01-12,29.9,16.9,0.0,24.8
2022-01-13,34.1,17.1,0.5,12.2
2022-01-14,31.2,18.6,6.6,26.6
2022-01-15,22.7,17.5,3.2,20.0
2022-01-16,29.0,14.9,0.1,13.8
2022-01-17,23.6,17.4,0.2,23.8
2022-01-18,21.3,16.2,0.1,25.9
2022-01-19,26.7,14.6,0.0,30.4
2022-01-20,29.0,13.4,0.0,19.5
2022-01-21,31.0,15.7,0.0,22.4
2022-01-22,33.1,16.4,0.0,25.5
2022-01-23,33.5,17.4,0.0,21.5
2022-01-24,34.1,19.3,0.0,21.6
2022-01-25,32.8,19.3,0.0,19.6
2022-01-26,36.3,18.2,0.0,16.2
2022-01-27,32.6,23.5,1.1,30.1
2022-01-28,29.5,20.0,24.8,28.9
2022-01-29,22.0,18.7,36.4,22.6
2022-01-30,27.2,17.9,0.5,13.8
2022-01-31,32.7,18.3,0.0,14.1
2022-02-01,23.9,15.6,0.2,29.6
2022-02-02,18.8,14.9,0.9,26.3
2022-02-03,18.2,13.1,4.6,32.7
2022-02-04,23.5,12.3,0.0,19.8
2022-02-05,25.8,11.1,0.0,16.4
2022-02-06,27.5,12.0,0.0,19.1
2022-02-07,28.4,12.9,0.0,18.6
2022-02-08,30.1,13.2,0.0,15.0
2022-02-09,30.5,18.1,1.9,28.5
2022-02-10,23.4,17.4,0.2,27.5
2022-02-11,22.0,15.8,0.1,26.3
2022-02-12,28.9,14.2,0.0,26.7
2022-02-13,32.9,15.9,0.0,33.0
2022-02-14,32.5,16.0,0.0,25.6
2022-02-15,23.7,17.4,0.0,18.2
2022-02-16,25.2,15.7,0.1,15.1
2022-02-17,24.0,16.3,3.0,18.0
2022-02-18,20.9,13.2,0.4,27.3
2022-02-19,22.6,12.2,0.0,16.8
2022-02-20,25.5,11.2,0.0,24.5
2022-02-21,20.1,13.5,0.3,20.5
2022-02-22,24.0,11.6,0.0,15.5
2022-02-23,32.5,13.1,0.0,22.9
2022-02-24,23.8,18.1,15.9,20.6
2022-02-25,22.2,17.0,0.5,25.0
2022-02-26,29.0,17.4,0.1,22.3
2022-02-27,25.9,16.4,0.0,16.7
2022-02-28,24.8,17.5,0.4,15.6
2022-03-01,25.8,18.0,5.2,12.9
2022-03-02,28.6,18.6,1.3,14.8
2022-03-03,30.2,15.8,0.0,17.6
2022-03-04,32.7,16.7,5.9,15.3
2022-03-05,20.9,17.1,29.7,26.4
2022-03-06,20.7,16.2,4.7,27.1
2022-03-07,24.0,14.8,0.6,25.8
2022-03-08,20.6,16.4,1.3,28.6
2022-03-09,21.8,13.6,0.0,30.3
2022-03-10,20.6,10.8,0.2,22.4
2022-03-11,20.2,11.8,1.1,14.8
2022-03-12,21.7,9.2,0.0,15.7
2022-03-13,28.9,12.5,0.4,20.5
2022-03-14,28.7,15.5,1.0,16.6
2022-03-15,27.6,15.6,3.2,19.0
2022-03-16,24.2,17.7,0.7,24.6
2022-03-17,28.8,17.5,0.7,18.1
2022-03-18,21.6,15.7,1.6,22.7
2022-03-19,29.7,12.2,0.0,15.0
2022-03-20,24.2,14.2,0.0,22.8
2022-03-21,28.6,15.8,0.0,21.2
2022-03-22,22.7,16.0,4.1,18.9
2022-03-23,19.4,12.5,0.3,22.9
2022-03-24,20.4,12.7,0.0,18.4
2022-03-25,20.6,12.6,0.7,16.2
2022-03-26,23.8,10.5,0.0,12.4
2022-03-27,28.5,11.9,0.0,18.8
2022-03-28,25.8,16.5,0.0,22.7
2022-03-29,21.7,14.7,0.1,19.7
2022-03-30,19.9,15.1,0.8,26.5
2022-03-31,20.9,13.2,0.2,28.4
2022-04-01,19.9,12.9,0.0,28.4
2022-04-02,18.3,13.9,0.1,23.8
2022-04-03,17.9,13.4,0.8,13.8
2022-04-04,18.4,13.1,0.3,15.4
2022-04-05,19.8,9.2,0.0,15.1
2022-04-06,22.5,14.0,0.0,14.3
2022-04-07,23.3,10.2,0.5,22.0
2022-04-08,24.6,11.5,0.0,14.8
2022-04-09,25.9,15.1,0.4,22.7
2022-04-10,26.9,16.6,0.0,27.5
2022-04-11,19.1,14.0,1.4,19.7
2022-04-12,18.1,12.3,0.0,18.9
2022-04-13,20.3,9.9,0.0,18.5
2022-04-14,24.7,10.1,0.0,18.4
2022-04-15,26.2,15.4,0.0,21.6
2022-04-16,28.2,11.1,0.0,19.5
2022-04-17,27.4,16.3,2.4,30.0
2022-04-18,18.0,15.4,37.2,17.2
2022-04-19,15.5,10.7,22.6,22.8
2022-04-20,17.8,9.0,0.8,18.1
2022-04-21,16.5,9.1,1.8,17.3
2022-04-22,17.3,6.9,0.0,15.2
2022-04-23,16.9,6.4,0.0,12.2
2022-04-24,17.7,6.2,0.0,10.5
2022-04-25,22.4,7.4,0.0,11.0
2022-04-26,22.2,7.9,0.0,9.4
2022-04-27,20.2,11.9,0.6,9.0
2022-04-28,21.6,15.1,0.0,20.2
2022-04-29,21.3,15.7,14.6,30.1
2022-04-30,17.0,11.7,11.0,24.5
2022-05-01,19.3,10.8,0.7,19.5
2022-05-02,21.0,12.0,0.0,17.4
2022-05-03,19.7,11.7,0.0,27.8
2022-05-04,15.9,8.9,1.1,20.5
2022-05-05,13.2,5.3,1.3,10.5
2022-05-06,14.4,3.6,0.1,19.2
2022-05-07,15.7,9.6,1.4,26.3
2022-05-08,15.2,9.7,0.7,15.6
2022-05-09,15.9,9.1,0.9,10.1
2022-05-10,17.4,4.7,0.0,10.7
2022-05-11,18.4,8.5,0.6,7.6
2022-05-12,18.3,11.6,1.2,9.8
2022-05-13,18.0,12.9,0.8,10.1
2022-05-14,17.3,15.2,1.9,22.9
2022-05-15,20.6,13.0,0.1,26.3
2022-05-16,15.8,9.4,1.8,20.0
2022-05-17,15.1,7.8,0.0,24.3
2022-05-18,14.6,8.8,2.1,26.4
2022-05-19,14.7,7.2,0.1,19.9
2022-05-20,15.2,6.9,0.0,13.4
2022-05-21,13.8,4.2,0.0,8.0
2022-05-22,12.4,4.8,0.0,7.3
2022-05-23,16.1,4.0,0.0,8.6
2022-05-24,19.3,5.2,0.0,10.9
2022-05-25,19.2,6.4,0.0,13.0
2022-05-26,16.1,11.4,14.0,19.8
2022-05-27,15.5,8.6,1.8,8.8
2022-05-28,14.0,6.7,0.5,8.9
2022-05-29,15.2,5.6,1.2,15.8
2022-05-30,11.7,7.0,7.5,14.9
2022-05-31,10.4,5.5,1.6,27.1
2022-06-01,11.6,5.3,9.9,31.1
2022-06-02,12.6,3.1,0.0,14.8
2022-06-03,12.2,6.1,0.0,26.6
2022-06-04,13.9,7.7,0.7,31.8
2022-06-05,11.9,8.5,17.5,38.2
2022-06-06,12.1,6.0,4.2,28.1
2022-06-07,10.5,5.8,4.4,23.1
