Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,24.8,6.2,0.0,9.0
2022-01-02,24.5,9.0,0.0,31.9
2022-01-03,22.9,7.7,0.0,13.4
2022-01-04,24.6,6.8,0.0,12.1
2022-01-05,24.7,9.9,0.0,16.7
2022-01-06,24.4,8.1,2.5,21.3
2022-01-07,22.8,8.7,0.1,19.8
2022-01-08,21.7,6.3,0.6,22.2
2022-01-09,22.6,7.4,0.2,20.7
2022-01-10,18.1,8.2,0.4,23.8
2022-01-11,19.2,8.8,0.0,19.0
2022-01-12,21.4,5.6,0.0,19.0
2022-01-13,21.5,5.5,0.0,15.3
2022-01-14,21.9,7.4,0.0,11.3
2022-01-15,21.2,4.5,0.6,17.8
2022-01-16,19.5,6.9,3.4,16.1
2022-01-17,19.6,6.0,1.0,21.0
2022-01-18,21.4,4.6,0.0,14.2
2022-01-19,21.9,6.2,0.0,14.6
2022-01-20,22.1,8.9,0.0,18.4
2022-01-21,20.9,8.7,0.0,24.5
2022-01-22,21.6,8.3,2.0,15.5
2022-01-23,21.8,6.1,0.0,18.7
2022-01-24,21.8,6.1,0.0,25.4
2022-01-25,23.1,5.6,0.0,16.7
2022-01-26,22.9,6.6,0.0,19.6
2022-01-27,23.8,8.6,0.0,13.0
2022-01-28,22.8,8.3,0.1,26.3
2022-01-29,21.4,6.6,1.5,17.1
2022-01-30,22.8,7.1,0.0,12.0
2022-01-31,24.1,6.3,0.0,21.0
2022-02-01,24.0,5.6,0.0,36.6
2022-02-02,24.4,7.2,0.0,19.1
2022-02-03,23.5,6.0,0.0,18.6
2022-02-04,24.2,8.0,0.0,25.4
2022-02-05,21.5,4.0,0.1,15.5
2022-02-06,23.0,6.6,0.2,24.2
2022-02-07,21.7,7.8,1.0,19.5
2022-02-08,18.6,6.6,5.6,19.0
2022-02-09,20.4,4.7,0.0,21.4
2022-02-10,22.0,3.9,0.0,25.8
2022-02-11,22.1,2.7,0.0,23.7
2022-02-12,20.9,5.1,0.0,22.6
2022-02-13,19.6,8.3,0.1,26.1
2022-02-14,21.3,5.4,2.2,23.3
2022-02-15,20.6,7.1,0.0,9.1
2022-02-16,23.2,7.4,0.0,20.6
2022-02-17,25.4,6.4,0.1,10.9
2022-02-18,25.3,8.5,0.0,17.8
2022-02-19,25.2,7.6,0.0,24.9
2022-02-20,25.2,6.7,0.0,19.1
2022-02-21,26.5,8.9,0.0,17.7
2022-02-22,27.0,9.8,0.0,24.1
2022-02-23,28.5,11.9,0.0,18.4
2022-02-24,26.3,8.7,0.0,24.5
2022-02-25,26.1,9.6,0.0,23.0
2022-02-26,26.2,9.2,0.0,25.3
2022-02-27,25.9,8.9,0.0,25.1
2022-02-28,24.4,4.9,0.0,20.0
2022-03-01,25.9,6.1,0.0,17.7
2022-03-02,26.4,7.3,0.0,14.3
2022-03-03,27.2,8.1,0.0,20.6
2022-03-04,26.6,8.5,0.0,24.3
2022-03-05,25.6,9.0,0.0,19.8
2022-03-06,26.5,9.6,0.0,16.3
2022-03-07,25.6,10.9,0.8,22.3
2022-03-08,25.3,10.3,1.4,22.1
2022-03-09,26.8,7.4,0.0,23.8
2022-03-10,27.5,9.2,0.0,21.6
2022-03-11,28.0,6.2,0.0,15.4
2022-03-12,26.2,5.8,0.0,35.2
2022-03-13,27.3,3.6,0.0,19.7
2022-03-14,28.7,9.2,1.5,24.5
2022-03-15,25.3,10.7,2.9,21.7
2022-03-16,24.0,8.8,2.8,24.5
