Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,27.0,22.9,1.1,23.6
2022-01-02,27.7,23.6,0.0,25.9
2022-01-03,27.8,19.6,1.5,19.8
2022-01-04,24.9,17.3,0.0,19.5
2022-01-05,26.0,20.7,2.4,14.4
2022-01-06,25.8,16.2,0.0,13.2
2022-01-07,24.6,20.0,4.9,12.1
2022-01-08,25.7,21.5,2.6,26.7
2022-01-09,24.3,21.8,12.4,26.1
2022-01-10,24.6,19.2,13.5,15.0
2022-01-11,22.3,18.5,4.5,24.6
2022-01-12,23.3,18.5,5.4,24.7
2022-01-13,23.5,17.8,1.4,18.2
2022-01-14,22.0,14.5,0.0,19.7
2022-01-15,22.6,13.0,0.0,16.7
2022-01-16,24.3,17.6,5.8,38.9
2022-01-17,22.4,15.0,0.0,27.6
2022-01-18,18.8,11.5,0.0,17.8
2022-01-19,22.8,12.6,0.1,19.9
2022-01-20,24.3,20.1,5.6,21.0
2022-01-21,24.9,19.5,17.9,12.0
2022-01-22,24.1,18.0,10.8,15.6
2022-01-23,20.7,11.6,4.8,18.9
2022-01-24,16.8,6.0,0.0,17.8
2022-01-25,22.5,10.6,0.0,14.3
2022-01-26,25.0,20.6,27.1,23.8
2022-01-27,24.7,18.3,2.6,13.8
2022-01-28,24.9,16.9,0.2,19.6
2022-01-29,18.5,9.1,0.1,35.0
2022-01-30,15.7,4.5,0.0,22.4
2022-01-31,20.3,7.9,0.0,21.5
2022-02-01,23.5,14.7,0.0,26.3
2022-02-02,25.4,20.5,0.1,26.7
2022-02-03,25.8,21.9,0.0,23.8
2022-02-04,26.4,22.6,0.0,22.5
2022-02-05,25.3,20.4,2.3,11.7
2022-02-06,26.0,18.9,0.1,13.4
2022-02-07,26.3,18.6,0.1,16.6
2022-02-08,25.7,18.4,1.8,14.8
2022-02-09,19.9,17.1,19.9,20.1
2022-02-10,23.9,14.2,0.0,20.1
2022-02-11,25.4,16.9,5.8,11.5
2022-02-12,26.2,18.7,2.7,14.1
2022-02-13,22.2,19.1,21.0,21.3
2022-02-14,20.4,12.0,0.0,29.5
2022-02-15,22.9,14.6,0.3,34.0
2022-02-16,25.6,20.8,7.5,30.6
2022-02-17,26.1,22.1,1.3,26.8
2022-02-18,25.9,22.7,1.8,19.9
2022-02-19,26.9,20.9,17.6,12.4
2022-02-20,24.8,21.0,1.8,23.4
2022-02-21,24.7,20.9,2.5,18.7
2022-02-22,25.8,22.3,1.2,23.4
2022-02-23,25.8,22.3,0.2,19.5
2022-02-24,26.8,21.9,1.1,18.4
2022-02-25,26.3,21.9,0.3,18.0
2022-02-26,26.6,21.7,0.0,17.4
2022-02-27,27.0,21.7,2.0,15.1
2022-02-28,26.9,20.0,3.7,22.1
2022-03-01,26.6,18.1,1.2,19.2
2022-03-02,25.5,19.2,3.0,15.5
2022-03-03,26.2,18.7,0.5,17.5
2022-03-04,26.5,21.2,0.0,27.8
2022-03-05,26.9,22.9,0.1,33.5
2022-03-06,27.0,23.8,0.9,30.7
2022-03-07,27.3,22.9,2.0,30.0
2022-03-08,27.5,21.9,2.1,23.5
2022-03-09,27.8,23.8,0.0,26.2
2022-03-10,27.5,24.0,0.4,25.2
2022-03-11,27.9,23.4,0.1,25.4
2022-03-12,31.5,18.3,2.7,39.5
2022-03-13,23.5,13.1,0.0,32.0
2022-03-14,25.2,20.4,2.9,27.4
2022-03-15,25.0,22.1,6.5,26.2
2022-03-16,27.0,20.9,4.7,23.4
2022-03-17,26.2,19.8,3.8,11.9
2022-03-18,27.1,21.6,2.2,19.0
2022-03-19,27.5,23.7,2.0,20.5
2022-03-20,27.1,20.5,6.5,16.6
2022-03-21,25.4,21.9,0.6,26.8
2022-03-22,26.7,22.0,0.3,25.8
