Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,32.5,16.6,0.0,12.0
2022-01-02,19.0,6.5,0.0,22.0
2022-01-03,13.4,2.9,0.0,13.0
2022-01-04,19.9,3.2,0.0,8.4
2022-01-05,27.1,12.3,0.0,10.9
2022-01-06,27.7,14.0,0.0,12.3
2022-01-07,20.0,7.9,0.3,9.5
2022-01-08,24.0,7.6,0.3,11.0
2022-01-09,26.2,17.6,0.0,19.9
2022-01-10,15.7,9.3,0.0,11.6
2022-01-11,14.5,6.2,0.0,10.9
2022-01-12,18.1,4.7,0.0,8.7
2022-01-13,23.5,10.2,0.0,7.6
2022-01-14,25.5,14.7,0.0,8.5
2022-01-15,20.5,9.9,0.0,21.7
2022-01-16,17.8,4.0,0.0,9.4
2022-01-17,21.7,10.6,0.0,13.1
2022-01-18,26.0,10.6,0.0,11.2
2022-01-19,30.0,13.1,0.0,19.0
2022-01-20,17.4,5.1,0.1,21.9
2022-01-21,8.5,3.0,5.3,14.1
2022-01-22,10.5,2.6,0.0,14.1
2022-01-23,8.1,3.2,2.2,8.8
2022-01-24,13.3,4.6,5.9,8.6
2022-01-25,21.5,9.5,0.4,10.9
2022-01-26,13.7,9.8,4.5,12.2
2022-01-27,14.5,11.1,4.1,7.7
2022-01-28,12.3,7.9,9.8,16.4
2022-01-29,14.1,7.2,0.0,11.8
2022-01-30,17.5,6.2,0.0,9.4
2022-01-31,23.9,9.4,0.0,11.9
2022-02-01,24.0,11.3,0.0,9.6
2022-02-02,24.6,12.5,0.0,8.9
2022-02-03,15.4,4.6,2.1,13.6
2022-02-04,7.7,1.6,0.0,18.3
2022-02-05,10.0,0.9,0.0,15.8
2022-02-06,13.5,0.8,0.5,9.4
2022-02-07,13.1,7.7,0.0,8.2
2022-02-08,16.5,7.6,0.0,9.7
2022-02-09,19.4,8.3,0.0,10.6
2022-02-10,17.7,7.2,0.0,7.3
2022-02-11,22.2,10.1,0.0,11.1
2022-02-12,21.0,10.7,0.2,22.9
2022-02-13,14.6,6.1,0.0,10.1
2022-02-14,19.1,5.0,0.0,15.8
2022-02-15,21.7,6.5,0.0,14.5
2022-02-16,26.6,8.7,0.0,12.5
2022-02-17,27.2,15.3,0.0,18.3
2022-02-18,16.9,7.1,0.0,14.9
2022-02-19,18.2,6.7,0.0,17.8
2022-02-20,21.8,6.3,0.0,9.1
2022-02-21,30.0,15.2,0.0,12.7
2022-02-22,33.4,16.0,0.0,14.7
2022-02-23,27.4,11.0,1.0,16.4
2022-02-24,22.5,4.2,2.4,11.0
2022-02-25,16.5,6.4,0.9,15.2
2022-02-26,16.6,3.7,0.0,11.5
2022-02-27,16.2,6.6,0.1,12.5
2022-02-28,18.3,7.2,0.0,16.0
2022-03-01,20.3,6.1,0.0,15.2
2022-03-02,20.9,10.0,0.1,15.6
2022-03-03,21.3,13.5,0.3,11.8
2022-03-04,25.0,15.4,0.2,15.0
2022-03-05,28.7,14.3,0.0,11.4
2022-03-06,31.5,15.6,0.0,13.1
2022-03-07,23.2,10.7,0.4,21.9
2022-03-08,21.4,5.1,0.0,14.4
2022-03-09,17.1,8.6,0.0,12.3
2022-03-10,25.2,7.5,0.0,15.2
2022-03-11,31.3,11.5,0.0,25.6
2022-03-12,14.9,5.6,0.0,17.6
2022-03-13,20.0,1.6,0.0,15.8
2022-03-14,27.7,8.7,0.0,11.5
2022-03-15,26.6,17.2,0.0,11.6
2022-03-16,29.0,15.6,0.0,17.2
2022-03-17,35.8,13.0,0.0,23.3
2022-03-18,26.2,18.1,0.0,18.3
2022-03-19,24.7,12.6,0.0,17.9
2022-03-20,27.5,11.7,0.0,19.6
2022-03-21,34.7,15.4,0.0,15.9
2022-03-22,31.1,15.8,0.0,21.4
2022-03-23,22.2,10.2,0.0,9.3
2022-03-24,26.8,10.8,0.0,15.7
2022-03-25,30.8,12.3,0.0,16.4
2022-03-26,31.7,16.8,0.0,18.0
2022-03-27,30.8,14.2,0.0,16.2
2022-03-28,31.7,14.4,0.0,16.1
2022-03-29,35.3,15.0,0.0,16.4
2022-03-30,34.5,20.0,0.0,27.0
2022-03-31,30.2,19.1,0.0,16.1
2022-04-01,29.9,14.8,0.0,15.3
2022-04-02,30.7,18.0,0.2,18.1
2022-04-03,30.6,18.2,0.0,17.9
2022-04-04,34.0,17.1,0.0,14.7
2022-04-05,37.2,20.0,0.1,23.7
2022-04-06,37.9,19.0,0.0,28.8
2022-04-07,25.8,16.7,0.0,16.8
2022-04-08,28.0,12.5,0.0,19.0
2022-04-09,30.5,13.5,0.0,18.5
2022-04-10,35.8,18.1,0.0,15.3
2022-04-11,37.3,19.8,0.0,21.9
2022-04-12,37.6,21.5,0.0,19.8
2022-04-13,37.6,19.5,0.0,24.7
2022-04-14,31.3,22.3,2.6,19.5
2022-04-15,32.4,20.1,0.5,13.6
2022-04-16,34.9,20.6,0.0,14.8
2022-04-17,36.1,20.9,0.0,15.0
2022-04-18,29.3,23.0,1.1,16.8
2022-04-19,30.5,21.0,2.2,21.7
2022-04-20,29.8,16.6,0.0,13.2
