Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,11.6,2.6,0.0,19.0
2022-01-02,13.7,1.7,0.0,23.7
2022-01-03,12.1,7.9,0.2,30.7
2022-01-04,16.0,6.3,3.3,38.9
2022-01-05,5.5,-1.0,10.6,23.4
2022-01-06,2.2,-2.4,0.5,20.3
2022-01-07,1.5,-5.2,1.4,16.6
2022-01-08,2.0,-2.7,0.1,31.8
2022-01-09,3.8,-1.2,2.4,31.2
2022-01-10,2.2,-3.7,0.7,10.9
2022-01-11,2.1,-3.6,0.6,13.5
2022-01-12,0.1,-5.7,0.0,9.5
2022-01-13,1.3,-5.5,0.0,8.4
2022-01-14,6.7,-5.3,0.0,10.7
2022-01-15,4.0,-4.8,0.0,11.2
2022-01-16,5.4,-2.5,0.0,20.6
2022-01-17,4.4,0.4,0.8,30.5
2022-01-18,3.8,-1.5,0.7,18.0
2022-01-19,6.6,-3.5,0.0,20.8
2022-01-20,3.0,-2.4,3.3,28.1
2022-01-21,-0.1,-3.2,1.6,22.0
2022-01-22,0.7,-1.4,7.2,29.9
2022-01-23,3.1,-2.6,0.5,14.7
2022-01-24,4.4,-3.4,0.0,15.5
2022-01-25,5.5,-3.7,0.0,11.3
2022-01-26,4.5,-3.4,0.0,13.3
2022-01-27,5.4,-3.0,1.2,24.0
2022-01-28,2.7,0.8,6.4,27.4
2022-01-29,5.8,-0.8,0.2,32.9
2022-01-30,6.7,-0.6,3.2,32.3
2022-01-31,3.7,-1.7,4.4,38.3
2022-02-01,2.2,0.1,8.9,35.1
2022-02-02,5.4,2.0,8.1,35.8
2022-02-03,9.5,3.0,0.6,14.6
2022-02-04,8.3,1.0,0.0,22.6
2022-02-05,6.0,-0.9,1.4,30.2
2022-02-06,5.9,0.8,3.8,41.3
2022-02-07,5.1,-0.1,11.6,40.4
2022-02-08,8.2,-0.6,0.0,21.7
2022-02-09,10.5,-1.0,0.0,11.2
2022-02-10,12.1,0.5,0.0,23.5
2022-02-11,5.7,-1.8,4.6,23.4
2022-02-12,5.1,-4.6,0.0,18.5
2022-02-13,10.1,-3.3,0.0,12.0
2022-02-14,11.8,-3.3,0.0,17.0
2022-02-15,5.9,1.8,5.9,19.3
2022-02-16,9.8,0.7,0.9,32.6
2022-02-17,11.7,6.8,10.0,44.3
2022-02-18,14.8,5.0,0.7,31.8
2022-02-19,7.4,1.8,2.0,29.0
2022-02-20,9.7,1.7,0.9,33.5
2022-02-21,9.3,2.1,6.3,35.4
2022-02-22,6.8,1.5,2.3,29.9
2022-02-23,9.2,1.6,4.3,29.3
2022-02-24,12.5,-1.4,0.0,23.3
2022-02-25,7.1,-0.5,2.5,24.1
2022-02-26,3.3,-1.7,2.5,13.3
2022-02-27,4.8,-3.7,0.0,22.0
2022-02-28,5.1,-4.9,0.0,16.2
2022-03-01,6.2,-5.2,0.0,13.1
2022-03-02,7.0,-6.1,0.0,9.8
2022-03-03,8.6,-7.0,0.0,12.2
2022-03-04,5.5,-5.7,0.0,13.6
2022-03-05,4.2,-4.5,0.0,18.0
2022-03-06,3.2,-5.3,0.0,16.1
2022-03-07,0.9,-4.3,0.0,15.5
2022-03-08,6.3,-4.7,0.0,19.5
2022-03-09,10.5,-5.5,0.0,12.0
2022-03-10,11.4,-3.5,0.0,18.5
2022-03-11,8.7,-4.3,0.0,17.3
2022-03-12,11.0,-4.5,0.0,15.5
2022-03-13,12.9,-2.9,0.0,13.2
2022-03-14,13.7,-0.1,0.2,22.3
2022-03-15,11.9,1.7,5.8,21.6
2022-03-16,9.8,4.4,8.5,18.4
2022-03-17,10.8,1.5,0.0,14.2
2022-03-18,11.1,3.2,0.0,19.2
2022-03-19,9.2,-1.5,0.0,17.8
2022-03-20,12.9,-2.1,0.0,15.5
2022-03-21,12.3,-1.7,0.0,9.9
2022-03-22,14.1,-3.2,0.0,11.9
2022-03-23,16.2,-1.6,0.0,9.7
2022-03-24,16.9,-0.3,0.0,13.0
2022-03-25,16.1,-1.3,0.0,12.1
2022-03-26,16.1,0.4,0.0,14.1
2022-03-27,17.1,-0.0,0.0,12.5
2022-03-28,18.5,0.3,0.0,12.3
2022-03-29,16.9,5.6,0.1,15.1
2022-03-30,12.0,6.7,2.0,11.4
2022-03-31,9.8,5.1,2.9,11.7
2022-04-01,6.3,0.9,12.9,19.5
2022-04-02,0.9,-1.7,11.9,16.5
2022-04-03,1.3,-4.4,1.4,9.4
2022-04-04,6.6,-5.5,0.2,23.7
2022-04-05,10.0,2.7,2.7,29.7
2022-04-06,15.7,5.3,0.3,18.3
2022-04-07,15.4,7.1,0.5,36.9
2022-04-08,13.6,6.5,15.8,34.1
2022-04-09,11.9,1.4,5.6,44.6
