Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,25.9,12.8,0.0,12.0
2022-01-02,26.3,14.7,0.0,14.7
2022-01-03,26.2,12.9,0.0,16.6
2022-01-04,26.6,12.8,0.0,17.3
2022-01-05,25.8,13.1,0.0,15.8
2022-01-06,24.7,15.1,2.5,17.7
2022-01-07,24.6,14.5,0.5,17.3
2022-01-08,25.4,15.1,0.9,18.3
2022-01-09,26.0,13.4,0.6,16.3
2022-01-10,26.2,13.6,0.2,19.1
2022-01-11,25.1,12.8,0.0,21.3
2022-01-12,25.0,12.1,0.0,23.8
2022-01-13,26.8,11.3,0.0,20.8
2022-01-14,28.1,12.7,0.0,16.7
2022-01-15,26.6,13.7,0.4,20.3
2022-01-16,26.8,14.0,0.2,10.7
2022-01-17,23.6,14.8,4.5,17.7
2022-01-18,22.6,14.3,11.6,18.4
2022-01-19,25.5,14.2,0.2,14.0
2022-01-20,26.7,13.0,0.0,16.2
2022-01-21,25.4,12.7,0.1,13.9
2022-01-22,25.1,13.1,0.1,16.1
2022-01-23,26.1,13.0,0.0,13.6
2022-01-24,26.3,13.2,0.0,15.8
2022-01-25,26.4,13.3,0.0,20.4
2022-01-26,25.9,11.7,0.0,15.8
2022-01-27,26.3,12.8,0.0,14.6
2022-01-28,27.6,13.5,0.0,13.7
2022-01-29,27.2,14.8,0.3,18.4
2022-01-30,26.5,12.9,0.1,16.0
2022-01-31,25.6,14.5,0.3,10.5
2022-02-01,25.9,14.4,1.1,10.2
2022-02-02,27.1,14.5,2.2,17.6
2022-02-03,25.6,14.8,1.9,19.2
2022-02-04,26.3,13.7,0.7,14.5
2022-02-05,27.8,12.8,0.1,17.4
2022-02-06,28.4,15.2,0.3,16.8
2022-02-07,26.6,14.0,0.5,15.3
2022-02-08,26.6,13.9,0.0,19.0
2022-02-09,26.1,13.9,0.0,18.1
2022-02-10,27.0,13.3,0.1,13.6
2022-02-11,26.8,14.5,0.0,13.7
2022-02-12,28.1,14.9,0.1,14.6
2022-02-13,28.1,13.5,0.0,13.0
2022-02-14,29.3,14.4,0.0,16.1
2022-02-15,27.5,13.9,0.0,12.6
2022-02-16,27.9,14.3,0.0,15.2
2022-02-17,29.3,12.9,0.0,13.5
2022-02-18,28.9,14.1,0.3,13.0
2022-02-19,28.0,15.2,0.3,16.1
2022-02-20,28.9,14.2,0.0,17.7
2022-02-21,28.6,13.9,0.7,16.1
2022-02-22,27.4,15.7,1.3,12.5
2022-02-23,27.0,15.2,1.2,13.2
2022-02-24,23.9,14.9,1.2,13.9
2022-02-25,24.5,14.6,3.1,13.5
2022-02-26,26.6,13.0,0.0,15.3
2022-02-27,28.6,13.4,0.0,21.3
2022-02-28,27.8,13.5,0.0,21.3
2022-03-01,26.4,13.5,0.1,19.7
2022-03-02,25.9,14.0,0.1,19.2
2022-03-03,28.2,13.6,0.0,15.5
2022-03-04,28.4,14.2,0.0,15.8
2022-03-05,28.5,14.0,0.0,18.7
2022-03-06,27.8,13.7,0.0,17.7
2022-03-07,28.6,14.1,0.0,13.2
2022-03-08,28.4,16.1,0.0,14.1
2022-03-09,28.0,14.6,0.0,15.8
2022-03-10,28.9,13.9,0.0,16.3
2022-03-11,29.0,14.4,0.0,15.4
2022-03-12,28.9,13.7,0.0,16.4
2022-03-13,29.5,13.7,0.0,13.5
2022-03-14,29.4,14.2,0.0,18.2
2022-03-15,29.7,14.2,0.0,17.1
2022-03-16,29.8,15.8,0.0,16.4
2022-03-17,28.9,15.7,0.0,16.3
2022-03-18,28.1,13.6,0.0,16.0
2022-03-19,28.1,14.3,0.0,15.8
2022-03-20,28.5,15.4,0.1,15.1
2022-03-21,28.0,15.7,0.6,18.4
2022-03-22,27.1,15.5,0.2,17.0
2022-03-23,28.1,14.0,0.0,14.5
2022-03-24,27.7,15.6,0.1,15.0
2022-03-25,28.9,15.9,0.1,18.4
2022-03-26,27.4,15.9,1.2,16.2
2022-03-27,26.3,15.3,0.5,13.7
2022-03-28,27.6,15.2,1.0,15.9
2022-03-29,25.8,16.1,0.7,16.5
2022-03-30,26.4,15.0,0.4,20.9
2022-03-31,26.0,16.0,4.4,19.2
2022-04-01,23.9,15.7,8.7,19.3
2022-04-02,23.5,15.4,2.5,21.6
2022-04-03,25.7,14.0,0.3,18.7
2022-04-04,26.9,13.5,0.4,17.1
2022-04-05,27.5,14.8,0.2,17.7
2022-04-06,26.5,15.1,1.1,17.1
2022-04-07,25.9,13.2,1.0,15.1
2022-04-08,26.0,12.7,0.0,14.2
2022-04-09,26.2,13.7,0.0,16.1
2022-04-10,25.6,15.3,2.4,16.8
2022-04-11,27.9,14.5,0.0,17.3
2022-04-12,27.5,13.7,0.6,12.9
2022-04-13,27.5,15.9,1.9,15.0
2022-04-14,27.8,16.5,1.8,16.6
2022-04-15,27.5,16.4,1.1,17.7
2022-04-16,27.7,14.9,1.0,9.4
2022-04-17,26.1,14.4,9.9,17.4
2022-04-18,26.2,15.3,1.6,10.0
2022-04-19,26.2,16.5,2.0,14.6
2022-04-20,25.1,16.2,6.6,15.4
2022-04-21,25.1,15.6,9.2,12.2
2022-04-22,24.9,15.5,5.4,14.3
