Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,3.9,-5.4,0.5,19.1
2022-01-02,7.6,-7.2,0.0,16.3
2022-01-03,10.3,-1.4,0.0,22.3
2022-01-04,9.4,1.8,0.0,28.2
2022-01-05,7.0,0.6,0.0,22.0
2022-01-06,5.4,1.2,0.3,10.1
2022-01-07,6.9,0.5,0.0,24.8
2022-01-08,8.2,-2.9,0.0,9.6
2022-01-09,9.7,-1.3,0.0,12.9
2022-01-10,11.3,0.5,0.0,11.6
2022-01-11,8.2,1.9,8.5,33.2
2022-01-12,6.3,0.3,0.6,25.4
2022-01-13,7.0,0.9,0.3,47.4
2022-01-14,6.5,-0.6,0.4,26.0
2022-01-15,8.3,-0.9,0.0,17.8
2022-01-16,9.6,-2.2,0.1,23.5
2022-01-17,9.1,1.4,0.0,32.2
2022-01-18,6.0,0.7,0.0,26.8
2022-01-19,6.3,-2.0,0.9,18.5
2022-01-20,6.5,-0.6,0.2,35.6
2022-01-21,6.0,-1.0,0.1,30.7
2022-01-22,7.4,-2.6,0.0,13.6
2022-01-23,5.2,-1.8,13.6,14.7
2022-01-24,8.5,1.8,1.0,28.4
2022-01-25,8.4,-2.4,0.0,13.1
2022-01-26,9.6,-1.5,0.0,22.7
2022-01-27,10.0,1.5,0.0,20.9
2022-01-28,9.8,-1.0,0.1,19.3
2022-01-29,9.1,0.5,0.0,18.5
2022-01-30,8.0,2.0,0.0,17.9
2022-01-31,8.1,0.2,0.1,20.5
2022-02-01,8.9,-2.1,0.5,35.2
2022-02-02,7.9,0.5,0.7,25.3
2022-02-03,9.2,2.4,0.0,23.6
2022-02-04,7.7,0.3,0.0,29.1
2022-02-05,6.4,0.4,0.4,33.7
2022-02-06,6.0,-0.3,0.0,33.8
2022-02-07,7.3,-5.1,0.0,19.0
2022-02-08,8.4,0.2,0.7,15.0
2022-02-09,10.2,-0.8,0.0,18.1
2022-02-10,8.7,2.4,0.8,17.3
2022-02-11,11.5,2.1,0.0,23.7
2022-02-12,11.0,-1.9,0.0,15.3
2022-02-13,6.4,0.1,11.1,19.7
2022-02-14,11.1,3.1,0.0,19.4
2022-02-15,11.6,-0.3,0.0,37.7
2022-02-16,5.9,0.4,0.0,33.6
2022-02-17,5.8,-2.0,0.3,33.3
2022-02-18,8.1,-3.1,0.1,16.6
2022-02-19,8.9,-1.9,8.1,21.3
2022-02-20,8.0,1.7,2.1,34.7
2022-02-21,7.1,-0.4,0.5,31.9
2022-02-22,7.7,-1.7,0.0,35.5
2022-02-23,6.4,-2.9,0.0,20.4
2022-02-24,6.5,-1.3,0.3,24.5
2022-02-25,7.8,-4.0,0.0,31.3
2022-02-26,9.2,-1.9,0.0,19.6
2022-02-27,12.8,3.0,0.0,33.8
2022-02-28,10.6,-1.4,0.0,17.6
2022-03-01,10.6,1.2,10.7,11.0
2022-03-02,11.6,3.6,0.0,16.6
