Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,13.2,7.0,0.0,16.1
2022-01-02,14.0,9.2,1.2,28.0
2022-01-03,12.1,10.2,4.3,28.8
2022-01-04,11.7,5.0,18.4,28.0
2022-01-05,6.1,1.4,0.1,21.7
2022-01-06,6.1,-1.9,0.1,18.2
2022-01-07,7.7,3.1,6.0,31.6
2022-01-08,9.2,2.2,9.8,34.8
2022-01-09,6.4,2.8,2.9,42.2
2022-01-10,4.5,1.3,0.0,11.2
2022-01-11,3.2,-2.6,0.0,10.0
2022-01-12,3.3,-2.8,0.0,9.7
2022-01-13,4.9,-0.1,0.0,10.5
2022-01-14,6.6,-1.9,0.0,9.5
2022-01-15,3.7,-2.2,0.0,11.2
2022-01-16,4.3,-0.4,0.6,17.6
2022-01-17,7.9,0.9,0.1,12.4
2022-01-18,9.2,-0.0,0.0,21.6
2022-01-19,6.9,0.3,2.0,17.1
2022-01-20,6.4,1.3,0.3,17.3
2022-01-21,5.3,0.8,0.0,13.2
2022-01-22,6.3,1.1,0.0,9.2
2022-01-23,5.1,3.1,0.2,11.3
2022-01-24,6.9,-2.0,0.0,10.4
2022-01-25,2.3,-2.6,0.0,8.3
2022-01-26,3.2,0.1,0.0,12.1
2022-01-27,7.0,0.8,0.4,16.8
2022-01-28,8.0,2.1,0.1,13.4
2022-01-29,10.0,5.8,0.4,24.4
2022-01-30,9.6,6.1,0.3,16.6
2022-01-31,8.5,3.3,0.6,34.6
2022-02-01,9.8,1.2,0.8,23.9
2022-02-02,11.2,7.7,0.1,22.3
2022-02-03,8.7,4.1,0.0,16.3
2022-02-04,10.8,3.6,0.9,27.9
2022-02-05,9.7,2.5,0.0,20.6
2022-02-06,10.6,5.7,4.4,38.3
2022-02-07,10.0,3.0,0.2,29.3
2022-02-08,11.2,5.0,0.0,17.2
2022-02-09,11.8,1.4,0.0,9.0
2022-02-10,9.1,5.4,2.4,18.1
2022-02-11,8.0,0.0,0.0,14.3
2022-02-12,8.1,-1.6,0.0,14.6
2022-02-13,12.7,0.0,0.0,30.9
2022-02-14,12.0,5.9,1.6,33.6
2022-02-15,10.5,3.6,1.3,27.9
2022-02-16,14.6,8.7,6.4,33.4
2022-02-17,13.5,9.5,0.6,34.2
2022-02-18,12.5,6.5,1.7,38.3
2022-02-19,9.8,2.3,0.5,33.8
2022-02-20,12.8,7.8,0.2,41.4
2022-02-21,11.1,5.8,2.2,48.2
2022-02-22,11.9,4.5,0.1,29.4
2022-02-23,11.6,1.8,0.1,16.0
2022-02-24,11.6,4.2,3.0,35.6
2022-02-25,9.4,2.5,0.5,24.7
2022-02-26,9.3,-2.0,0.0,18.1
2022-02-27,9.9,-0.8,0.0,16.9
2022-02-28,11.0,-1.8,0.0,10.9
2022-03-01,9.9,1.4,0.3,7.3
2022-03-02,10.5,3.4,0.0,8.9
2022-03-03,12.4,3.6,0.4,12.4
2022-03-04,11.9,6.2,2.1,15.3
2022-03-05,11.4,4.2,0.0,10.5
2022-03-06,8.0,0.1,0.0,21.7
2022-03-07,6.5,-1.4,0.0,20.9
2022-03-08,12.6,-1.2,0.0,15.3
2022-03-09,14.8,3.0,0.0,18.0
2022-03-10,16.3,4.1,0.0,16.4
2022-03-11,13.5,7.2,2.7,24.7
2022-03-12,10.5,6.5,2.7,23.1
2022-03-13,10.3,7.2,5.5,24.8
2022-03-14,14.1,4.3,0.0,17.0
2022-03-15,12.7,7.8,9.1,11.5
2022-03-16,17.5,6.9,0.4,16.6
2022-03-17,11.8,5.9,0.5,21.6
2022-03-18,15.0,2.8,0.0,26.3
2022-03-19,15.7,6.2,0.0,22.1
2022-03-20,12.4,1.1,0.0,14.3
2022-03-21,16.8,4.9,0.0,11.2
2022-03-22,17.3,5.3,0.0,19.8
2022-03-23,17.3,2.6,0.0,12.0
2022-03-24,18.9,3.2,0.0,12.5
2022-03-25,18.3,4.7,0.0,16.9
2022-03-26,18.3,5.0,0.0,19.7
2022-03-27,19.8,6.1,0.0,12.7
2022-03-28,20.5,4.1,0.0,11.9
2022-03-29,18.3,8.9,5.9,12.4
2022-03-30,14.2,7.5,16.8,14.4
2022-03-31,8.3,2.7,1.1,25.8
2022-04-01,3.6,1.6,3.4,30.1
2022-04-02,7.1,0.0,0.0,30.5
2022-04-03,7.9,-0.4,0.0,19.9
2022-04-04,9.4,-0.2,0.1,21.3
2022-04-05,13.6,7.0,1.0,19.9
2022-04-06,12.6,7.0,0.5,30.0
2022-04-07,14.1,9.0,2.8,39.4
2022-04-08,8.7,2.2,30.8,24.1
2022-04-09,10.1,2.8,1.4,17.8
2022-04-10,13.8,-0.4,0.0,15.4
2022-04-11,17.9,4.1,0.0,17.1
2022-04-12,20.6,9.8,0.0,20.3
2022-04-13,16.3,10.6,7.9,6.6
2022-04-14,19.8,8.8,0.3,13.4
2022-04-15,19.7,7.7,0.0,11.4
2022-04-16,18.0,7.9,0.0,17.6
2022-04-17,19.7,5.7,0.0,12.0
2022-04-18,18.5,6.6,0.0,18.7
2022-04-19,16.8,7.6,0.2,16.6
2022-04-20,18.9,6.6,0.0,18.5
2022-04-21,19.2,5.9,0.0,21.0
2022-04-22,18.7,9.3,0.0,19.5
2022-04-23,19.2,9.3,1.9,23.4
2022-04-24,18.2,8.5,0.2,13.0
2022-04-25,16.2,8.5,1.1,17.2
2022-04-26,15.2,5.4,0.2,15.0
2022-04-27,18.1,5.3,0.0,19.4
2022-04-28,20.8,7.5,0.0,18.1
2022-04-29,18.3,9.8,4.4,17.9
2022-04-30,16.3,6.5,0.0,19.3
2022-05-01,16.3,5.5,0.0,13.2
2022-05-02,17.5,7.7,0.1,14.0
2022-05-03,18.8,8.6,0.0,17.6
2022-05-04,17.6,9.7,0.0,15.3
2022-05-05,18.4,9.2,0.3,17.2
2022-05-06,21.4,8.7,0.0,12.7
2022-05-07,19.7,10.2,0.9,13.0
2022-05-08,20.9,10.3,0.2,15.1
2022-05-09,24.6,9.5,0.0,9.2
2022-05-10,26.2,13.8,0.0,23.3
2022-05-11,25.1,11.2,0.0,28.8
2022-05-12,20.1,12.4,0.0,14.9
2022-05-13,20.3,9.0,0.0,13.4
2022-05-14,22.7,8.6,0.0,11.3
2022-05-15,28.4,13.1,0.5,19.6
2022-05-16,24.7,16.3,0.5,21.2
2022-05-17,28.1,16.6,0.9,14.8
2022-05-18,27.5,16.1,0.0,16.0
2022-05-19,24.3,18.0,0.6,16.1
2022-05-20,22.2,13.4,20.2,25.3
2022-05-21,23.4,11.7,0.0,15.8
2022-05-22,23.9,11.9,0.1,16.6
2022-05-23,19.1,14.2,9.0,20.7
2022-05-24,17.4,9.9,9.7,19.7
2022-05-25,19.6,9.4,0.0,22.0
2022-05-26,20.0,12.7,0.2,16.0
2022-05-27,20.5,11.4,0.9,17.0
2022-05-28,19.3,8.6,0.1,20.3
2022-05-29,14.9,7.1,0.2,17.0
2022-05-30,17.8,7.0,0.0,11.6
2022-05-31,20.4,10.3,0.1,17.3
2022-06-01,21.0,7.8,0.0,18.6
2022-06-02,23.6,9.8,0.0,16.8
2022-06-03,25.1,13.0,5.9,9.7
2022-06-04,27.0,15.1,3.4,18.0
