Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,26.8,18.5,0.0,35.1
2022-01-02,29.1,17.7,0.0,31.6
2022-01-03,28.3,17.0,0.0,31.6
2022-01-04,32.8,18.5,0.0,29.7
2022-01-05,32.3,19.2,0.0,29.4
2022-01-06,30.3,19.3,0.0,30.7
2022-01-07,35.3,21.3,0.0,34.6
2022-01-08,28.3,19.7,0.0,43.3
2022-01-09,23.3,16.9,0.0,37.7
2022-01-10,28.8,16.8,0.0,30.2
2022-01-11,32.3,18.5,0.0,30.2
2022-01-12,31.0,20.7,0.0,25.4
2022-01-13,25.0,20.4,0.0,29.3
2022-01-14,27.4,19.7,0.0,34.1
2022-01-15,25.0,18.0,0.0,35.6
2022-01-16,27.3,17.0,0.0,41.1
2022-01-17,30.0,17.2,0.0,32.1
2022-01-18,38.0,25.5,0.0,30.8
2022-01-19,39.3,28.6,0.0,28.9
2022-01-20,37.8,25.0,0.0,28.0
2022-01-21,39.2,23.8,0.0,28.7
2022-01-22,38.2,25.5,0.0,29.8
2022-01-23,37.2,22.9,0.0,36.6
2022-01-24,31.2,19.7,0.0,30.5
2022-01-25,30.2,17.1,0.0,25.3
2022-01-26,26.8,17.3,0.0,32.4
2022-01-27,29.0,18.7,0.0,38.0
2022-01-28,32.2,16.4,0.0,35.4
2022-01-29,37.4,23.9,0.0,31.8
2022-01-30,30.1,21.8,0.0,31.7
2022-01-31,32.8,18.8,0.0,30.9
2022-02-01,30.9,16.5,0.0,27.2
2022-02-02,34.3,18.7,0.0,31.1
2022-02-03,38.7,23.9,0.0,31.6
2022-02-04,36.3,23.9,0.0,23.9
2022-02-05,37.3,19.8,0.0,30.8
2022-02-06,26.8,18.4,0.5,39.6
2022-02-07,22.5,17.9,0.4,29.5
2022-02-08,24.1,13.5,0.0,25.4
2022-02-09,27.1,16.4,0.0,31.6
2022-02-10,36.0,18.3,0.0,27.3
2022-02-11,28.7,18.4,0.1,22.0
2022-02-12,26.4,19.1,0.0,31.5
2022-02-13,32.2,17.9,0.0,29.2
2022-02-14,35.6,22.3,0.4,24.0
2022-02-15,35.7,23.9,0.0,26.0
2022-02-16,36.4,25.2,0.0,30.0
2022-02-17,35.3,20.7,0.0,27.8
2022-02-18,37.4,22.9,0.0,27.9
2022-02-19,34.7,19.7,0.0,27.1
2022-02-20,33.0,20.3,0.0,28.0
2022-02-21,31.4,19.5,0.0,26.1
2022-02-22,29.9,19.9,0.0,30.6
2022-02-23,34.2,20.6,0.0,25.6
2022-02-24,33.3,18.9,0.0,32.1
2022-02-25,28.4,18.7,0.1,24.6
2022-02-26,31.8,19.7,0.0,33.4
