Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,12.7,8.4,21.9,13.5
2022-01-02,16.7,3.6,13.0,21.2
2022-01-03,2.9,-4.5,5.5,22.5
2022-01-04,1.3,-6.2,0.0,18.2
2022-01-05,6.5,-3.7,0.1,22.1
2022-01-06,4.2,0.0,0.0,19.7
2022-01-07,-0.0,-5.7,7.6,27.0
2022-01-08,-2.0,-8.0,0.0,19.9
2022-01-09,6.4,-5.7,9.7,23.2
2022-01-10,5.6,-4.7,0.0,25.0
2022-01-11,-4.4,-8.2,0.0,22.7
2022-01-12,5.0,-7.3,0.0,21.1
2022-01-13,8.1,-3.0,0.0,9.2
2022-01-14,7.5,-3.9,0.0,27.9
2022-01-15,-4.5,-10.3,0.0,25.9
2022-01-16,4.5,-11.8,6.6,33.4
2022-01-17,8.7,-0.2,26.2,36.0
2022-01-18,3.1,-3.1,0.0,32.1
2022-01-19,8.0,-3.8,0.0,23.7
2022-01-20,5.2,-5.4,9.1,19.9
2022-01-21,-2.8,-9.8,0.0,20.6
2022-01-22,-0.2,-10.0,0.0,15.9
2022-01-23,3.7,-5.8,0.1,11.7
2022-01-24,1.9,-4.3,0.0,13.7
2022-01-25,6.8,-2.9,0.0,17.6
2022-01-26,-1.6,-7.3,0.0,17.4
2022-01-27,0.7,-8.2,0.0,13.0
2022-01-28,1.8,-2.6,3.3,15.6
2022-01-29,-1.1,-11.4,11.9,27.6
2022-01-30,-3.6,-14.1,0.0,25.4
2022-01-31,-1.2,-15.8,0.0,11.5
2022-02-01,2.5,-9.7,0.0,12.9
2022-02-02,4.9,-7.7,0.0,11.8
2022-02-03,12.2,2.5,8.5,22.9
2022-02-04,14.1,-1.3,18.8,30.1
2022-02-05,-0.4,-5.9,0.2,26.2
2022-02-06,1.7,-7.9,0.0,12.9
2022-02-07,4.1,-2.0,3.4,12.6
2022-02-08,6.1,-2.0,0.9,22.7
2022-02-09,9.8,-4.2,0.0,16.7
2022-02-10,11.9,1.0,0.7,31.4
2022-02-11,14.5,-2.0,0.0,24.4
2022-02-12,13.8,5.6,0.0,23.6
2022-02-13,5.3,-2.0,6.3,15.6
2022-02-14,-2.5,-8.9,0.0,25.4
2022-02-15,1.0,-7.6,0.0,10.8
2022-02-16,9.6,-4.8,0.0,20.2
2022-02-17,17.3,6.2,6.3,26.6
2022-02-18,15.9,-1.5,8.9,37.4
2022-02-19,4.7,-4.9,0.8,33.2
2022-02-20,2.3,-6.8,0.0,21.2
2022-02-21,12.5,-1.9,0.0,16.3
2022-02-22,15.8,3.9,4.9,32.4
2022-02-23,19.9,6.4,0.3,26.8
2022-02-24,5.0,-1.3,2.1,17.5
2022-02-25,9.7,0.0,25.3,30.9
2022-02-26,5.1,-3.8,0.0,16.3
2022-02-27,9.0,-3.0,0.0,26.8
2022-02-28,3.9,-3.4,0.0,18.7
2022-03-01,10.2,-1.9,0.0,19.6
2022-03-02,11.9,2.5,0.2,14.5
2022-03-03,7.3,-1.6,0.6,22.1
2022-03-04,4.2,-6.8,0.0,14.4
2022-03-05,9.9,-2.5,0.0,14.6
2022-03-06,19.2,5.1,11.6,26.9
2022-03-07,23.4,13.1,1.6,37.4
2022-03-08,11.8,2.3,0.0,32.4
2022-03-09,4.8,1.9,15.9,18.6
2022-03-10,10.9,-1.6,0.0,10.2
2022-03-11,14.0,0.2,0.0,13.8
2022-03-12,6.9,-5.0,15.2,36.8
2022-03-13,3.0,-6.4,0.0,26.6
2022-03-14,13.8,-0.9,0.0,18.6
2022-03-15,18.0,3.3,0.0,15.8
2022-03-16,19.5,5.0,0.0,16.8
2022-03-17,15.9,6.8,3.7,15.5
2022-03-18,21.4,9.2,0.0,14.6
2022-03-19,23.3,10.9,0.0,26.2
2022-03-20,15.4,8.7,0.0,26.3
2022-03-21,17.2,4.3,0.0,27.9
2022-03-22,14.8,6.3,0.0,14.8
2022-03-23,11.1,3.2,2.8,21.4
2022-03-24,13.5,6.4,18.6,23.8
2022-03-25,15.0,6.1,3.5,23.1
2022-03-26,11.6,4.0,2.1,25.6
2022-03-27,6.6,-1.2,0.0,27.7
2022-03-28,0.5,-5.9,0.6,30.8
2022-03-29,5.0,-5.2,0.0,24.0
2022-03-30,9.1,-3.4,0.5,15.0
2022-03-31,19.9,7.3,20.1,30.2
2022-04-01,15.4,5.7,4.2,31.5
2022-04-02,11.7,0.5,0.0,19.8
2022-04-03,13.4,4.6,7.4,22.3
2022-04-04,12.7,1.2,0.0,19.4
2022-04-05,14.2,3.9,4.1,13.8
2022-04-06,14.2,7.8,32.3,29.3
2022-04-07,13.4,7.4,43.3,26.0
2022-04-08,16.3,5.9,0.4,19.0
2022-04-09,13.1,5.6,11.0,19.2
2022-04-10,10.0,2.9,0.2,29.1
2022-04-11,15.4,1.1,0.0,16.8
2022-04-12,21.0,7.6,1.4,16.8
2022-04-13,26.0,9.9,0.0,16.3
2022-04-14,27.1,13.4,10.8,25.5
2022-04-15,19.3,7.7,0.0,23.6
2022-04-16,22.3,9.9,2.6,25.0
2022-04-17,10.7,4.1,1.6,24.6
2022-04-18,9.8,1.0,17.7,34.4
2022-04-19,11.1,3.7,18.9,31.8
2022-04-20,13.9,2.6,0.0,20.9
2022-04-21,16.6,5.2,0.0,22.1
2022-04-22,19.6,8.6,0.0,17.7
2022-04-23,16.8,8.0,0.0,12.5
2022-04-24,20.5,8.4,0.0,17.0
2022-04-25,16.7,7.7,0.3,18.0
2022-04-26,20.3,11.8,4.8,14.6
2022-04-27,13.2,5.5,0.0,27.5
2022-04-28,12.8,2.2,0.0,29.2
2022-04-29,16.0,2.3,0.0,22.4
2022-04-30,18.8,3.3,0.0,17.5
2022-05-01,21.3,4.4,0.0,15.6
2022-05-02,23.7,9.6,0.0,17.0
2022-05-03,21.3,9.0,0.0,18.4
2022-05-04,22.5,9.8,3.1,12.6
2022-05-05,22.1,11.9,0.0,16.6
2022-05-06,14.6,9.2,24.4,20.1
2022-05-07,10.5,6.6,27.5,34.7
2022-05-08,12.9,5.6,6.5,28.2
2022-05-09,18.9,6.2,0.0,21.6
2022-05-10,20.0,7.9,0.0,22.1
2022-05-11,19.8,9.2,0.0,20.4
2022-05-12,22.0,11.2,0.0,17.5
2022-05-13,23.1,14.7,2.0,18.1
2022-05-14,22.3,16.7,13.1,16.0
2022-05-15,26.0,16.5,0.4,13.3
2022-05-16,24.6,15.8,10.7,25.2
2022-05-17,24.3,12.9,0.0,31.2
2022-05-18,22.2,10.1,0.0,14.1
2022-05-19,25.0,13.5,12.0,15.8
2022-05-20,28.5,14.2,0.8,18.8
2022-05-21,33.4,19.6,0.0,16.9
2022-05-22,30.5,21.2,3.3,21.6
2022-05-23,22.9,14.0,2.6,20.1
2022-05-24,19.1,14.0,0.1,18.6
2022-05-25,22.2,11.7,0.0,17.4
2022-05-26,23.5,11.3,0.3,18.1
2022-05-27,25.4,18.4,14.4,21.1
2022-05-28,24.2,17.7,11.7,17.6
2022-05-29,27.9,15.1,0.0,26.0
2022-05-30,30.7,17.2,0.0,17.7
2022-05-31,34.2,20.4,0.0,17.0
2022-06-01,30.4,18.0,0.0,17.7
2022-06-02,27.7,17.5,15.1,11.3
2022-06-03,27.3,18.9,1.0,15.6
2022-06-04,28.9,14.3,0.0,16.0
2022-06-05,25.3,13.7,0.0,12.7
2022-06-06,27.0,13.8,0.0,17.1
2022-06-07,26.4,15.2,1.2,27.9
2022-06-08,30.5,19.3,0.5,18.7
2022-06-09,28.3,19.1,17.8,26.3
2022-06-10,26.9,15.1,0.0,17.0
2022-06-11,23.7,16.5,0.0,11.9
2022-06-12,25.4,16.5,14.0,18.8
2022-06-13,30.8,18.8,0.4,14.8
2022-06-14,29.2,18.9,0.3,13.4
2022-06-15,30.1,16.7,0.0,23.6
2022-06-16,25.8,18.5,10.8,21.3
2022-06-17,33.2,21.0,0.1,28.6
2022-06-18,23.1,16.4,0.0,27.9
2022-06-19,23.8,12.8,0.0,25.0
2022-06-20,27.6,12.4,0.0,14.9
2022-06-21,29.1,15.0,0.0,14.2
2022-06-22,25.9,17.5,0.5,19.3
2022-06-23,22.8,17.6,11.9,13.7
2022-06-24,27.7,15.3,0.2,11.0
2022-06-25,30.7,18.2,0.2,11.1
2022-06-26,30.4,19.8,0.1,20.5
2022-06-27,28.3,21.2,9.5,18.4
2022-06-28,26.2,17.3,0.0,16.8
2022-06-29,30.6,16.2,0.1,17.4
2022-06-30,32.2,18.2,0.0,15.1
2022-07-01,32.3,21.1,4.2,19.8
2022-07-02,31.3,23.5,14.4,21.3
2022-07-03,31.7,22.0,0.3,15.3
2022-07-04,31.0,17.3,0.0,12.3
2022-07-05,29.6,20.0,14.2,25.6
2022-07-06,31.8,22.4,0.5,17.4
2022-07-07,27.0,21.3,1.3,15.8
2022-07-08,29.9,18.9,1.5,13.5
2022-07-09,25.1,19.5,8.4,14.3
2022-07-10,29.6,17.6,0.0,19.0
2022-07-11,28.7,17.0,0.0,15.3
2022-07-12,31.9,19.3,3.5,24.3
2022-07-13,31.6,21.0,0.0,15.2
2022-07-14,31.9,20.5,0.4,15.4
2022-07-15,29.7,20.4,0.4,15.3
2022-07-16,30.8,20.0,5.9,11.3
2022-07-17,30.2,20.8,7.5,16.6
2022-07-18,30.3,22.1,17.7,23.5
2022-07-19,34.2,21.6,0.0,19.8
2022-07-20,33.8,22.5,0.0,15.3
2022-07-21,33.8,25.1,2.5,20.0
2022-07-22,36.9,23.8,0.0,22.3
2022-07-23,36.2,24.3,0.0,20.6
2022-07-24,35.8,23.5,0.0,23.5
2022-07-25,32.6,25.0,20.7,20.0
2022-07-26,26.8,20.8,0.0,13.5
2022-07-27,29.7,20.5,0.1,14.7
2022-07-28,32.2,22.6,7.4,20.4
2022-07-29,29.7,22.1,0.1,13.0
2022-07-30,31.7,21.4,0.0,16.6
2022-07-31,31.0,19.3,2.3,18.9
2022-08-01,28.4,20.7,5.8,11.2
2022-08-02,33.7,21.5,0.0,19.2
2022-08-03,33.5,20.8,0.0,13.4
2022-08-04,34.7,22.7,1.5,21.0
2022-08-05,32.3,22.2,17.9,16.0
2022-08-06,31.5,22.9,3.5,21.3
2022-08-07,33.0,23.8,2.6,23.0
2022-08-08,34.4,25.2,0.7,21.4
2022-08-09,36.1,25.8,0.9,21.3
2022-08-10,33.2,24.4,0.9,19.1
2022-08-11,32.1,22.6,13.5,14.7
2022-08-12,29.8,20.6,0.0,18.5
2022-08-13,28.5,17.1,0.0,17.3
2022-08-14,28.0,18.9,0.0,13.2
2022-08-15,28.7,19.2,0.0,17.8
2022-08-16,29.1,17.8,0.0,20.9
2022-08-17,29.1,18.4,0.3,18.5
2022-08-18,30.4,17.1,0.0,12.9
2022-08-19,32.1,19.2,0.0,17.1
2022-08-20,33.7,22.2,0.0,18.4
2022-08-21,31.8,20.5,0.6,16.6
2022-08-22,27.7,20.7,29.1,10.5
2022-08-23,29.7,19.6,0.5,13.4
2022-08-24,31.3,19.4,0.0,16.9
2022-08-25,32.6,18.4,0.0,17.2
2022-08-26,31.5,21.3,1.6,17.9
2022-08-27,32.6,21.4,0.1,18.8
2022-08-28,29.7,22.0,2.9,14.3
2022-08-29,31.5,21.2,0.1,19.7
2022-08-30,31.8,22.7,7.5,21.6
2022-08-31,28.8,20.4,0.0,19.9
2022-09-01,30.7,19.2,0.0,15.0
2022-09-02,28.2,16.6,0.0,17.0
2022-09-03,29.7,18.3,0.0,12.2
2022-09-04,31.4,20.6,0.0,12.1
2022-09-05,30.0,22.2,4.3,18.4
2022-09-06,23.0,20.5,44.6,17.9
2022-09-07,23.1,19.1,9.3,17.6
2022-09-08,27.6,17.3,0.0,13.7
2022-09-09,28.7,16.3,0.0,14.1
2022-09-10,27.8,14.7,0.0,11.4
2022-09-11,22.3,19.4,18.2,13.8
2022-09-12,26.7,20.6,10.3,11.2
2022-09-13,27.6,19.7,1.8,18.3
2022-09-14,27.6,15.3,0.0,15.7
2022-09-15,23.5,16.0,0.0,17.3
2022-09-16,25.9,11.5,0.0,10.1
2022-09-17,27.8,15.7,0.0,15.1
2022-09-18,28.2,16.8,0.0,18.6
2022-09-19,29.4,19.1,0.2,22.2
2022-09-20,28.2,18.2,0.0,19.9
2022-09-21,27.7,15.5,0.0,14.7
2022-09-22,26.0,14.8,7.6,28.2
2022-09-23,18.4,10.9,0.0,27.4
2022-09-24,21.0,8.8,0.0,15.8
2022-09-25,25.0,13.6,1.3,23.8
2022-09-26,24.1,12.9,0.0,24.2
2022-09-27,22.2,13.7,0.0,20.5
2022-09-28,21.2,10.2,0.0,15.6
2022-09-29,20.5,11.1,0.0,17.3
2022-09-30,17.6,11.0,2.5,23.7
2022-10-01,18.0,11.4,30.3,29.8
2022-10-02,15.3,10.0,46.0,28.5
2022-10-03,9.8,7.6,32.7,24.5
2022-10-04,12.8,8.0,28.0,23.9
2022-10-05,17.4,12.2,2.6,24.1
2022-10-06,23.3,10.4,0.0,11.7
2022-10-07,24.3,12.4,0.0,18.0
2022-10-08,14.8,8.4,0.5,18.0
2022-10-09,16.4,5.7,0.0,16.0
2022-10-10,19.5,6.5,0.0,12.8
2022-10-11,22.7,8.2,0.0,11.9
2022-10-12,20.7,9.0,0.0,16.3
2022-10-13,20.8,14.6,21.1,24.0
2022-10-14,19.8,10.3,0.1,17.7
2022-10-15,21.3,8.0,0.0,21.1
2022-10-16,19.4,9.7,0.0,10.9
2022-10-17,19.0,12.3,3.8,18.6
2022-10-18,13.3,6.5,0.0,16.8
2022-10-19,11.8,3.8,0.0,25.4
2022-10-20,14.7,4.5,0.0,22.4
2022-10-21,17.3,3.7,0.0,9.8
2022-10-22,19.0,6.7,0.0,9.3
2022-10-23,16.8,9.4,9.9,19.7
2022-10-24,17.1,12.1,1.9,17.6
2022-10-25,21.4,14.6,0.0,10.2
2022-10-26,18.9,16.1,1.2,13.8
2022-10-27,16.7,9.9,0.0,20.5
2022-10-28,13.9,6.3,0.0,16.6
2022-10-29,15.1,4.5,0.0,11.6
2022-10-30,16.7,4.3,0.0,8.8
2022-10-31,18.1,9.2,4.7,14.1
2022-11-01,20.7,13.4,5.3,16.6
2022-11-02,20.4,11.4,0.0,13.6
2022-11-03,19.8,7.8,0.0,10.3
2022-11-04,21.4,8.8,0.0,10.8
2022-11-05,24.7,15.5,0.0,24.9
2022-11-06,23.3,18.1,6.3,20.2
2022-11-07,24.0,15.1,0.0,17.1
2022-11-08,14.1,7.5,0.0,19.8
2022-11-09,12.4,3.8,0.0,14.4
2022-11-10,18.8,5.6,0.0,7.8
2022-11-11,20.4,12.4,13.0,23.6
2022-11-12,20.4,15.1,3.6,29.1
2022-11-13,15.1,4.9,2.2,24.8
2022-11-14,7.6,1.6,0.0,17.3
2022-11-15,8.2,-0.7,18.5,23.7
2022-11-16,10.2,4.5,12.2,21.5
2022-11-17,7.8,1.1,0.0,27.1
2022-11-18,6.7,-0.6,0.9,24.9
2022-11-19,5.3,-2.5,0.0,17.9
2022-11-20,1.5,-2.6,0.0,27.7
2022-11-21,4.2,-4.5,0.0,16.6
2022-11-22,10.2,0.0,0.0,15.8
2022-11-23,12.4,1.3,0.0,12.4
2022-11-24,12.6,0.5,0.0,10.8
2022-11-25,13.3,5.4,2.9,22.1
2022-11-26,12.5,2.9,0.0,17.9
2022-11-27,14.9,5.6,8.7,26.0
2022-11-28,12.4,6.4,0.0,25.2
2022-11-29,8.0,1.1,0.0,10.1
2022-11-30,13.2,3.1,12.5,28.9
2022-12-01,5.2,-0.1,0.0,28.2
2022-12-02,6.3,-3.7,0.0,10.8
2022-12-03,14.7,5.5,7.1,31.7
2022-12-04,7.5,0.1,0.0,20.4
2022-12-05,7.6,-3.4,0.0,10.0
2022-12-06,12.7,0.7,13.6,16.5
2022-12-07,14.1,10.0,5.0,13.8
2022-12-08,11.4,6.8,0.0,18.0
2022-12-09,7.7,1.4,0.0,13.7
2022-12-10,5.5,-1.4,0.0,14.7
2022-12-11,5.9,2.2,1.9,14.0
2022-12-12,5.3,-0.3,0.0,19.9
2022-12-13,5.0,-4.5,0.0,13.9
2022-12-14,5.3,-3.2,0.0,15.7
2022-12-15,6.8,-1.3,27.0,30.4
2022-12-16,8.9,3.5,9.2,36.6
2022-12-17,6.6,0.4,0.0,21.9
2022-12-18,4.1,-1.9,0.0,20.5
2022-12-19,3.9,-2.9,0.0,23.4
2022-12-20,4.4,-3.2,0.0,19.6
2022-12-21,4.0,-4.5,0.0,9.9
2022-12-22,9.0,-2.0,11.9,26.1
2022-12-23,13.3,-12.9,15.0,34.7
2022-12-24,-6.5,-14.5,0.0,32.9
2022-12-25,-2.0,-9.9,0.0,23.9
2022-12-26,-0.5,-7.9,0.0,15.7
2022-12-27,3.5,-5.0,0.0,11.2
2022-12-28,7.1,-3.4,0.0,15.8
2022-12-29,8.9,-1.1,0.0,11.9
2022-12-30,11.8,0.6,0.0,11.5
2022-12-31,12.2,7.3,10.0,13.1
2023-01-01,13.0,6.9,1.1,17.6
2023-01-02,14.9,5.2,0.3,11.2
2023-01-03,15.6,8.5,7.3,23.1
2023-01-04,17.4,12.9,2.2,20.6
2023-01-05,14.9,7.8,0.5,12.9
2023-01-06,9.5,3.7,5.2,18.8
2023-01-07,7.9,0.8,0.0,19.7
2023-01-08,5.3,-0.9,0.0,14.0
2023-01-09,7.2,2.3,1.7,17.4
2023-01-10,6.8,-0.7,0.0,18.7
2023-01-11,7.3,-1.4,0.0,13.9
2023-01-12,13.3,0.6,3.4,19.5
2023-01-13,12.7,1.5,4.7,23.5
2023-01-14,1.1,-2.7,0.0,24.7
2023-01-15,5.7,-2.7,0.0,25.0
2023-01-16,9.1,-3.9,0.0,16.9
2023-01-17,6.8,-1.4,0.1,13.3
2023-01-18,10.9,3.3,0.1,22.4
2023-01-19,7.2,2.8,18.9,14.2
2023-01-20,8.4,3.9,0.0,28.2
2023-01-21,5.3,0.7,0.0,19.8
2023-01-22,6.2,-2.7,7.5,15.8
2023-01-23,4.4,2.1,10.8,25.3
2023-01-24,8.6,-0.3,0.0,20.9
2023-01-25,13.0,-2.1,21.0,27.5
2023-01-26,12.9,3.2,7.8,32.8
2023-01-27,5.3,-0.7,0.0,15.7
2023-01-28,11.2,-1.0,0.0,18.8
2023-01-29,9.9,2.0,0.3,19.1
2023-01-30,12.8,1.9,0.0,11.6
2023-01-31,7.0,1.4,2.4,16.1
2023-02-01,3.0,-2.9,1.3,12.8
2023-02-02,4.4,-3.9,0.0,17.4
2023-02-03,0.8,-8.4,0.0,33.3
2023-02-04,-2.7,-10.9,0.0,28.2
2023-02-05,8.4,-4.4,0.0,19.6
2023-02-06,10.3,1.0,0.0,25.9
2023-02-07,6.4,-3.4,0.0,16.9
2023-02-08,12.0,3.6,0.1,15.5
2023-02-09,15.6,-0.5,0.0,23.8
2023-02-10,14.7,6.6,0.0,26.3
2023-02-11,7.8,1.3,0.0,19.6
2023-02-12,7.0,0.8,2.1,22.7
2023-02-13,13.5,2.9,0.8,22.7
