Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,12.1,4.4,2.6,26.7
2022-01-02,13.1,0.8,0.0,22.3
2022-01-03,15.4,3.5,0.0,11.9
2022-01-04,16.0,3.2,0.0,10.6
2022-01-05,16.2,4.0,0.0,10.9
2022-01-06,17.3,4.8,0.0,10.0
2022-01-07,19.0,5.3,0.0,9.7
2022-01-08,18.4,8.6,0.0,16.7
2022-01-09,22.4,6.2,0.0,27.8
2022-01-10,21.8,10.8,0.0,29.4
2022-01-11,22.1,9.8,0.0,18.8
2022-01-12,21.6,5.9,0.0,13.8
2022-01-13,20.6,4.7,0.0,9.3
2022-01-14,21.8,9.7,0.0,16.6
2022-01-15,22.1,10.0,0.0,26.4
2022-01-16,22.9,8.9,0.0,15.0
2022-01-17,20.6,7.8,0.0,11.3
2022-01-18,19.7,9.0,0.1,13.1
2022-01-19,19.8,8.5,0.0,10.8
2022-01-20,20.5,7.3,0.0,13.3
2022-01-21,19.7,5.5,0.0,17.1
2022-01-22,19.4,10.8,0.3,31.6
2022-01-23,20.2,9.5,0.0,21.1
2022-01-24,19.0,5.8,0.0,12.2
2022-01-25,19.1,5.8,0.0,14.5
2022-01-26,19.2,4.9,0.0,15.1
2022-01-27,19.5,5.9,0.0,21.3
2022-01-28,21.5,7.4,0.0,38.7
2022-01-29,22.7,9.3,0.1,27.4
2022-01-30,21.7,10.0,0.1,16.1
2022-01-31,20.8,6.5,0.0,13.7
2022-02-01,19.3,7.5,0.0,15.2
2022-02-02,15.5,6.1,0.0,21.5
2022-02-03,13.0,1.7,0.0,15.0
2022-02-04,17.7,3.6,0.0,22.9
2022-02-05,18.9,5.0,0.0,15.0
2022-02-06,22.2,4.3,0.0,30.0
2022-02-07,21.4,10.6,0.0,29.0
2022-02-08,23.8,8.2,0.0,15.0
2022-02-09,25.2,8.4,0.0,13.5
2022-02-10,26.6,12.2,0.0,20.6
2022-02-11,26.4,9.3,0.0,12.8
2022-02-12,27.2,13.0,0.0,20.4
2022-02-13,27.1,10.6,0.0,14.2
2022-02-14,26.9,8.9,0.0,11.7
2022-02-15,24.8,9.7,0.0,25.0
2022-02-16,17.1,10.0,2.2,24.9
2022-02-17,19.3,6.4,0.1,18.1
2022-02-18,20.7,3.9,0.0,11.7
2022-02-19,24.9,9.0,0.0,18.4
2022-02-20,24.8,7.7,0.0,17.9
2022-02-21,20.5,9.5,0.0,30.1
2022-02-22,17.5,8.2,0.6,23.8
2022-02-23,12.1,4.6,11.9,25.5
2022-02-24,12.3,2.2,0.0,12.5
2022-02-25,16.6,2.3,0.0,14.8
2022-02-26,18.8,5.1,0.0,16.3
2022-02-27,21.0,3.1,0.0,16.3
2022-02-28,26.7,10.7,0.0,17.5
2022-03-01,27.6,10.6,0.0,15.5
2022-03-02,30.0,11.0,0.0,12.3
2022-03-03,29.0,12.8,0.0,25.4
2022-03-04,20.0,12.3,2.4,35.0
2022-03-05,20.3,9.5,2.3,33.3
2022-03-06,16.5,5.1,0.0,22.2
2022-03-07,20.2,4.9,0.0,26.7
2022-03-08,18.0,5.8,0.0,17.4
2022-03-09,21.1,4.4,0.0,19.2
2022-03-10,21.7,6.5,0.0,36.4
2022-03-11,20.6,5.9,0.0,31.8
2022-03-12,24.4,8.7,0.0,12.2
2022-03-13,25.8,7.6,0.0,21.3
2022-03-14,26.6,11.5,0.0,12.6
2022-03-15,29.7,12.1,0.0,12.6
2022-03-16,28.7,13.4,0.0,33.0
2022-03-17,26.2,12.3,0.0,20.7
2022-03-18,27.6,10.5,0.0,20.3
2022-03-19,28.4,11.1,0.0,18.6
2022-03-20,22.5,14.1,0.1,30.2
2022-03-21,24.3,10.6,0.0,24.9
2022-03-22,27.6,11.1,0.0,28.5
2022-03-23,26.0,13.8,0.0,37.0
2022-03-24,29.4,11.3,0.0,14.7
2022-03-25,34.2,13.0,0.0,12.5
2022-03-26,33.7,15.5,0.0,13.0
2022-03-27,34.0,16.0,0.0,23.4
2022-03-28,27.1,16.4,7.1,28.1
2022-03-29,18.3,11.6,17.2,21.1
2022-03-30,24.8,10.1,0.0,13.7
2022-03-31,25.2,12.9,0.0,16.1
2022-04-01,28.1,13.3,0.0,14.0
2022-04-02,29.9,14.6,0.0,23.8
2022-04-03,28.4,15.5,0.0,16.1
2022-04-04,30.5,15.9,0.0,26.5
2022-04-05,33.0,17.0,0.0,27.9
2022-04-06,33.8,18.0,0.0,25.9
2022-04-07,33.6,17.5,0.0,27.5
2022-04-08,35.0,17.5,0.0,19.1
2022-04-09,34.9,16.5,0.0,30.9
2022-04-10,31.3,18.7,0.0,32.7
2022-04-11,29.3,16.3,0.0,29.5
2022-04-12,23.6,14.7,0.0,34.2
2022-04-13,23.0,8.2,0.0,20.9
2022-04-14,27.6,9.0,0.0,12.8
2022-04-15,30.9,12.7,0.0,18.3
2022-04-16,31.6,16.9,0.0,29.1
2022-04-17,32.9,14.5,0.0,15.6
2022-04-18,35.2,15.1,0.0,17.7
2022-04-19,36.6,20.3,0.0,36.2
2022-04-20,31.5,17.3,0.0,19.6
2022-04-21,32.9,17.4,0.0,16.8
2022-04-22,25.3,18.0,0.0,36.6
2022-04-23,27.7,12.0,0.0,24.0
