Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.6,23.6,3.5,11.9
2022-01-02,30.5,23.6,3.9,13.5
2022-01-03,31.7,23.5,0.6,8.4
2022-01-04,33.4,25.3,0.0,17.4
2022-01-05,31.7,24.6,1.7,16.4
2022-01-06,30.6,23.5,21.4,22.4
2022-01-07,25.7,23.1,24.8,19.5
2022-01-08,24.1,22.4,12.8,16.0
2022-01-09,24.4,21.6,5.1,7.4
2022-01-10,26.2,20.4,39.7,10.5
2022-01-11,27.9,22.4,27.6,14.8
2022-01-12,29.7,22.7,5.1,15.3
2022-01-13,28.9,22.7,2.8,14.3
2022-01-14,29.6,23.3,0.0,16.6
2022-01-15,29.4,24.1,0.3,10.9
2022-01-16,31.1,22.5,0.3,9.7
2022-01-17,33.1,23.3,0.2,15.2
2022-01-18,34.6,24.2,1.2,18.8
2022-01-19,33.3,24.2,2.8,19.6
2022-01-20,31.2,23.1,0.0,16.5
2022-01-21,30.5,23.0,0.3,18.4
2022-01-22,31.4,21.8,0.0,22.3
2022-01-23,32.3,22.3,0.0,20.9
2022-01-24,33.3,22.5,0.0,19.0
2022-01-25,34.6,23.6,0.3,18.2
2022-01-26,33.8,23.4,0.1,14.9
2022-01-27,37.3,26.0,0.0,23.3
2022-01-28,30.8,24.3,13.4,18.5
2022-01-29,32.2,24.1,3.8,15.5
2022-01-30,30.6,23.9,19.5,12.4
2022-01-31,29.8,23.3,3.0,10.5
2022-02-01,32.1,24.4,9.9,20.4
2022-02-02,28.4,23.5,12.2,14.1
2022-02-03,27.8,22.6,3.8,14.9
2022-02-04,29.9,23.1,0.8,16.4
2022-02-05,32.4,24.2,0.7,10.4
2022-02-06,33.3,25.0,24.4,15.3
2022-02-07,30.3,23.6,25.5,14.0
2022-02-08,25.6,21.2,20.9,28.6
2022-02-09,25.4,20.3,11.8,12.4
2022-02-10,25.9,22.3,1.7,12.9
2022-02-11,26.7,22.1,3.4,11.8
2022-02-12,27.5,22.2,2.6,16.1
2022-02-13,28.3,21.8,0.3,19.2
2022-02-14,32.9,23.4,5.2,13.4
2022-02-15,29.1,23.4,3.3,21.9
2022-02-16,27.7,23.2,1.7,18.1
2022-02-17,29.8,21.6,4.2,20.1
2022-02-18,24.9,22.3,26.6,11.9
2022-02-19,26.7,22.0,5.7,15.0
2022-02-20,29.6,23.1,6.8,11.5
