Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,13.0,5.3,0.0,9.9
2022-01-02,10.7,5.8,0.0,9.9
2022-01-03,13.1,5.6,0.6,9.4
2022-01-04,15.4,9.7,0.0,18.3
2022-01-05,16.2,10.8,6.7,31.6
2022-01-06,12.5,6.2,0.2,22.4
2022-01-07,12.7,4.0,1.2,10.9
2022-01-08,9.3,1.3,0.0,11.9
2022-01-09,9.3,0.0,2.8,23.6
2022-01-10,10.5,2.5,0.6,30.2
2022-01-11,11.5,5.7,0.0,33.3
2022-01-12,11.8,3.5,3.0,32.4
2022-01-13,11.4,0.5,0.0,18.0
2022-01-14,10.6,-0.2,0.0,11.2
2022-01-15,12.7,1.4,0.0,10.3
2022-01-16,13.0,3.1,0.0,10.4
2022-01-17,12.4,1.7,0.0,11.5
2022-01-18,12.8,0.6,0.0,10.0
2022-01-19,12.9,1.8,0.0,11.2
2022-01-20,11.7,7.5,6.0,16.6
2022-01-21,11.5,4.0,0.0,11.6
2022-01-22,10.6,0.9,0.0,10.0
2022-01-23,11.9,-0.5,0.0,9.4
2022-01-24,13.2,1.0,0.0,16.9
2022-01-25,9.6,-1.3,0.0,10.2
2022-01-26,11.8,0.1,0.0,12.4
2022-01-27,12.0,1.1,0.0,10.5
2022-01-28,13.5,4.4,0.0,14.7
2022-01-29,12.7,1.4,0.0,14.4
2022-01-30,12.9,1.6,0.0,8.4
2022-01-31,11.7,1.2,2.3,16.9
2022-02-01,13.8,3.9,0.0,29.9
2022-02-02,15.3,1.7,0.0,12.7
2022-02-03,15.0,2.1,0.0,13.0
2022-02-04,14.7,8.3,0.1,21.9
2022-02-05,14.6,7.9,2.7,10.4
2022-02-06,15.6,4.6,0.0,10.8
2022-02-07,16.1,5.5,0.9,25.0
2022-02-08,14.0,2.6,0.0,14.1
2022-02-09,16.1,2.3,0.0,10.1
2022-02-10,16.7,3.8,0.0,9.6
2022-02-11,14.8,2.5,0.0,8.9
2022-02-12,16.4,2.4,0.0,9.5
2022-02-13,15.0,4.4,7.4,12.3
2022-02-14,14.0,8.1,6.7,18.6
2022-02-15,13.2,9.2,18.5,26.5
2022-02-16,12.7,4.3,0.2,17.5
2022-02-17,15.2,2.8,0.0,9.8
2022-02-18,15.6,8.4,0.0,14.2
2022-02-19,17.0,10.7,0.0,20.2
2022-02-20,16.9,9.1,0.4,9.2
2022-02-21,15.3,8.8,1.9,22.2
2022-02-22,16.2,6.4,0.0,28.9
2022-02-23,18.3,2.9,0.0,11.5
2022-02-24,17.1,4.6,0.0,12.3
2022-02-25,15.4,3.9,0.3,16.8
2022-02-26,9.6,4.2,3.1,34.2
2022-02-27,11.7,4.2,0.0,28.7
2022-02-28,14.0,3.5,0.0,18.7
2022-03-01,11.6,1.2,0.0,25.3
2022-03-02,12.9,-0.7,0.0,17.1
2022-03-03,13.2,0.8,0.0,12.7
2022-03-04,13.6,1.2,2.6,8.2
2022-03-05,12.9,2.2,0.0,26.3
2022-03-06,12.4,0.7,0.2,21.6
2022-03-07,11.3,0.5,0.0,20.7
2022-03-08,11.4,0.5,0.0,25.4
2022-03-09,15.9,-0.6,0.0,16.4
2022-03-10,17.0,0.9,0.0,15.1
2022-03-11,13.9,2.6,0.0,13.0
2022-03-12,14.4,5.7,0.0,18.7
2022-03-13,15.1,2.5,0.0,14.4
2022-03-14,16.8,3.6,0.0,11.6
2022-03-15,17.0,3.8,0.0,17.0
2022-03-16,18.3,5.2,0.0,13.0
2022-03-17,20.4,6.9,0.0,10.7
2022-03-18,19.2,8.4,0.0,9.4
2022-03-19,17.0,10.8,1.5,15.3
2022-03-20,16.9,6.4,0.2,20.1
2022-03-21,15.5,2.6,0.5,20.4
2022-03-22,17.0,1.9,0.0,23.9
