Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,-1.2,-9.7,0.0,20.9
2022-01-02,-7.4,-11.0,0.0,22.3
2022-01-03,-6.6,-8.8,2.5,18.3
2022-01-04,0.7,-6.5,4.7,20.4
2022-01-05,1.3,-0.7,5.6,23.5
2022-01-06,-0.7,-9.0,2.8,23.4
2022-01-07,-6.7,-13.0,0.9,22.6
2022-01-08,-8.4,-14.5,1.3,13.8
2022-01-09,-3.6,-8.0,3.1,14.0
2022-01-10,-5.8,-12.0,0.0,15.3
2022-01-11,-11.9,-14.0,0.0,8.8
2022-01-12,-6.0,-16.3,0.1,24.2
2022-01-13,3.1,-5.4,2.2,40.8
2022-01-14,1.8,-2.1,5.2,34.6
2022-01-15,-1.1,-5.0,0.1,25.7
2022-01-16,1.1,-7.2,1.8,30.5
2022-01-17,1.1,-6.2,1.4,26.4
2022-01-18,-5.4,-9.4,0.0,22.8
2022-01-19,1.6,-4.6,0.8,26.5
2022-01-20,2.0,-1.2,2.9,26.0
2022-01-21,-1.4,-6.2,1.6,13.0
2022-01-22,-2.8,-6.5,1.7,23.4
2022-01-23,-3.6,-9.7,0.6,18.5
2022-01-24,0.1,-3.7,0.0,28.7
2022-01-25,0.5,-8.6,0.0,28.7
2022-01-26,-5.5,-11.2,0.0,20.5
2022-01-27,-2.5,-6.6,5.3,22.6
2022-01-28,-2.0,-3.9,4.0,17.0
2022-01-29,-3.5,-5.6,0.2,29.2
2022-01-30,-2.7,-5.4,7.2,33.7
2022-01-31,-3.1,-4.4,2.8,14.3
2022-02-01,-4.0,-5.1,1.6,14.9
2022-02-02,-5.1,-7.7,0.3,8.4
2022-02-03,-8.5,-11.3,0.0,9.2
2022-02-04,-10.0,-15.9,0.0,23.4
2022-02-05,-6.2,-10.6,1.8,34.8
2022-02-06,0.8,-5.9,0.7,24.9
2022-02-07,0.7,-0.2,7.6,22.3
2022-02-08,0.3,-4.2,0.8,20.5
2022-02-09,0.4,-4.1,0.9,18.5
2022-02-10,1.0,-1.2,3.1,26.9
2022-02-11,-0.1,-4.7,0.1,23.3
2022-02-12,0.1,-5.4,1.1,28.6
2022-02-13,0.9,-0.4,3.0,28.5
2022-02-14,1.1,0.6,4.8,26.7
2022-02-15,2.3,0.4,1.0,20.9
2022-02-16,2.3,0.9,1.9,27.6
2022-02-17,2.4,0.8,8.7,30.6
2022-02-18,2.5,-1.2,4.1,34.9
2022-02-19,0.8,-0.2,3.6,25.0
2022-02-20,0.2,-3.9,1.7,29.5
2022-02-21,0.3,-4.0,3.9,25.0
2022-02-22,1.2,-3.0,5.9,19.3
2022-02-23,-2.8,-6.3,0.0,17.1
2022-02-24,1.5,-6.2,0.0,37.1
2022-02-25,2.1,-1.1,1.7,38.3
2022-02-26,1.2,-6.4,0.9,33.0
2022-02-27,-2.3,-12.5,0.0,14.5
2022-02-28,0.9,-5.2,0.0,15.3
2022-03-01,2.2,-4.0,0.0,13.2
2022-03-02,1.0,-4.3,0.0,15.6
2022-03-03,0.7,-1.3,0.2,17.4
2022-03-04,-0.5,-6.7,0.1,17.4
2022-03-05,-4.6,-12.3,0.0,13.3
2022-03-06,-0.5,-7.6,0.0,26.8
2022-03-07,-2.5,-8.5,0.6,21.7
2022-03-08,-6.6,-16.4,0.0,11.6
2022-03-09,-5.1,-18.5,0.0,12.0
2022-03-10,-2.4,-16.4,0.0,17.6
