Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.2,24.9,0.9,18.8
2022-01-02,27.7,24.6,1.8,19.9
2022-01-03,28.8,24.2,0.2,19.4
2022-01-04,27.1,23.2,1.6,15.7
2022-01-05,28.9,24.7,0.5,21.5
2022-01-06,28.8,24.5,1.9,20.9
2022-01-07,28.4,25.1,2.3,15.5
2022-01-08,29.1,24.9,1.7,25.5
2022-01-09,28.7,24.0,2.1,19.8
2022-01-10,28.4,24.5,0.4,19.1
2022-01-11,28.5,23.9,5.2,22.7
2022-01-12,29.9,24.7,0.1,18.5
2022-01-13,28.6,24.2,0.4,15.9
2022-01-14,29.3,26.0,3.2,25.7
2022-01-15,28.9,25.3,1.1,22.6
2022-01-16,27.2,24.8,1.3,15.0
2022-01-17,29.6,24.2,0.6,20.0
2022-01-18,29.2,25.0,0.0,16.1
2022-01-19,28.1,24.6,2.1,16.3
2022-01-20,27.9,24.2,6.8,16.9
2022-01-21,27.1,24.8,1.4,14.3
2022-01-22,27.9,24.2,1.8,18.7
2022-01-23,27.6,23.3,16.4,15.8
2022-01-24,27.1,24.0,6.9,13.5
2022-01-25,28.1,22.7,11.5,20.7
2022-01-26,27.9,22.4,23.2,22.5
2022-01-27,27.5,23.3,3.2,18.7
2022-01-28,27.6,23.4,8.9,19.1
2022-01-29,27.8,23.2,10.2,12.6
2022-01-30,29.3,24.7,0.4,20.4
2022-01-31,29.4,24.7,1.5,20.3
2022-02-01,29.1,25.4,1.1,20.6
2022-02-02,29.1,24.0,1.6,18.8
2022-02-03,29.1,24.9,2.0,19.2
2022-02-04,28.7,25.1,2.1,20.9
2022-02-05,29.4,23.8,6.4,19.6
2022-02-06,28.2,24.8,0.4,19.2
2022-02-07,28.5,24.5,1.2,15.9
2022-02-08,29.4,25.1,0.5,21.7
2022-02-09,28.5,24.6,1.1,18.6
2022-02-10,28.4,25.1,0.1,18.6
2022-02-11,27.1,23.8,6.3,15.9
2022-02-12,28.5,24.3,3.6,18.9
2022-02-13,27.8,24.0,5.4,18.0
2022-02-14,27.4,22.2,9.5,19.6
2022-02-15,29.0,24.8,0.5,19.4
2022-02-16,29.3,24.5,2.8,18.0
2022-02-17,28.3,25.0,0.1,17.3
2022-02-18,29.4,25.2,0.9,20.6
2022-02-19,29.4,25.2,2.5,22.4
2022-02-20,28.5,25.1,1.9,17.8
2022-02-21,26.7,24.5,3.5,14.3
2022-02-22,28.2,24.9,0.4,17.0
2022-02-23,28.0,24.4,1.1,15.0
2022-02-24,28.2,24.3,1.3,17.1
2022-02-25,29.3,24.9,3.6,20.6
2022-02-26,28.1,24.0,2.8,19.0
2022-02-27,28.5,25.9,2.1,22.2
2022-02-28,27.9,25.7,2.0,19.2
2022-03-01,28.9,25.2,0.3,18.9
2022-03-02,29.5,24.9,4.1,23.0
2022-03-03,26.9,24.0,15.8,19.8
2022-03-04,26.5,24.0,21.7,21.8
2022-03-05,26.4,23.3,7.5,16.3
2022-03-06,26.8,23.3,4.2,17.9
2022-03-07,27.4,22.8,5.7,20.4
2022-03-08,27.1,24.7,1.9,18.8
2022-03-09,27.1,23.7,2.6,19.2
2022-03-10,27.2,24.0,7.0,18.1
2022-03-11,27.9,24.3,1.8,17.6
2022-03-12,28.3,24.2,0.8,17.3
2022-03-13,27.9,24.8,1.1,16.4
2022-03-14,28.4,24.1,2.1,18.5
2022-03-15,28.2,24.4,10.8,18.2
2022-03-16,28.1,23.9,7.2,16.5
2022-03-17,27.4,24.1,3.7,18.5
2022-03-18,28.5,23.9,6.0,21.4
2022-03-19,27.6,23.8,2.3,18.9
2022-03-20,28.3,24.6,0.9,16.3
2022-03-21,27.6,24.7,0.8,18.0
2022-03-22,27.8,23.9,3.1,20.7
2022-03-23,27.0,23.2,41.3,21.5
2022-03-24,29.0,23.5,1.8,17.5
2022-03-25,27.3,25.0,1.6,16.9
2022-03-26,27.6,23.8,2.0,14.5
2022-03-27,27.8,24.4,1.5,18.5
2022-03-28,29.2,25.5,0.7,18.4
2022-03-29,27.5,24.5,1.7,15.0
2022-03-30,27.8,24.1,3.1,17.6
2022-03-31,28.4,25.3,0.5,16.9
2022-04-01,27.6,25.0,1.7,17.9
2022-04-02,27.4,23.8,4.3,18.1
2022-04-03,27.8,24.8,3.0,21.9
2022-04-04,27.2,23.3,10.4,16.1
2022-04-05,27.1,23.5,2.7,14.9
2022-04-06,27.8,23.5,2.8,13.6
2022-04-07,28.6,24.1,0.1,14.3
2022-04-08,29.4,23.8,0.0,14.6
2022-04-09,29.5,24.5,0.0,12.8
2022-04-10,28.7,24.6,0.6,17.3
2022-04-11,29.3,24.1,0.1,16.8
2022-04-12,29.5,24.3,0.1,15.5
2022-04-13,29.4,24.9,0.1,14.9
2022-04-14,29.4,24.6,0.5,18.9
2022-04-15,30.4,25.7,0.1,20.7
2022-04-16,27.6,24.6,31.0,27.7
2022-04-17,25.5,23.8,27.5,16.4
2022-04-18,26.0,24.1,35.1,31.4
2022-04-19,26.1,23.7,47.1,22.0
2022-04-20,26.1,23.7,63.0,20.4
2022-04-21,26.0,23.4,10.8,19.8
2022-04-22,26.6,23.0,4.3,15.9
2022-04-23,28.4,25.0,1.6,12.1
2022-04-24,29.0,25.3,1.1,19.9
2022-04-25,28.4,25.7,2.5,26.6
2022-04-26,27.6,24.0,4.6,21.5
2022-04-27,28.9,23.3,4.3,20.1
2022-04-28,28.9,25.5,1.7,24.2
2022-04-29,26.9,23.2,4.3,19.9
2022-04-30,26.9,22.7,5.5,19.7
2022-05-01,25.9,22.8,1.0,15.1
2022-05-02,27.1,23.8,0.3,12.4
2022-05-03,27.9,25.1,1.3,14.3
2022-05-04,28.3,25.5,0.7,16.2
2022-05-05,28.6,24.3,1.0,16.6
2022-05-06,28.2,25.5,0.4,16.8
