Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,33.5,23.6,0.2,28.3
2022-01-02,31.5,25.3,3.3,33.7
2022-01-03,31.0,23.2,0.4,29.5
2022-01-04,31.5,23.5,0.0,31.6
2022-01-05,29.6,21.5,23.6,15.8
2022-01-06,32.4,21.4,0.1,18.7
2022-01-07,33.4,23.3,1.1,10.5
2022-01-08,32.9,21.5,15.5,16.4
2022-01-09,31.8,23.3,0.3,13.0
2022-01-10,30.4,23.1,12.0,13.8
2022-01-11,33.1,23.1,0.1,12.7
2022-01-12,33.6,23.0,1.1,12.1
2022-01-13,33.6,21.8,0.8,14.6
2022-01-14,30.0,22.0,1.9,16.3
2022-01-15,30.2,21.0,0.8,23.6
2022-01-16,31.1,22.4,0.2,34.1
2022-01-17,30.6,22.8,0.9,31.5
2022-01-18,29.3,22.5,1.9,26.5
2022-01-19,31.6,23.0,1.2,17.6
2022-01-20,32.4,22.8,0.0,14.9
2022-01-21,29.1,22.9,2.4,26.1
2022-01-22,29.1,22.4,3.3,29.0
2022-01-23,30.3,22.2,1.7,28.3
2022-01-24,32.2,22.2,0.4,15.8
2022-01-25,33.8,23.0,0.0,19.9
2022-01-26,33.4,23.9,0.0,24.5
2022-01-27,32.4,23.7,8.4,16.6
2022-01-28,29.9,20.9,3.2,27.9
2022-01-29,33.1,23.6,0.0,21.1
2022-01-30,35.5,21.8,0.1,17.1
2022-01-31,35.3,22.2,22.8,17.9
2022-02-01,31.9,21.2,10.8,14.3
2022-02-02,32.3,21.9,1.1,14.0
2022-02-03,31.6,22.7,1.5,22.4
2022-02-04,30.0,22.3,3.2,30.5
2022-02-05,26.2,21.8,29.0,23.8
2022-02-06,29.1,21.8,0.9,22.4
2022-02-07,31.2,22.1,0.0,24.5
2022-02-08,32.9,21.8,0.0,17.5
2022-02-09,33.6,21.2,0.0,11.7
2022-02-10,33.6,21.5,0.0,15.5
2022-02-11,32.8,22.6,1.1,20.2
2022-02-12,27.8,21.4,12.9,26.1
2022-02-13,29.1,20.7,0.0,25.0
2022-02-14,32.6,20.5,0.3,10.2
2022-02-15,30.8,22.0,3.4,14.7
2022-02-16,34.4,22.1,4.5,12.3
2022-02-17,33.3,23.1,11.3,18.4
2022-02-18,28.9,21.0,33.9,18.0
2022-02-19,29.9,21.1,2.7,11.9
2022-02-20,30.9,21.5,2.7,14.7
2022-02-21,31.3,21.8,6.1,18.0
2022-02-22,29.2,21.2,39.5,10.4
2022-02-23,27.6,20.8,11.5,10.7
2022-02-24,30.0,22.1,2.0,18.7
2022-02-25,31.5,22.5,1.2,13.3
2022-02-26,32.0,22.5,0.5,18.4
2022-02-27,32.8,23.5,0.0,24.8
2022-02-28,33.0,23.8,0.2,27.4
2022-03-01,33.0,23.4,0.3,17.6
2022-03-02,33.4,23.3,0.1,16.1
2022-03-03,31.7,22.0,8.0,14.7
2022-03-04,30.8,23.3,0.5,19.6
2022-03-05,30.6,22.2,1.9,18.8
2022-03-06,31.5,23.0,1.2,20.2
2022-03-07,29.6,21.9,2.2,22.0
2022-03-08,31.0,21.6,8.5,12.7
2022-03-09,30.5,20.9,1.5,13.1
2022-03-10,29.8,21.7,1.8,18.9
2022-03-11,26.5,21.1,10.7,25.0
2022-03-12,27.0,21.7,0.0,27.6
2022-03-13,27.7,19.9,0.0,20.8
2022-03-14,31.0,21.3,0.0,20.9
2022-03-15,32.0,22.2,0.0,16.5
2022-03-16,32.1,20.5,0.0,11.4
2022-03-17,32.2,21.2,0.0,20.4
2022-03-18,31.6,22.5,1.3,22.3
2022-03-19,26.8,20.9,14.6,26.3
2022-03-20,26.7,20.3,0.1,21.1
2022-03-21,30.4,20.6,0.0,10.2
2022-03-22,31.0,21.7,0.7,25.2
2022-03-23,29.3,22.6,4.2,29.2
2022-03-24,29.3,22.3,27.1,30.7
2022-03-25,22.4,14.4,35.8,21.3
2022-03-26,26.3,16.4,0.1,14.3
2022-03-27,27.6,18.6,6.7,10.0
2022-03-28,30.9,18.4,0.0,13.3
2022-03-29,31.3,22.5,0.1,23.5
2022-03-30,28.8,18.1,7.4,29.6
2022-03-31,20.4,13.9,2.4,29.8
2022-04-01,21.5,16.6,0.0,24.4
2022-04-02,26.2,16.4,0.0,12.7
2022-04-03,28.6,18.4,0.0,28.1
2022-04-04,31.0,20.7,0.8,14.0
2022-04-05,31.9,21.1,0.1,13.7
2022-04-06,31.6,22.1,0.0,12.7
2022-04-07,31.4,22.4,0.6,21.4
2022-04-08,30.2,22.0,1.2,19.3
2022-04-09,31.7,22.5,0.2,22.4
2022-04-10,29.9,23.0,2.1,32.2
2022-04-11,28.6,22.8,4.4,33.4
2022-04-12,27.9,22.0,4.7,29.6
2022-04-13,24.0,21.5,75.8,22.7
2022-04-14,24.7,19.9,0.4,29.6
2022-04-15,26.9,18.3,0.0,18.6
2022-04-16,25.6,18.0,0.0,16.9
2022-04-17,26.6,19.7,0.0,20.4
2022-04-18,28.5,18.7,0.0,13.6
2022-04-19,29.3,17.1,0.0,20.7
2022-04-20,29.8,19.5,0.0,23.2
2022-04-21,29.1,21.7,1.2,21.4
2022-04-22,30.1,21.8,1.5,37.0
2022-04-23,29.7,23.2,0.6,19.5
2022-04-24,28.7,22.0,2.9,27.8
2022-04-25,30.0,22.5,1.8,32.2
2022-04-26,29.7,23.3,2.5,31.3
2022-04-27,30.4,23.7,0.6,33.9
2022-04-28,29.2,23.0,5.0,23.2
2022-04-29,24.4,19.8,2.1,18.4
2022-04-30,28.5,18.7,0.0,16.1
2022-05-01,29.3,19.5,0.2,20.8
2022-05-02,27.6,17.1,9.3,22.7
2022-05-03,19.1,14.5,11.1,25.2
2022-05-04,24.3,14.0,0.0,16.7
2022-05-05,25.0,13.0,0.0,10.7
2022-05-06,26.8,13.8,0.0,10.5
2022-05-07,27.9,17.5,0.0,13.5
2022-05-08,29.1,16.2,0.0,22.0
2022-05-09,29.5,19.3,4.3,15.3
2022-05-10,27.8,17.7,8.4,15.7
2022-05-11,26.3,20.1,0.0,18.2
2022-05-12,27.8,19.0,0.0,10.0
2022-05-13,28.6,19.1,0.0,30.9
2022-05-14,27.0,20.3,5.0,15.8
2022-05-15,21.5,18.4,1.2,21.3
2022-05-16,22.0,18.0,0.4,27.9
2022-05-17,21.1,15.2,0.0,24.9
2022-05-18,22.3,12.8,0.0,24.0
2022-05-19,21.5,8.7,0.0,10.5
2022-05-20,22.7,11.5,0.0,15.1
