Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.2,12.0,0.0,20.1
2022-01-02,29.4,12.1,0.0,21.0
2022-01-03,30.8,14.1,0.0,24.3
2022-01-04,30.6,14.3,0.0,19.6
2022-01-05,30.5,14.7,0.0,20.3
2022-01-06,28.8,13.1,0.0,19.3
2022-01-07,32.2,13.2,0.0,20.1
2022-01-08,29.5,14.9,0.0,20.5
2022-01-09,28.5,13.6,0.0,17.6
2022-01-10,29.7,13.5,0.0,20.1
2022-01-11,29.9,15.1,0.0,19.2
2022-01-12,28.9,14.5,0.0,18.6
2022-01-13,28.9,13.6,0.0,18.4
2022-01-14,31.3,14.0,0.0,20.0
2022-01-15,28.4,15.1,0.0,20.1
2022-01-16,24.5,13.1,0.0,22.3
2022-01-17,24.1,12.8,0.0,17.2
2022-01-18,27.0,11.3,0.0,20.0
2022-01-19,27.0,12.6,0.0,20.6
2022-01-20,28.6,11.5,0.0,19.3
2022-01-21,29.0,12.8,0.0,19.4
2022-01-22,28.4,11.8,0.0,19.3
2022-01-23,30.8,14.0,0.0,18.8
2022-01-24,31.7,16.7,0.0,19.7
2022-01-25,29.1,15.1,0.0,17.5
2022-01-26,28.4,12.0,0.0,17.7
2022-01-27,26.8,12.2,0.0,18.4
2022-01-28,27.9,12.3,0.0,18.3
2022-01-29,27.0,11.6,0.0,19.0
2022-01-30,29.0,12.2,0.0,21.2
2022-01-31,29.7,14.4,0.0,20.0
2022-02-01,28.4,15.2,0.0,22.0
2022-02-02,27.9,14.1,0.0,18.6
2022-02-03,26.9,12.0,0.0,18.7
2022-02-04,28.8,12.9,0.0,16.5
2022-02-05,30.5,14.6,0.0,15.7
2022-02-06,32.7,18.2,0.0,20.1
2022-02-07,30.0,14.3,0.0,20.8
2022-02-08,32.2,14.4,0.0,21.7
2022-02-09,30.1,15.6,0.0,19.3
2022-02-10,26.9,12.8,0.0,19.5
2022-02-11,29.0,13.1,0.0,16.0
2022-02-12,31.1,15.4,0.0,19.0
2022-02-13,28.5,13.8,0.0,19.5
2022-02-14,29.3,13.9,0.0,22.2
2022-02-15,27.2,13.0,0.0,17.6
2022-02-16,30.8,11.9,0.0,17.7
2022-02-17,31.9,15.4,0.0,17.9
2022-02-18,30.3,15.2,0.0,22.5
2022-02-19,29.6,13.4,0.0,16.4
2022-02-20,27.6,13.2,0.0,19.8
2022-02-21,25.7,12.2,0.0,22.1
2022-02-22,25.9,11.3,0.0,20.3
2022-02-23,25.8,12.2,4.7,23.1
2022-02-24,26.0,11.7,0.0,16.8
2022-02-25,28.6,13.6,0.0,19.0
2022-02-26,28.6,12.4,0.0,18.6
2022-02-27,27.2,11.7,0.0,17.1
2022-02-28,29.8,12.2,0.0,16.3
2022-03-01,31.1,16.5,0.0,17.7
2022-03-02,30.8,14.9,0.0,19.6
2022-03-03,29.3,13.8,0.0,17.4
2022-03-04,29.1,14.6,0.0,17.9
2022-03-05,29.4,14.6,0.0,19.3
2022-03-06,23.6,12.8,0.0,17.1
2022-03-07,30.0,12.0,0.0,13.3
2022-03-08,25.0,12.4,0.0,18.8
2022-03-09,28.6,11.0,0.0,16.3
2022-03-10,30.5,15.0,0.0,15.3
2022-03-11,29.8,15.9,0.0,19.3
2022-03-12,27.8,13.5,0.0,16.3
2022-03-13,30.7,14.6,0.0,17.9
2022-03-14,30.0,15.9,0.0,18.9
2022-03-15,28.9,14.6,0.0,16.9
2022-03-16,27.6,12.6,0.0,17.8
2022-03-17,25.1,11.3,0.0,15.7
2022-03-18,29.6,13.4,0.0,12.8
2022-03-19,29.7,18.5,0.0,12.5
2022-03-20,27.1,13.9,0.0,19.4
2022-03-21,25.0,10.5,0.0,15.3
2022-03-22,27.1,11.2,0.0,16.8
2022-03-23,20.8,9.3,0.0,17.9
2022-03-24,28.5,10.7,0.0,13.6
2022-03-25,29.8,14.4,0.0,17.6
2022-03-26,24.1,9.6,0.0,15.8
2022-03-27,27.3,11.1,0.0,14.9
2022-03-28,26.8,14.6,0.0,17.2
2022-03-29,25.4,9.8,0.0,18.6
2022-03-30,27.9,12.9,0.0,13.6
2022-03-31,27.9,14.0,0.0,14.2
2022-04-01,27.8,15.2,0.0,15.7
2022-04-02,25.2,12.8,0.0,16.1
2022-04-03,24.9,8.9,0.0,13.5
2022-04-04,28.4,13.8,0.0,15.5
2022-04-05,29.3,15.2,0.0,15.9
2022-04-06,28.1,15.4,0.0,14.6
2022-04-07,28.4,13.7,0.0,14.4
2022-04-08,27.0,13.4,0.0,14.1
2022-04-09,23.0,9.5,0.0,19.6
2022-04-10,20.5,8.9,0.0,19.9
2022-04-11,22.1,8.3,0.0,12.9
2022-04-12,22.7,10.0,0.0,15.8
2022-04-13,28.1,13.2,0.0,14.0
2022-04-14,23.0,10.3,0.0,14.5
2022-04-15,19.8,8.8,0.0,12.3
2022-04-16,23.3,10.1,0.0,14.9
2022-04-17,23.6,10.7,0.0,14.5
2022-04-18,23.2,10.0,0.0,13.9
2022-04-19,21.3,10.7,0.0,15.8
2022-04-20,22.5,9.5,0.0,12.0
2022-04-21,18.8,11.4,0.0,13.7
2022-04-22,19.9,10.7,0.8,12.0
2022-04-23,23.0,11.1,0.0,12.8
2022-04-24,19.7,12.4,0.0,16.1
2022-04-25,21.3,9.5,0.1,21.2
2022-04-26,17.4,10.7,24.6,32.4
2022-04-27,15.0,8.0,2.5,17.1
2022-04-28,20.8,7.7,0.0,11.0
2022-04-29,23.1,11.7,0.0,12.2
2022-04-30,21.0,8.6,0.0,9.9
2022-05-01,20.0,10.4,0.0,13.5
2022-05-02,20.5,9.1,0.0,9.9
2022-05-03,24.5,13.0,0.0,9.0
2022-05-04,23.7,10.4,0.0,12.3
2022-05-05,18.3,10.6,0.0,10.7
2022-05-06,23.1,11.3,0.0,8.7
2022-05-07,19.3,8.6,0.0,9.4
2022-05-08,14.6,8.3,0.0,8.9
2022-05-09,20.3,7.8,0.0,8.9
2022-05-10,22.1,11.3,0.0,9.2
2022-05-11,21.5,12.7,0.0,8.7
