Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,24.8,17.6,15.8,24.8
2022-01-02,26.8,19.6,11.3,13.4
2022-01-03,27.2,19.0,19.4,18.3
2022-01-04,25.7,19.4,18.7,23.9
2022-01-05,25.8,20.3,7.3,24.1
2022-01-06,26.5,19.1,12.7,23.1
2022-01-07,22.7,18.1,9.4,24.0
2022-01-08,21.9,16.7,3.2,26.3
2022-01-09,20.3,15.9,1.8,23.4
2022-01-10,23.9,15.8,1.5,13.7
2022-01-11,24.9,18.1,7.5,12.8
2022-01-12,25.6,17.2,6.0,14.8
2022-01-13,28.1,18.5,12.4,21.7
2022-01-14,27.0,19.9,5.7,12.9
2022-01-15,27.8,20.4,8.0,11.4
2022-01-16,27.0,18.8,7.2,16.8
2022-01-17,28.7,18.5,0.2,15.8
2022-01-18,30.2,18.8,23.8,13.4
2022-01-19,30.9,18.3,0.7,12.7
2022-01-20,29.8,20.1,0.7,13.7
2022-01-21,28.1,19.0,0.2,17.4
2022-01-22,29.4,18.2,0.1,19.2
2022-01-23,30.9,19.6,0.0,20.9
2022-01-24,31.9,19.6,2.2,21.8
2022-01-25,30.2,19.3,4.2,15.6
2022-01-26,30.0,19.9,1.2,21.7
2022-01-27,30.0,19.9,0.8,24.5
2022-01-28,25.0,19.0,10.4,19.7
2022-01-29,21.9,18.4,40.2,18.6
2022-01-30,23.3,19.1,38.0,20.0
2022-01-31,23.3,19.6,20.0,28.5
2022-02-01,25.0,19.4,10.4,19.3
2022-02-02,26.3,18.9,8.9,12.4
2022-02-03,26.6,19.0,12.2,14.0
2022-02-04,27.7,19.2,5.0,21.2
2022-02-05,27.0,20.4,2.1,23.7
2022-02-06,26.9,20.5,7.8,23.7
2022-02-07,23.1,18.6,5.7,23.2
2022-02-08,23.8,17.3,1.7,21.7
2022-02-09,23.9,15.3,0.0,21.1
2022-02-10,25.4,14.5,0.1,22.5
2022-02-11,24.6,15.3,2.3,23.7
2022-02-12,25.1,16.9,2.4,20.6
2022-02-13,27.9,17.2,0.5,19.0
2022-02-14,29.8,19.0,0.5,16.3
2022-02-15,26.7,19.0,5.2,18.2
2022-02-16,26.4,15.7,0.3,19.2
2022-02-17,26.1,17.2,17.5,15.6
2022-02-18,24.7,17.1,6.6,18.1
2022-02-19,26.7,16.4,2.8,20.5
2022-02-20,27.1,18.0,2.4,14.3
2022-02-21,28.5,17.1,0.1,13.2
2022-02-22,29.8,17.1,0.0,17.6
2022-02-23,29.9,18.7,10.0,21.0
2022-02-24,28.4,18.4,0.8,19.3
2022-02-25,29.1,18.3,0.0,16.0
2022-02-26,28.5,17.6,0.0,19.6
2022-02-27,28.6,18.8,0.3,15.5
2022-02-28,30.3,18.9,0.0,16.3
2022-03-01,31.2,19.9,15.3,19.7
2022-03-02,29.7,18.1,0.5,17.1
2022-03-03,29.7,18.4,0.9,14.8
2022-03-04,28.8,19.4,5.7,12.5
2022-03-05,29.8,19.2,0.9,9.8
2022-03-06,30.2,19.2,6.2,15.0
2022-03-07,29.7,19.1,1.2,9.4
2022-03-08,29.8,20.0,0.0,22.7
2022-03-09,29.3,19.5,1.1,16.1
2022-03-10,30.6,18.9,1.0,15.1
2022-03-11,28.4,20.3,2.2,20.0
2022-03-12,25.4,20.0,22.5,16.3
2022-03-13,27.2,19.4,1.7,15.2
2022-03-14,26.1,19.5,13.0,13.9
2022-03-15,24.5,19.9,18.6,14.7
2022-03-16,28.1,19.0,14.5,20.2
2022-03-17,28.8,20.0,1.7,24.5
2022-03-18,29.1,19.6,3.0,13.2
2022-03-19,29.5,20.3,23.3,19.3
2022-03-20,21.5,17.1,8.3,24.9
2022-03-21,20.9,15.9,0.2,23.7
2022-03-22,24.5,14.3,0.0,23.7
2022-03-23,27.3,15.3,0.4,17.6
2022-03-24,28.8,17.8,0.0,23.7
2022-03-25,29.2,20.4,0.1,24.3
2022-03-26,28.0,20.8,0.7,24.7
2022-03-27,24.9,19.7,18.2,11.5
2022-03-28,24.7,18.6,3.9,17.3
2022-03-29,25.8,18.1,0.7,14.6
2022-03-30,28.6,18.0,0.2,19.5
2022-03-31,24.3,16.6,3.6,31.3
2022-04-01,19.9,16.2,5.0,19.4
2022-04-02,21.5,17.0,1.9,22.4
2022-04-03,26.5,17.1,1.3,23.3
2022-04-04,28.9,18.8,1.0,17.2
2022-04-05,25.1,19.0,4.8,18.3
2022-04-06,25.4,17.6,0.1,19.8
2022-04-07,25.4,16.8,0.1,20.6
2022-04-08,29.0,17.0,12.4,16.8
2022-04-09,27.8,17.9,1.2,18.3
2022-04-10,25.7,18.1,0.0,18.0
2022-04-11,27.9,16.9,0.0,16.8
2022-04-12,27.8,18.1,9.5,19.9
2022-04-13,26.1,18.8,1.8,19.1
2022-04-14,24.6,16.5,6.0,26.7
2022-04-15,19.4,12.4,0.9,21.2
2022-04-16,20.1,11.8,0.1,17.3
2022-04-17,20.0,13.4,0.8,17.9
2022-04-18,22.2,11.8,0.1,18.7
2022-04-19,23.8,12.5,0.0,18.5
2022-04-20,23.8,15.4,0.0,16.3
2022-04-21,25.7,14.9,0.0,13.0
2022-04-22,26.8,13.4,0.2,21.6
2022-04-23,27.5,18.0,0.0,42.7
2022-04-24,25.5,14.4,0.0,18.6
2022-04-25,26.9,16.3,0.0,19.3
2022-04-26,28.6,16.5,0.0,11.3
2022-04-27,29.8,15.1,0.0,16.2
2022-04-28,29.7,16.7,0.0,16.8
2022-04-29,22.1,17.1,13.6,20.7
2022-04-30,20.4,17.5,1.6,17.5
2022-05-01,27.0,17.4,0.6,21.1
2022-05-02,28.0,16.2,0.3,20.0
2022-05-03,28.6,16.3,0.0,22.7
2022-05-04,20.1,13.2,6.7,30.1
2022-05-05,18.3,10.9,0.9,23.0
2022-05-06,20.0,13.1,0.2,17.5
2022-05-07,17.9,11.7,0.2,18.4
2022-05-08,21.4,13.9,0.3,20.1
2022-05-09,22.7,13.9,0.0,17.0
2022-05-10,23.3,12.8,0.0,14.2
2022-05-11,24.3,13.6,1.0,24.0
2022-05-12,22.5,15.3,2.8,18.5
2022-05-13,22.8,14.6,0.1,19.4
2022-05-14,25.0,15.0,0.0,17.7
2022-05-15,23.1,16.0,4.2,26.7
2022-05-16,21.9,14.7,0.3,23.7
2022-05-17,16.9,9.6,0.0,26.2
2022-05-18,13.2,6.3,0.0,41.4
2022-05-19,15.2,7.1,0.6,25.9
2022-05-20,17.0,5.6,0.0,11.5
2022-05-21,20.0,9.3,0.0,13.5
2022-05-22,21.3,10.0,0.0,12.8
2022-05-23,23.2,9.6,0.0,12.5
2022-05-24,23.3,10.2,0.0,11.4
2022-05-25,23.6,10.1,0.0,12.9
2022-05-26,23.8,10.9,0.0,14.7
2022-05-27,24.4,12.8,0.0,16.7
2022-05-28,24.9,12.4,0.0,14.8
2022-05-29,25.9,14.2,0.0,25.0
2022-05-30,25.6,16.9,2.6,23.6
2022-05-31,17.9,15.1,3.6,18.5
2022-06-01,23.0,15.5,5.3,11.3
2022-06-02,23.9,15.2,2.4,20.0
2022-06-03,17.4,14.1,2.0,18.7
2022-06-04,20.2,13.5,1.0,20.4
2022-06-05,21.2,12.9,0.0,19.4
2022-06-06,24.3,11.4,0.0,16.7
2022-06-07,23.9,13.6,2.7,17.6
2022-06-08,19.4,13.4,6.9,12.8
2022-06-09,20.8,12.5,0.2,10.3
2022-06-10,20.8,15.0,10.2,23.0
2022-06-11,18.8,12.2,1.2,14.5
2022-06-12,17.6,8.4,0.0,13.0
2022-06-13,16.6,8.7,0.0,18.0
2022-06-14,17.7,9.6,0.0,17.7
2022-06-15,19.6,10.6,0.3,13.2
2022-06-16,23.3,9.5,0.0,9.2
2022-06-17,23.9,8.9,0.0,23.5
2022-06-18,19.1,13.2,9.2,22.7
2022-06-19,19.9,12.6,0.6,17.7
2022-06-20,20.5,12.3,8.3,17.3
2022-06-21,24.8,12.3,0.0,14.7
2022-06-22,24.7,15.0,0.0,19.9
2022-06-23,25.6,14.2,0.0,18.4
2022-06-24,24.6,11.5,0.0,8.5
2022-06-25,21.3,12.2,0.5,22.0
2022-06-26,17.4,13.0,0.5,17.1
2022-06-27,19.7,12.1,0.0,18.6
2022-06-28,23.1,8.4,0.0,16.5
2022-06-29,23.3,13.5,0.0,37.0
2022-06-30,21.7,11.4,0.0,14.0
2022-07-01,22.6,8.4,0.0,13.1
2022-07-02,25.9,12.1,0.0,21.3
2022-07-03,25.6,10.4,0.0,12.1
2022-07-04,25.0,11.4,0.0,11.4
2022-07-05,23.9,11.8,0.0,17.4
2022-07-06,24.2,10.8,0.0,13.4
2022-07-07,24.3,13.0,0.0,20.3
2022-07-08,23.9,10.3,0.0,11.3
2022-07-09,22.5,11.4,0.0,15.8
2022-07-10,24.2,11.5,0.0,18.8
2022-07-11,24.1,13.1,0.0,23.7
2022-07-12,25.4,15.7,0.2,28.0
2022-07-13,17.6,14.1,1.0,18.7
2022-07-14,24.3,14.8,0.0,23.1
2022-07-15,26.3,14.4,0.0,24.9
2022-07-16,26.6,15.1,0.0,25.5
2022-07-17,27.6,15.6,0.0,27.2
2022-07-18,23.8,14.9,0.0,17.7
2022-07-19,25.5,16.0,0.0,16.2
2022-07-20,22.4,15.4,0.3,16.9
2022-07-21,24.7,14.9,0.0,14.4
2022-07-22,25.5,12.0,0.0,9.4
2022-07-23,25.4,11.8,0.0,11.6
2022-07-24,25.4,11.6,0.0,13.5
2022-07-25,25.5,11.8,0.0,13.2
2022-07-26,24.3,11.3,0.0,18.8
2022-07-27,25.6,13.7,0.0,14.8
2022-07-28,26.0,12.5,0.0,23.2
2022-07-29,21.3,12.3,7.0,27.6
2022-07-30,17.4,9.0,0.1,14.3
2022-07-31,20.8,9.0,0.0,16.5
2022-08-01,25.9,9.6,0.0,21.0
2022-08-02,25.4,11.7,0.0,14.3
2022-08-03,24.6,11.3,0.0,17.7
2022-08-04,27.8,12.4,0.0,21.4
2022-08-05,27.6,14.0,0.5,25.6
2022-08-06,20.4,12.1,0.0,19.5
2022-08-07,20.3,14.7,1.6,17.4
2022-08-08,20.8,15.8,15.6,20.2
2022-08-09,21.7,15.0,6.0,17.2
2022-08-10,16.7,10.3,6.8,39.1
2022-08-11,16.4,10.8,1.9,26.1
2022-08-12,19.4,11.5,0.0,20.7
2022-08-13,24.0,10.4,0.0,18.2
2022-08-14,24.2,10.1,0.0,14.2
2022-08-15,25.9,12.9,0.0,19.9
2022-08-16,28.4,14.4,0.0,26.0
2022-08-17,22.2,13.7,0.0,19.6
2022-08-18,29.0,16.6,0.0,35.3
2022-08-19,17.0,8.5,4.2,25.3
2022-08-20,14.0,8.6,0.1,26.4
2022-08-21,18.3,8.6,0.0,23.5
2022-08-22,19.8,8.9,0.0,18.4
2022-08-23,22.0,9.8,0.0,18.7
2022-08-24,24.0,12.3,0.0,19.5
2022-08-25,25.2,13.3,0.0,15.9
2022-08-26,26.0,13.4,0.0,19.6
2022-08-27,27.6,13.4,0.0,12.9
2022-08-28,28.8,13.5,0.6,25.9
2022-08-29,15.2,10.0,0.5,28.8
2022-08-30,16.8,9.7,0.6,25.6
2022-08-31,20.8,10.1,0.0,22.4
2022-09-01,25.0,8.0,0.0,12.7
2022-09-02,28.4,12.3,0.0,19.2
2022-09-03,21.6,11.9,4.1,24.5
2022-09-04,14.8,10.0,16.7,21.9
2022-09-05,20.2,11.7,0.6,24.9
2022-09-06,22.8,12.6,0.7,24.4
2022-09-07,21.0,13.7,19.7,25.1
2022-09-08,28.7,13.1,0.0,18.2
2022-09-09,31.5,16.6,0.0,19.4
2022-09-10,30.1,13.9,0.0,23.9
2022-09-11,17.0,11.2,0.0,18.4
2022-09-12,23.6,12.5,0.2,26.3
2022-09-13,28.3,14.1,2.6,23.5
2022-09-14,18.7,14.6,4.9,16.7
2022-09-15,16.9,13.9,6.0,20.3
2022-09-16,16.3,12.3,1.4,22.6
2022-09-17,17.3,10.6,0.3,23.4
2022-09-18,20.8,8.2,0.0,21.2
2022-09-19,24.4,10.1,0.0,18.6
2022-09-20,26.1,12.8,4.7,23.1
2022-09-21,25.2,13.1,7.2,18.3
2022-09-22,23.3,14.7,8.6,19.5
2022-09-23,20.7,9.9,0.0,20.4
2022-09-24,18.4,7.4,0.0,18.3
2022-09-25,21.1,9.4,0.0,22.4
2022-09-26,19.1,13.5,10.5,13.0
2022-09-27,25.2,14.9,15.0,20.4
2022-09-28,17.7,13.0,16.5,22.4
2022-09-29,16.8,12.7,4.0,21.9
2022-09-30,18.3,13.1,10.0,24.7
2022-10-01,23.4,14.5,2.8,16.9
2022-10-02,21.0,13.4,0.0,16.4
2022-10-03,23.3,12.7,8.2,18.3
2022-10-04,20.1,15.5,0.9,17.7
2022-10-05,24.3,15.1,0.1,18.5
2022-10-06,29.7,15.0,9.4,20.9
2022-10-07,23.3,16.7,5.2,37.7
2022-10-08,25.5,13.9,0.0,11.3
2022-10-09,28.3,12.6,5.8,20.0
2022-10-10,20.5,15.9,6.2,12.0
2022-10-11,27.0,16.9,4.3,18.7
2022-10-12,25.0,17.4,0.6,16.1
2022-10-13,30.0,17.1,0.0,25.3
2022-10-14,24.3,16.6,0.4,30.0
2022-10-15,21.6,16.4,2.1,22.2
2022-10-16,25.5,15.4,18.0,23.5
2022-10-17,24.9,16.2,0.4,18.0
2022-10-18,20.6,16.6,3.3,17.3
2022-10-19,24.7,16.8,5.7,17.8
2022-10-20,28.3,15.6,1.0,15.2
2022-10-21,25.0,19.1,3.2,31.1
2022-10-22,26.3,15.8,9.0,26.6
2022-10-23,24.9,14.3,0.4,20.9
2022-10-24,23.4,14.9,2.7,21.8
2022-10-25,23.8,14.4,0.0,19.8
2022-10-26,28.4,14.2,0.0,17.2
2022-10-27,31.9,15.8,0.0,21.7
2022-10-28,25.2,18.1,29.5,14.9
2022-10-29,29.7,17.0,7.8,29.4
2022-10-30,28.7,17.3,5.0,26.7
2022-10-31,24.7,18.1,20.4,28.5
2022-11-01,17.8,13.1,4.3,29.4
2022-11-02,14.3,11.8,5.7,28.1
2022-11-03,15.9,10.6,2.0,24.0
2022-11-04,18.0,8.9,0.0,21.1
2022-11-05,18.3,10.8,0.9,21.3
2022-11-06,18.4,10.6,0.3,21.3
2022-11-07,19.0,11.6,1.7,20.9
2022-11-08,21.7,10.7,0.0,24.1
2022-11-09,27.1,11.8,0.2,25.0
2022-11-10,26.9,14.7,0.3,21.7
2022-11-11,27.2,15.8,8.1,17.4
2022-11-12,25.0,17.1,1.5,21.4
2022-11-13,29.7,16.4,0.0,18.4
2022-11-14,27.0,18.7,7.5,27.9
2022-11-15,26.5,16.3,1.8,21.6
2022-11-16,23.7,14.4,0.0,24.5
2022-11-17,23.6,12.3,0.1,22.4
2022-11-18,23.0,14.5,0.3,22.3
2022-11-19,25.6,13.1,0.2,23.6
2022-11-20,27.2,14.5,0.9,16.9
2022-11-21,28.1,15.8,0.6,17.7
2022-11-22,29.8,16.6,3.1,19.6
2022-11-23,28.1,17.3,23.0,19.6
2022-11-24,24.6,16.3,6.4,22.0
2022-11-25,20.8,14.2,2.2,27.4
2022-11-26,23.7,13.3,4.0,16.2
2022-11-27,25.4,14.5,4.1,23.4
2022-11-28,24.3,17.3,22.6,22.2
2022-11-29,24.8,17.3,26.5,21.7
2022-11-30,24.9,17.2,2.4,19.0
2022-12-01,27.5,17.0,21.8,22.3
2022-12-02,28.8,18.3,17.9,14.0
2022-12-03,27.5,20.1,13.1,13.4
2022-12-04,26.6,19.0,14.7,17.9
2022-12-05,24.6,20.1,15.3,20.8
2022-12-06,23.6,19.6,25.0,24.6
2022-12-07,24.9,18.4,2.9,17.7
2022-12-08,27.6,16.4,0.1,12.2
2022-12-09,29.8,14.8,0.0,18.8
2022-12-10,30.5,14.9,0.0,18.2
2022-12-11,29.7,19.3,1.6,19.7
2022-12-12,28.4,20.5,2.6,31.6
2022-12-13,21.9,16.5,15.0,21.7
2022-12-14,22.4,14.1,0.0,18.2
2022-12-15,25.1,13.2,0.6,20.0
2022-12-16,26.5,14.8,2.5,19.8
2022-12-17,23.9,15.7,1.5,23.5
2022-12-18,24.9,15.3,1.2,25.0
2022-12-19,21.4,16.0,13.5,22.3
2022-12-20,22.5,16.5,28.6,22.5
2022-12-21,20.6,15.9,6.4,24.8
2022-12-22,20.7,15.6,3.2,23.0
2022-12-23,23.7,14.8,1.5,24.2
2022-12-24,25.6,15.5,2.2,18.9
2022-12-25,26.4,16.9,10.2,16.1
2022-12-26,25.6,18.8,12.6,20.0
2022-12-27,25.8,17.9,11.8,16.6
2022-12-28,24.8,18.0,3.1,29.2
2022-12-29,24.3,18.8,21.3,23.3
2022-12-30,24.3,17.6,5.3,20.4
2022-12-31,25.7,17.3,9.2,16.6
2023-01-01,25.8,17.0,5.7,17.9
2023-01-02,27.2,17.3,8.1,16.1
2023-01-03,25.3,18.4,3.3,24.0
2023-01-04,25.7,17.1,17.3,23.7
2023-01-05,19.6,16.2,16.1,22.0
2023-01-06,19.2,15.8,1.8,21.2
2023-01-07,20.0,15.1,0.9,21.8
2023-01-08,21.6,15.0,0.3,20.7
2023-01-09,23.1,17.6,5.0,21.8
2023-01-10,24.8,18.1,16.5,17.9
2023-01-11,24.9,17.1,3.7,23.9
2023-01-12,25.7,18.7,5.1,24.0
2023-01-13,25.8,18.8,8.8,28.2
2023-01-14,28.1,19.5,1.4,31.1
2023-01-15,29.2,20.1,1.4,16.1
2023-01-16,29.3,19.1,14.0,14.4
2023-01-17,28.6,20.2,5.3,14.3
2023-01-18,27.7,19.2,7.6,17.4
2023-01-19,27.3,18.6,7.1,16.6
2023-01-20,23.3,18.0,19.4,15.3
2023-01-21,25.8,16.1,1.5,17.3
2023-01-22,27.4,18.3,3.2,19.5
2023-01-23,27.8,18.3,16.1,15.5
2023-01-24,26.9,18.5,2.4,17.9
2023-01-25,26.9,18.5,0.2,19.9
2023-01-26,27.1,16.2,0.0,22.4
2023-01-27,27.2,15.2,0.6,18.9
2023-01-28,27.4,18.5,6.2,17.0
2023-01-29,27.2,18.1,6.2,21.9
2023-01-30,25.5,18.5,9.6,21.1
2023-01-31,27.0,18.9,13.4,22.5
2023-02-01,26.6,20.0,8.9,14.5
2023-02-02,27.8,19.2,5.4,18.7
2023-02-03,26.7,20.1,0.8,24.6
2023-02-04,27.0,19.6,8.0,30.3
2023-02-05,27.0,20.0,1.9,25.7
2023-02-06,27.3,18.8,9.3,19.3
2023-02-07,25.6,17.8,26.0,12.9
2023-02-08,25.5,17.9,3.5,15.5
2023-02-09,27.7,16.4,1.9,15.3
