Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,0.2,-9.1,0.0,9.2
2022-01-02,2.4,-6.6,0.4,17.6
2022-01-03,1.2,-8.4,0.1,13.0
2022-01-04,-0.1,-6.5,0.0,14.5
2022-01-05,2.9,-7.6,0.0,9.4
2022-01-06,2.7,-6.1,0.0,15.2
2022-01-07,2.6,-7.7,0.0,9.7
2022-01-08,4.8,-6.3,0.0,20.6
2022-01-09,4.0,-4.7,0.0,10.5
2022-01-10,3.8,-5.0,0.8,9.8
2022-01-11,-1.2,-10.2,0.6,23.9
2022-01-12,-4.2,-10.4,0.0,14.8
2022-01-13,-3.5,-8.9,0.0,30.4
2022-01-14,-1.0,-9.8,0.0,13.2
2022-01-15,2.9,-5.9,0.1,10.7
2022-01-16,0.1,-7.7,0.2,20.0
2022-01-17,-0.3,-8.4,0.0,21.0
2022-01-18,-1.5,-9.8,0.0,13.1
2022-01-19,-1.0,-8.2,1.6,18.9
2022-01-20,0.6,-9.8,0.0,11.4
2022-01-21,2.6,-8.6,0.0,9.9
2022-01-22,3.9,-5.7,0.0,10.0
2022-01-23,6.8,-2.9,0.0,13.7
2022-01-24,7.7,-0.6,0.0,17.3
2022-01-25,5.5,-0.5,0.8,15.1
2022-01-26,5.0,-4.6,0.0,14.8
2022-01-27,3.3,-5.6,0.0,14.5
2022-01-28,1.8,-6.8,0.0,16.7
2022-01-29,0.4,-6.9,0.0,17.7
2022-01-30,1.9,-7.4,0.0,14.9
2022-01-31,3.9,-7.4,1.0,16.0
2022-02-01,2.3,-5.7,0.9,19.8
2022-02-02,-0.4,-6.9,0.0,16.0
2022-02-03,0.2,-7.0,0.0,17.5
2022-02-04,-1.8,-8.9,0.0,25.2
2022-02-05,-2.6,-9.6,0.0,24.9
2022-02-06,0.8,-8.5,0.0,19.8
2022-02-07,1.7,-7.3,0.0,14.5
2022-02-08,4.4,-5.1,0.0,12.9
2022-02-09,5.3,-6.5,0.0,8.5
2022-02-10,6.4,-4.1,0.0,16.5
2022-02-11,7.8,-4.5,0.0,13.0
2022-02-12,8.9,-2.3,0.0,11.1
2022-02-13,8.7,-2.4,0.0,10.7
2022-02-14,8.2,-2.8,1.4,20.7
2022-02-15,-2.6,-8.4,0.0,22.2
2022-02-16,-3.8,-9.4,0.0,28.8
2022-02-17,-1.6,-10.2,0.0,19.5
2022-02-18,4.4,-8.1,0.0,13.3
2022-02-19,2.9,-7.0,0.0,23.9
2022-02-20,-1.0,-8.2,0.0,21.8
2022-02-21,3.4,-7.6,0.2,33.0
2022-02-22,-0.4,-7.5,0.0,26.5
2022-02-23,-1.1,-9.0,0.0,20.5
2022-02-24,2.6,-8.4,0.0,20.3
2022-02-25,8.1,-4.2,0.0,22.9
2022-02-26,9.4,-0.3,1.2,32.2
2022-02-27,7.5,-4.6,0.0,26.9
2022-02-28,9.1,-1.9,0.0,10.0
2022-03-01,9.1,-2.2,1.5,17.7
2022-03-02,6.5,-5.4,0.0,23.6
2022-03-03,9.4,-3.8,0.0,14.2
2022-03-04,13.6,-3.0,3.7,31.0
2022-03-05,5.8,-3.0,0.0,32.1
2022-03-06,5.2,-4.3,0.0,18.6
2022-03-07,7.2,-4.3,0.0,14.6
2022-03-08,10.0,-3.7,0.0,14.5
2022-03-09,12.0,-1.6,0.0,12.8
2022-03-10,13.9,0.4,0.0,15.9
2022-03-11,15.3,-1.3,0.0,10.1
2022-03-12,19.2,1.5,1.8,21.3
2022-03-13,14.0,8.6,12.7,15.3
2022-03-14,13.3,4.5,7.5,26.6
2022-03-15,10.4,-2.2,0.0,14.1
2022-03-16,15.3,-0.5,0.0,14.3
2022-03-17,15.2,5.7,0.4,21.8
2022-03-18,8.9,4.6,0.1,22.3
2022-03-19,6.2,1.3,14.5,18.8
2022-03-20,8.3,-1.2,0.1,18.8
2022-03-21,9.0,-3.3,0.0,14.5
2022-03-22,11.5,-2.2,0.0,16.0
2022-03-23,8.2,1.2,0.0,17.9
2022-03-24,13.4,0.3,0.0,17.6
2022-03-25,17.7,3.7,7.9,27.0
2022-03-26,16.9,7.3,24.8,25.1
2022-03-27,11.7,1.6,0.0,26.7
2022-03-28,12.0,-1.4,0.0,10.0
2022-03-29,13.6,-0.1,0.0,16.8
2022-03-30,14.1,2.2,4.4,13.8
2022-03-31,13.0,5.5,1.7,10.2
2022-04-01,12.7,1.1,0.0,17.6
2022-04-02,11.8,-0.2,0.0,17.7
2022-04-03,14.6,1.6,0.0,16.0
2022-04-04,14.4,2.6,0.0,18.3
2022-04-05,13.9,1.9,0.0,17.0
2022-04-06,15.1,4.2,0.0,15.6
2022-04-07,13.7,4.6,0.0,25.2
2022-04-08,17.5,2.1,0.0,14.2
2022-04-09,21.5,8.2,0.0,20.7
2022-04-10,22.6,8.3,0.0,16.5
2022-04-11,24.1,9.4,0.0,16.1
2022-04-12,20.7,12.0,0.7,21.3
2022-04-13,13.9,9.3,3.3,26.3
2022-04-14,14.5,9.2,0.1,22.1
2022-04-15,17.3,3.8,0.8,17.7
2022-04-16,17.4,5.2,0.0,21.7
2022-04-17,18.9,4.4,0.0,20.9
2022-04-18,18.7,7.8,0.0,21.6
2022-04-19,19.6,5.1,0.0,17.9
2022-04-20,19.9,5.1,0.0,19.8
2022-04-21,21.4,6.7,0.0,24.0
2022-04-22,18.7,10.9,0.2,29.8
2022-04-23,24.7,7.8,0.0,10.2
2022-04-24,22.3,10.4,0.1,18.0
2022-04-25,24.1,14.1,3.0,8.0
2022-04-26,27.2,16.3,4.2,25.5
2022-04-27,21.5,10.5,0.0,28.4
2022-04-28,23.6,9.2,0.0,21.7
2022-04-29,16.1,9.4,16.6,21.1
2022-04-30,16.5,8.8,0.4,20.6
2022-05-01,17.1,4.9,0.0,30.1
2022-05-02,18.1,6.4,0.0,18.8
2022-05-03,18.2,5.5,0.0,22.5
2022-05-04,23.3,7.8,0.0,20.7
2022-05-05,23.4,8.9,0.0,14.8
2022-05-06,23.9,10.3,0.0,18.9
2022-05-07,23.4,13.4,0.7,23.4
2022-05-08,18.2,11.3,4.4,18.1
2022-05-09,24.4,9.1,0.0,14.1
2022-05-10,24.4,10.7,0.3,14.8
2022-05-11,23.1,13.1,0.0,16.8
2022-05-12,26.4,12.5,0.0,18.2
2022-05-13,25.0,13.8,0.0,29.6
2022-05-14,20.1,9.4,0.0,28.1
2022-05-15,21.5,8.6,0.0,28.8
2022-05-16,22.0,8.8,0.0,26.6
2022-05-17,25.7,10.8,0.0,19.8
2022-05-18,24.7,12.8,0.7,24.3
2022-05-19,23.5,13.8,0.0,25.1
2022-05-20,24.1,14.1,0.2,16.6
2022-05-21,23.4,13.7,0.2,19.9
2022-05-22,24.6,14.4,0.0,20.2
2022-05-23,28.6,13.7,0.0,19.7
2022-05-24,28.6,14.0,0.0,18.4
2022-05-25,25.6,15.3,7.8,22.0
2022-05-26,21.8,12.3,0.3,27.4
2022-05-27,22.9,14.5,0.0,24.1
2022-05-28,27.4,12.6,0.0,23.1
2022-05-29,26.8,14.7,0.1,16.0
2022-05-30,24.7,15.6,3.2,22.9
2022-05-31,25.4,12.5,0.0,24.6
2022-06-01,27.2,13.7,0.0,21.0
2022-06-02,24.2,12.5,0.0,18.3
2022-06-03,30.2,16.1,0.0,18.4
2022-06-04,29.6,19.0,0.0,11.6
2022-06-05,26.1,19.3,5.0,19.3
2022-06-06,21.2,15.2,17.4,22.1
2022-06-07,24.6,13.8,0.0,17.8
2022-06-08,23.9,14.1,1.2,14.9
2022-06-09,23.9,16.4,9.0,15.2
2022-06-10,25.6,15.1,1.4,13.2
2022-06-11,29.5,16.1,4.1,16.9
2022-06-12,29.0,17.1,0.1,17.0
2022-06-13,27.0,18.0,14.1,18.8
2022-06-14,28.2,16.6,0.8,26.9
