Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,11.8,0.7,0.0,14.3
2022-01-02,10.4,0.5,0.0,14.8
2022-01-03,13.2,-0.0,0.0,11.1
2022-01-04,11.7,2.6,0.1,19.8
2022-01-05,11.1,7.0,9.5,23.9
2022-01-06,8.9,5.1,0.0,21.9
2022-01-07,9.3,4.7,0.0,16.5
2022-01-08,8.8,2.6,0.0,13.4
2022-01-09,7.0,2.5,0.6,11.9
2022-01-10,8.3,-0.7,0.5,14.8
2022-01-11,5.9,-1.0,0.2,21.9
2022-01-12,7.5,-3.3,0.0,8.6
2022-01-13,5.3,-1.6,0.0,24.3
2022-01-14,7.7,-2.6,0.1,11.6
2022-01-15,11.5,-0.6,0.1,15.6
2022-01-16,10.9,1.3,0.0,19.9
2022-01-17,11.9,4.7,0.0,15.7
2022-01-18,10.1,1.6,0.0,14.5
2022-01-19,13.8,1.5,0.0,17.0
2022-01-20,7.6,3.2,0.0,18.4
2022-01-21,9.2,2.3,0.0,17.7
2022-01-22,11.4,5.5,8.6,15.1
2022-01-23,11.5,7.8,11.9,24.0
2022-01-24,8.3,4.6,2.1,20.9
2022-01-25,7.7,3.7,0.7,12.2
2022-01-26,8.1,4.0,14.9,18.9
2022-01-27,7.7,4.6,9.8,21.5
2022-01-28,6.9,1.5,3.9,19.8
2022-01-29,6.4,1.7,5.8,19.1
2022-01-30,6.5,-0.1,1.5,21.7
2022-01-31,7.9,-3.2,0.0,9.5
2022-02-01,7.4,2.2,0.0,20.7
2022-02-02,4.4,1.6,5.2,17.5
2022-02-03,7.1,2.7,2.2,17.4
2022-02-04,8.1,-0.1,0.0,14.8
2022-02-05,6.3,-0.9,0.0,23.1
2022-02-06,6.1,-1.7,0.0,14.1
2022-02-07,5.1,3.6,19.8,19.1
2022-02-08,8.3,2.4,0.5,20.4
2022-02-09,7.3,1.3,4.3,12.6
2022-02-10,7.6,2.2,0.0,12.6
2022-02-11,9.1,3.0,9.4,16.6
2022-02-12,9.5,5.4,0.6,15.5
2022-02-13,8.2,4.6,1.4,15.5
2022-02-14,11.3,1.1,0.0,19.3
2022-02-15,6.2,2.8,0.0,17.3
2022-02-16,8.0,1.2,0.0,17.8
2022-02-17,3.9,2.0,3.9,25.6
2022-02-18,6.7,2.6,3.2,19.6
2022-02-19,6.8,0.3,1.5,30.1
2022-02-20,4.8,-1.2,0.0,24.1
2022-02-21,7.2,-3.0,0.0,10.7
2022-02-22,7.2,-0.5,1.4,13.8
2022-02-23,6.9,-0.2,2.4,21.7
2022-02-24,7.3,-1.8,0.0,12.0
2022-02-25,11.7,-2.6,0.0,15.0
2022-02-26,16.1,2.7,0.0,18.7
2022-02-27,14.0,3.1,0.0,16.8
2022-02-28,20.5,6.7,0.5,19.1
2022-03-01,18.6,6.2,2.4,24.7
2022-03-02,15.2,4.7,0.0,13.1
2022-03-03,17.3,5.6,0.1,18.1
2022-03-04,20.1,9.5,8.4,15.7
2022-03-05,13.3,5.4,0.0,24.1
2022-03-06,10.5,5.6,0.0,17.2
2022-03-07,13.2,5.2,2.5,13.6
2022-03-08,18.8,3.9,0.0,14.4
2022-03-09,19.0,5.5,0.0,18.3
2022-03-10,20.1,9.7,0.0,21.7
2022-03-11,24.5,11.3,0.0,14.0
2022-03-12,23.5,12.1,0.0,22.2
2022-03-13,26.1,13.9,8.8,24.6
2022-03-14,25.1,10.7,0.9,28.9
2022-03-15,21.1,8.1,0.0,17.0
2022-03-16,27.2,11.4,0.0,23.2
2022-03-17,18.8,9.3,31.8,26.9
2022-03-18,11.9,8.1,1.1,29.9
2022-03-19,12.6,6.0,0.0,23.4
2022-03-20,9.2,6.5,16.7,18.8
2022-03-21,9.2,7.0,37.4,26.6
2022-03-22,11.2,7.0,6.8,25.0
2022-03-23,12.8,5.5,0.6,17.2
2022-03-24,16.5,4.2,0.0,29.2
2022-03-25,19.2,13.8,35.9,40.8
2022-03-26,16.0,10.9,0.2,28.2
2022-03-27,16.9,9.3,0.0,18.8
2022-03-28,12.4,6.7,0.0,16.5
2022-03-29,18.1,4.4,0.0,16.3
2022-03-30,23.5,12.0,0.0,19.3
2022-03-31,11.9,8.8,2.6,24.2
2022-04-01,11.5,6.2,0.0,23.1
2022-04-02,13.3,3.7,0.0,11.3
2022-04-03,14.2,4.0,0.0,13.3
2022-04-04,16.9,4.4,0.0,14.9
2022-04-05,14.9,8.4,0.0,11.7
2022-04-06,21.6,7.7,0.0,12.4
2022-04-07,25.0,11.1,0.0,16.1
2022-04-08,25.7,10.8,0.0,19.2
2022-04-09,25.5,12.2,0.0,21.6
2022-04-10,25.3,15.7,0.0,21.9
2022-04-11,32.0,15.4,0.0,18.9
2022-04-12,31.1,16.7,0.1,19.2
2022-04-13,16.9,14.0,87.8,29.9
2022-04-14,17.7,13.4,24.1,37.5
2022-04-15,17.0,12.0,0.0,25.8
2022-04-16,16.0,9.5,0.0,18.4
2022-04-17,17.4,7.8,0.0,15.2
2022-04-18,19.0,10.8,0.0,11.5
2022-04-19,21.3,8.8,0.7,11.1
2022-04-20,24.4,11.5,0.1,21.8
2022-04-21,25.2,13.8,2.5,19.2
2022-04-22,27.6,15.3,0.0,16.6
2022-04-23,20.1,15.0,16.0,18.7
2022-04-24,23.8,14.0,0.0,15.1
2022-04-25,26.6,16.3,15.1,21.8
2022-04-26,23.0,15.6,4.2,20.6
2022-04-27,18.9,13.8,0.0,23.1
2022-04-28,20.1,13.5,12.5,23.2
2022-04-29,17.0,11.7,5.0,26.4
2022-04-30,17.2,10.0,0.0,14.6
2022-05-01,18.3,10.7,0.0,13.6
2022-05-02,23.3,10.2,0.0,10.8
2022-05-03,25.5,12.5,0.0,15.1
2022-05-04,24.6,12.8,0.0,17.3
2022-05-05,25.6,12.5,0.0,19.8
2022-05-06,28.1,14.4,0.0,15.6
2022-05-07,23.0,17.5,0.3,21.6
2022-05-08,22.2,14.1,0.0,18.2
2022-05-09,20.4,14.1,0.0,16.8
2022-05-10,22.4,15.6,0.9,17.1
2022-05-11,22.2,15.8,0.0,18.0
2022-05-12,21.0,16.8,3.9,16.1
2022-05-13,18.2,13.2,9.7,19.6
2022-05-14,20.8,12.6,0.0,15.0
2022-05-15,21.8,13.3,0.3,11.7
2022-05-16,24.7,13.6,0.0,12.0
2022-05-17,26.6,13.7,0.0,18.8
2022-05-18,26.2,14.2,0.0,22.1
2022-05-19,22.3,16.4,0.9,14.7
2022-05-20,21.7,17.3,4.0,13.1
2022-05-21,24.5,15.3,0.6,14.2
2022-05-22,26.7,15.0,0.0,16.8
2022-05-23,26.1,16.8,0.0,22.1
2022-05-24,20.6,16.2,3.1,17.4
2022-05-25,25.4,16.2,0.0,13.0
2022-05-26,24.9,16.2,1.2,9.8
2022-05-27,28.1,17.0,3.7,13.6
2022-05-28,23.7,19.1,4.5,21.1
2022-05-29,26.6,19.1,21.1,18.1
2022-05-30,29.1,18.5,1.3,21.4
2022-05-31,26.8,15.1,0.0,18.6
2022-06-01,29.3,19.5,3.0,16.2
2022-06-02,28.6,19.9,0.2,19.9
2022-06-03,26.3,20.5,1.7,23.2
2022-06-04,27.9,21.8,3.2,20.7
2022-06-05,26.0,20.9,49.5,20.3
2022-06-06,30.6,20.2,0.3,19.2
2022-06-07,25.8,18.4,0.0,22.0
2022-06-08,26.2,16.8,0.0,13.8
2022-06-09,27.7,19.5,0.0,19.4
2022-06-10,23.1,20.1,0.7,15.9
2022-06-11,25.3,19.5,0.4,21.9
2022-06-12,22.5,19.1,3.2,15.0
2022-06-13,24.3,19.6,19.5,9.3
2022-06-14,28.6,18.5,8.9,16.3
2022-06-15,31.5,19.9,0.0,13.3
2022-06-16,32.2,21.0,0.0,17.3
2022-06-17,32.9,21.2,0.0,17.4
2022-06-18,30.7,21.5,0.0,19.5
2022-06-19,29.6,23.6,1.6,14.6
2022-06-20,29.2,23.0,1.2,16.3
2022-06-21,31.7,22.5,0.1,18.8
2022-06-22,34.5,23.5,1.6,23.3
2022-06-23,35.3,26.4,15.2,29.5
2022-06-24,27.3,24.1,21.6,20.9
2022-06-25,31.7,23.4,0.2,21.7
2022-06-26,33.4,25.9,0.0,23.7
2022-06-27,33.9,26.8,0.0,26.8
2022-06-28,34.1,26.7,0.0,27.0
2022-06-29,33.1,25.7,12.0,23.1
2022-06-30,31.2,26.1,9.3,24.3
2022-07-01,30.6,25.0,0.6,24.1
2022-07-02,30.6,24.3,0.6,22.0
2022-07-03,31.4,24.3,0.3,16.8
2022-07-04,32.9,24.4,0.0,20.4
2022-07-05,34.4,25.0,1.7,19.0
2022-07-06,35.7,27.1,0.8,25.2
2022-07-07,34.7,27.5,5.6,14.7
2022-07-08,36.8,26.9,7.2,18.0
2022-07-09,34.9,27.6,11.3,11.5
2022-07-10,35.1,27.1,2.7,12.2
2022-07-11,35.4,26.6,13.6,19.2
2022-07-12,38.7,27.7,0.0,16.3
2022-07-13,39.6,28.3,0.0,18.7
2022-07-14,40.4,28.3,0.0,22.0
2022-07-15,37.2,28.6,3.2,22.4
2022-07-16,31.2,26.4,4.7,13.1
2022-07-17,36.8,26.5,6.4,16.4
2022-07-18,32.5,25.9,11.0,19.2
2022-07-19,30.3,24.8,36.5,12.9
2022-07-20,36.3,26.3,2.8,18.2
2022-07-21,32.4,25.6,1.1,20.8
2022-07-22,34.0,24.6,0.1,14.7
2022-07-23,37.0,26.7,1.6,24.2
2022-07-24,32.6,25.0,4.2,13.2
2022-07-25,32.4,25.5,2.4,15.6
2022-07-26,35.8,26.4,0.7,15.0
2022-07-27,33.8,25.2,2.8,15.6
2022-07-28,36.0,26.2,0.0,18.1
2022-07-29,33.4,26.3,0.5,21.9
2022-07-30,32.7,26.0,0.8,13.8
2022-07-31,34.9,25.3,0.3,18.0
2022-08-01,35.2,25.5,2.7,17.3
2022-08-02,34.7,26.9,4.8,19.7
2022-08-03,35.2,27.4,0.0,21.0
2022-08-04,36.4,27.8,0.0,23.1
2022-08-05,39.4,28.1,0.6,15.5
2022-08-06,35.8,28.1,3.0,15.3
2022-08-07,37.2,27.0,0.0,20.1
2022-08-08,37.3,28.1,0.0,21.8
2022-08-09,38.2,28.0,0.0,21.1
2022-08-10,39.4,28.1,2.1,17.9
2022-08-11,40.3,28.4,1.0,12.7
2022-08-12,40.3,29.2,1.3,16.5
2022-08-13,39.2,28.9,1.8,19.4
2022-08-14,40.1,28.9,0.0,18.1
2022-08-15,39.6,28.7,0.2,20.6
2022-08-16,39.9,28.0,9.0,16.9
2022-08-17,32.6,27.1,4.3,16.5
2022-08-18,36.4,26.9,0.3,17.2
2022-08-19,40.2,28.3,0.0,18.0
2022-08-20,38.2,28.5,0.4,19.2
2022-08-21,34.7,27.3,3.6,17.0
2022-08-22,40.2,27.0,0.0,18.0
2022-08-23,39.9,28.4,1.5,22.6
2022-08-24,31.9,26.4,0.1,21.7
2022-08-25,33.2,25.0,14.8,15.6
2022-08-26,29.7,24.6,7.7,17.5
2022-08-27,27.5,23.5,6.2,22.0
2022-08-28,28.6,24.2,0.0,18.5
2022-08-29,33.3,24.1,0.0,16.9
2022-08-30,32.9,25.2,9.2,15.5
2022-08-31,27.0,23.9,0.2,20.5
2022-09-01,28.0,23.0,0.1,24.8
2022-09-02,27.3,23.6,23.6,31.2
2022-09-03,29.0,24.4,22.2,23.0
2022-09-04,29.6,24.9,12.3,29.9
2022-09-05,26.4,20.8,19.4,37.9
2022-09-06,29.8,18.4,0.0,16.4
2022-09-07,32.1,22.1,0.1,13.8
2022-09-08,29.6,21.7,0.2,15.7
2022-09-09,27.6,21.1,0.0,16.8
2022-09-10,28.5,20.6,0.0,15.0
2022-09-11,29.5,21.8,0.0,16.0
2022-09-12,27.4,23.2,8.5,18.7
2022-09-13,24.9,23.3,37.7,28.9
2022-09-14,27.5,22.7,82.9,47.8
2022-09-15,26.5,21.4,26.5,58.5
2022-09-16,28.1,20.1,1.0,12.4
2022-09-17,28.1,21.4,0.4,15.0
2022-09-18,27.8,22.3,0.0,24.9
2022-09-19,26.4,20.1,0.0,28.2
2022-09-20,24.5,19.1,0.0,23.9
2022-09-21,23.1,18.7,0.0,16.7
2022-09-22,27.7,16.8,0.0,14.4
2022-09-23,25.8,17.4,0.0,26.2
2022-09-24,24.1,17.2,0.1,18.5
2022-09-25,24.7,18.2,0.0,17.7
2022-09-26,25.2,18.3,7.6,16.8
2022-09-27,25.0,20.0,0.0,15.5
2022-09-28,24.8,19.4,0.4,16.2
2022-09-29,25.5,20.0,2.2,13.6
2022-09-30,26.5,19.8,0.5,16.3
2022-10-01,32.4,22.7,0.6,19.1
2022-10-02,32.5,23.9,0.0,20.7
2022-10-03,34.4,24.5,0.0,19.8
2022-10-04,26.4,18.2,0.0,30.6
2022-10-05,20.3,15.9,0.8,22.8
2022-10-06,18.5,15.6,4.4,18.4
2022-10-07,19.3,15.3,9.2,20.3
2022-10-08,20.5,15.6,3.6,15.5
2022-10-09,20.6,14.6,0.7,23.5
2022-10-10,16.9,9.2,0.0,24.2
2022-10-11,19.1,8.9,0.0,17.2
2022-10-12,20.7,13.8,0.0,20.4
2022-10-13,21.9,13.7,0.0,18.8
2022-10-14,22.3,15.5,0.1,16.4
2022-10-15,22.2,14.5,0.0,13.5
2022-10-16,22.4,16.0,0.0,18.4
2022-10-17,20.6,14.0,0.0,31.6
2022-10-18,19.3,11.9,0.2,22.0
2022-10-19,19.3,11.0,0.0,18.9
2022-10-20,21.2,11.4,0.0,17.3
2022-10-21,26.0,12.4,0.0,15.8
2022-10-22,25.0,16.9,0.4,17.4
2022-10-23,22.0,14.6,0.0,22.8
2022-10-24,21.0,12.7,0.0,20.9
2022-10-25,19.8,12.8,0.0,20.6
2022-10-26,20.4,13.2,3.3,14.9
2022-10-27,19.7,16.8,1.0,19.5
2022-10-28,19.4,14.6,0.4,26.5
2022-10-29,19.9,14.0,0.6,15.1
2022-10-30,22.5,14.1,0.4,20.0
2022-10-31,21.6,15.5,0.8,21.2
2022-11-01,21.6,14.3,0.0,23.5
2022-11-02,19.7,13.0,0.0,15.2
2022-11-03,19.9,11.4,0.0,18.9
2022-11-04,17.8,11.4,0.0,24.5
2022-11-05,18.0,8.9,0.0,16.1
2022-11-06,18.4,9.9,0.0,14.1
2022-11-07,21.9,9.4,0.0,15.1
2022-11-08,21.5,10.5,0.0,16.6
2022-11-09,23.4,13.1,0.3,20.6
2022-11-10,25.3,15.5,0.0,15.7
2022-11-11,23.7,17.7,12.0,16.1
2022-11-12,27.6,18.8,0.7,21.7
2022-11-13,19.3,11.9,0.5,26.8
2022-11-14,14.4,9.9,0.1,14.8
2022-11-15,15.6,7.7,0.1,12.4
2022-11-16,18.0,7.2,4.7,15.9
2022-11-17,17.0,13.9,15.9,23.7
2022-11-18,19.6,15.5,6.5,20.4
2022-11-19,20.3,15.9,14.2,10.5
2022-11-20,19.9,12.8,0.0,18.7
2022-11-21,20.8,11.3,0.2,15.3
2022-11-22,20.3,14.9,11.7,26.7
2022-11-23,18.5,13.0,0.0,20.6
2022-11-24,18.7,11.0,0.0,12.1
2022-11-25,20.3,11.7,0.0,19.0
2022-11-26,19.5,12.3,0.1,17.1
2022-11-27,20.6,11.6,0.0,24.2
2022-11-28,23.0,17.0,8.5,26.7
2022-11-29,17.7,8.6,10.1,31.4
2022-11-30,8.1,3.8,9.2,33.5
2022-12-01,6.4,2.6,3.4,25.3
2022-12-02,9.5,3.3,0.1,13.7
2022-12-03,11.2,6.9,8.3,22.1
2022-12-04,11.0,8.2,4.2,27.9
2022-12-05,10.0,5.5,7.4,23.9
2022-12-06,11.1,3.9,0.0,11.6
2022-12-07,12.6,4.8,0.0,13.0
2022-12-08,15.9,6.5,0.0,13.2
2022-12-09,14.6,11.7,3.3,10.1
2022-12-10,13.1,9.3,0.7,21.9
2022-12-11,9.0,6.1,0.0,24.9
2022-12-12,10.0,2.0,0.0,19.2
2022-12-13,10.9,-0.8,0.0,17.6
2022-12-14,6.5,1.8,0.0,16.2
2022-12-15,11.4,-1.3,0.0,11.6
2022-12-16,9.7,5.2,5.8,22.3
2022-12-17,4.7,-3.5,0.5,30.9
2022-12-18,3.9,-5.7,0.0,20.4
2022-12-19,8.5,-4.1,0.0,12.0
2022-12-20,11.9,-1.3,0.1,18.2
2022-12-21,10.6,0.6,1.1,26.3
2022-12-22,4.8,-1.6,0.0,32.4
2022-12-23,3.6,-4.3,0.0,21.9
2022-12-24,4.2,-3.0,0.0,24.0
2022-12-25,6.2,-3.2,0.0,19.4
2022-12-26,7.9,-1.1,0.0,13.9
2022-12-27,8.5,-1.0,0.0,10.9
2022-12-28,8.0,4.0,0.2,14.2
2022-12-29,6.8,2.0,0.0,13.1
2022-12-30,7.6,0.8,0.0,10.5
2022-12-31,8.6,-1.3,0.0,11.0
2023-01-01,7.8,-0.2,0.9,10.3
2023-01-02,8.3,4.4,0.5,18.0
2023-01-03,8.9,1.7,0.0,12.9
2023-01-04,9.7,-3.1,0.0,14.0
2023-01-05,10.9,3.5,0.2,12.9
2023-01-06,14.0,4.6,0.0,21.2
2023-01-07,15.2,-0.1,0.0,13.5
2023-01-08,16.2,4.5,0.0,17.9
2023-01-09,15.6,4.4,0.0,22.3
2023-01-10,11.3,4.0,0.0,16.1
2023-01-11,16.2,3.0,0.0,17.5
2023-01-12,21.3,9.3,4.1,22.3
2023-01-13,17.4,11.5,43.9,15.1
2023-01-14,11.3,3.3,10.7,32.4
2023-01-15,3.2,-1.4,1.5,32.1
2023-01-16,2.8,-3.3,0.0,22.9
2023-01-17,5.5,-2.2,0.0,13.1
2023-01-18,7.5,-3.1,0.0,14.1
2023-01-19,9.3,-3.4,0.0,10.1
2023-01-20,9.3,-0.4,0.0,19.3
2023-01-21,8.9,0.4,0.5,19.2
2023-01-22,11.3,6.6,8.1,15.5
2023-01-23,8.0,3.5,3.4,31.9
2023-01-24,2.8,-5.1,0.0,36.2
2023-01-25,1.1,-6.3,0.0,16.8
2023-01-26,7.6,-3.0,0.0,19.1
2023-01-27,3.6,-3.1,0.0,32.6
2023-01-28,4.9,-5.1,0.0,18.7
2023-01-29,9.3,-4.0,0.0,19.5
2023-01-30,12.1,-3.7,0.0,14.7
2023-01-31,16.9,2.0,0.0,15.7
2023-02-01,11.6,2.3,0.0,28.9
2023-02-02,7.6,1.4,0.4,19.0
2023-02-03,7.9,2.0,0.7,13.7
2023-02-04,8.9,0.6,0.0,16.9
2023-02-05,11.5,1.5,1.2,16.1
2023-02-06,10.5,7.8,8.8,14.8
2023-02-07,11.5,6.3,1.6,16.7
2023-02-08,9.8,5.3,0.7,20.2
2023-02-09,10.4,7.1,14.1,18.7
2023-02-10,8.6,5.4,0.0,17.5
2023-02-11,9.5,5.2,7.2,15.8
2023-02-12,17.9,8.8,14.5,21.9
2023-02-13,9.4,3.5,13.5,28.1
2023-02-14,7.1,2.5,0.0,24.1
2023-02-15,7.7,1.2,0.0,20.9
2023-02-16,8.5,-0.7,0.0,13.4
2023-02-17,14.8,4.9,0.3,10.2
2023-02-18,21.2,9.6,1.5,14.7
2023-02-19,10.5,2.8,0.8,21.9
2023-02-20,10.8,0.6,0.0,18.6
2023-02-21,5.7,2.4,0.0,22.5
2023-02-22,8.2,3.6,0.5,14.1
2023-02-23,6.9,3.1,4.4,13.6
2023-02-24,11.1,3.8,1.6,19.0
2023-02-25,8.1,0.8,0.0,25.6
2023-02-26,8.4,-0.3,0.0,17.6
2023-02-27,11.4,0.0,0.0,13.6
2023-02-28,17.0,3.8,0.1,19.7
2023-03-01,16.0,5.7,1.6,20.9
2023-03-02,11.4,3.3,0.0,17.4
2023-03-03,12.5,0.3,0.0,13.1
2023-03-04,16.3,1.7,0.0,13.0
2023-03-05,18.4,4.0,0.0,14.1
2023-03-06,22.8,5.5,0.0,16.3
2023-03-07,22.5,7.9,0.0,17.7
2023-03-08,24.0,10.6,0.0,16.9
2023-03-09,25.8,13.2,0.6,14.5
2023-03-10,26.5,11.1,0.0,17.8
2023-03-11,22.7,11.3,0.1,23.0
2023-03-12,14.6,6.3,3.2,35.3
2023-03-13,13.8,4.4,0.0,17.1
2023-03-14,19.3,5.1,0.0,23.8
2023-03-15,24.8,8.7,0.0,24.8
2023-03-16,13.5,7.9,0.7,25.8
2023-03-17,9.3,6.8,19.4,20.9
2023-03-18,12.1,6.5,0.0,16.6
2023-03-19,12.2,6.3,0.2,15.7
2023-03-20,17.7,7.1,4.6,16.4
2023-03-21,16.1,11.9,9.0,12.0
2023-03-22,18.9,12.7,32.0,13.5
2023-03-23,15.1,10.2,0.0,23.1
2023-03-24,10.6,6.3,2.8,19.8
2023-03-25,9.3,5.5,0.4,13.9
2023-03-26,14.8,5.6,0.0,18.5
2023-03-27,16.3,5.9,0.0,14.2
2023-03-28,17.4,4.0,0.0,15.6
2023-03-29,15.1,8.7,3.5,12.4
2023-03-30,12.4,10.2,2.9,12.6
2023-03-31,16.4,10.0,0.3,14.7
2023-04-01,20.4,10.2,0.0,10.9
2023-04-02,21.9,7.8,0.0,16.4
2023-04-03,19.8,11.0,8.9,29.5
2023-04-04,19.8,15.3,9.2,39.1
2023-04-05,17.9,10.3,1.7,21.4
2023-04-06,14.7,7.7,7.9,12.2
2023-04-07,17.4,6.1,0.3,23.7
2023-04-08,17.2,6.4,0.0,12.6
2023-04-09,19.3,6.7,0.0,19.2
2023-04-10,24.5,10.3,0.0,24.9
2023-04-11,26.5,14.6,0.6,22.5
2023-04-12,18.1,10.3,0.0,23.0
2023-04-13,21.5,9.3,0.6,20.7
2023-04-14,24.3,16.0,0.7,16.6
2023-04-15,23.3,14.2,0.1,21.5
2023-04-16,25.2,12.0,0.9,20.6
2023-04-17,25.6,13.6,0.0,27.7
2023-04-18,30.8,18.6,0.6,22.0
2023-04-19,23.2,15.6,1.5,19.8
2023-04-20,23.2,14.6,0.0,18.1
2023-04-21,20.3,12.4,0.0,28.1
2023-04-22,20.0,11.0,0.0,18.8
2023-04-23,15.4,14.0,5.0,24.1
2023-04-24,15.8,12.7,10.9,29.3
2023-04-25,17.3,11.5,0.0,16.6
2023-04-26,21.6,11.3,0.0,19.9
2023-04-27,21.9,11.5,0.0,24.5
2023-04-28,28.8,15.2,4.1,18.2
2023-04-29,19.9,13.2,5.4,24.2
2023-04-30,24.6,9.0,0.0,17.9
2023-05-01,28.3,11.0,0.0,20.5
2023-05-02,25.2,13.3,0.4,33.5
2023-05-03,27.7,17.9,1.3,24.6
2023-05-04,31.6,21.0,7.1,24.2
2023-05-05,26.4,19.3,5.9,21.1
2023-05-06,22.2,15.6,2.9,20.3
2023-05-07,18.5,14.7,16.7,30.4
2023-05-08,19.0,12.1,0.0,20.0
2023-05-09,22.1,10.4,0.0,14.7
2023-05-10,22.1,10.4,0.0,15.8
2023-05-11,20.3,14.7,0.3,9.4
2023-05-12,24.7,15.0,0.0,14.1
2023-05-13,29.0,13.3,0.0,18.1
2023-05-14,33.5,18.1,0.0,12.6
2023-05-15,35.8,18.4,0.0,23.2
2023-05-16,30.9,19.7,0.0,31.4
2023-05-17,22.8,20.4,24.2,31.1
2023-05-18,24.5,18.4,0.3,27.7
2023-05-19,24.3,16.9,0.1,18.1
2023-05-20,23.3,15.9,0.0,15.4
2023-05-21,27.3,17.3,0.7,19.4
2023-05-22,19.9,15.4,23.3,27.1
2023-05-23,24.9,12.1,0.0,12.2
2023-05-24,20.8,14.7,0.8,16.2
2023-05-25,26.4,14.4,0.0,21.7
2023-05-26,28.4,17.5,2.4,18.4
2023-05-27,27.3,21.5,17.0,30.7
2023-05-28,31.2,21.4,0.3,22.5
2023-05-29,35.1,22.9,1.5,18.8
2023-05-30,28.3,21.2,0.0,17.2
2023-05-31,27.0,20.3,1.9,15.7
2023-06-01,30.3,20.3,0.2,20.0
2023-06-02,32.4,19.8,0.0,20.0
2023-06-03,26.7,20.3,0.0,18.4
2023-06-04,26.0,18.3,0.0,19.6
2023-06-05,29.2,19.1,6.3,17.9
2023-06-06,26.4,18.0,4.5,18.7
2023-06-07,27.1,17.5,4.1,18.1
2023-06-08,31.7,21.6,4.0,22.3
2023-06-09,34.0,21.5,0.0,17.5
2023-06-10,32.1,21.3,0.2,19.5
2023-06-11,28.8,21.2,0.3,17.9
2023-06-12,27.3,21.1,0.4,17.4
2023-06-13,25.7,20.3,3.1,16.3
2023-06-14,30.7,19.5,9.9,17.1
2023-06-15,31.7,19.5,0.0,16.6
2023-06-16,29.5,20.1,1.0,16.4
2023-06-17,24.3,20.5,5.1,20.0
2023-06-18,26.4,22.1,27.4,13.5
2023-06-19,26.3,22.3,64.5,19.7
2023-06-20,30.4,23.5,2.1,17.5
2023-06-21,31.1,22.5,0.1,12.0
2023-06-22,31.4,22.1,0.0,8.7
2023-06-23,27.3,20.2,2.7,22.0
2023-06-24,25.2,20.1,116.6,25.3
2023-06-25,28.7,23.6,7.6,25.0
2023-06-26,29.7,23.9,8.6,24.5
2023-06-27,30.6,23.6,5.6,19.5
2023-06-28,33.6,25.2,0.2,17.1
2023-06-29,34.9,27.0,1.4,20.3
2023-06-30,28.7,24.7,20.0,17.0
2023-07-01,32.2,23.8,6.2,17.7
2023-07-02,33.5,25.0,8.0,11.6
2023-07-03,30.4,26.0,9.4,13.3
2023-07-04,34.2,26.9,1.2,20.2
2023-07-05,30.5,25.0,0.6,16.7
2023-07-06,33.5,24.5,5.4,15.5
2023-07-07,35.0,27.2,3.2,17.7
2023-07-08,28.6,26.3,35.1,15.0
2023-07-09,31.3,25.0,16.8,21.9
2023-07-10,32.7,25.5,1.2,16.8
2023-07-11,36.2,26.8,0.0,15.7
2023-07-12,36.9,27.2,0.0,15.3
2023-07-13,35.9,27.6,0.0,16.4
2023-07-14,35.6,27.8,0.1,17.9
2023-07-15,33.8,26.5,2.7,14.0
2023-07-16,31.9,25.4,18.2,16.8
2023-07-17,30.3,25.3,15.5,20.6
2023-07-18,31.9,24.5,2.0,13.1
2023-07-19,30.4,25.5,3.3,13.7
2023-07-20,29.4,25.0,46.3,13.3
2023-07-21,31.8,24.9,11.8,13.0
2023-07-22,31.0,26.2,15.8,19.3
2023-07-23,32.3,25.8,9.0,17.9
2023-07-24,31.4,24.9,14.3,20.8
2023-07-25,31.5,26.7,0.5,22.1
2023-07-26,31.3,26.3,1.3,22.4
2023-07-27,29.4,25.2,9.5,22.6
2023-07-28,28.8,25.4,14.1,31.1
2023-07-29,28.3,26.5,13.9,28.5
2023-07-30,30.5,26.8,1.2,27.1
2023-07-31,31.3,25.3,1.3,22.6
2023-08-01,30.9,25.5,1.0,23.7
2023-08-02,31.4,26.6,0.7,21.8
2023-08-03,31.2,26.7,0.4,25.6
2023-08-04,31.6,26.5,0.1,22.8
2023-08-05,31.9,26.4,0.5,18.8
2023-08-06,33.3,25.2,0.1,12.9
2023-08-07,32.7,26.5,0.3,18.3
2023-08-08,32.7,25.9,1.2,20.5
2023-08-09,32.5,25.1,3.3,21.6
2023-08-10,33.0,25.9,0.3,18.6
2023-08-11,34.1,25.1,0.1,11.0
2023-08-12,34.5,26.2,0.0,14.9
2023-08-13,34.8,26.2,0.0,17.5
2023-08-14,32.5,26.3,2.7,15.0
2023-08-15,30.0,26.1,2.9,14.2
2023-08-16,32.2,24.0,0.8,10.2
2023-08-17,31.2,24.6,5.5,9.0
2023-08-18,31.1,23.4,9.7,15.9
2023-08-19,32.3,23.4,0.0,18.3
2023-08-20,31.9,25.1,3.2,20.1
2023-08-21,33.1,26.7,0.0,18.4
2023-08-22,33.3,24.9,14.2,11.0
2023-08-23,30.0,24.2,3.0,14.3
