Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,22.1,13.4,0.0,9.3
2022-01-02,21.9,12.1,0.0,13.5
2022-01-03,22.3,13.6,0.0,10.3
2022-01-04,22.6,14.4,0.0,15.7
2022-01-05,25.4,16.3,0.8,15.3
2022-01-06,23.1,14.9,0.0,17.9
2022-01-07,22.0,12.5,0.0,13.9
2022-01-08,21.6,11.2,0.0,12.5
2022-01-09,21.3,12.8,0.0,12.4
2022-01-10,20.3,11.4,0.0,11.9
2022-01-11,18.0,11.0,1.4,19.8
2022-01-12,17.8,10.8,0.0,13.8
2022-01-13,20.0,13.5,0.0,15.2
2022-01-14,18.9,10.8,0.0,21.1
2022-01-15,21.5,14.1,0.0,16.2
2022-01-16,22.7,14.7,0.0,13.1
2022-01-17,22.2,14.9,0.0,13.8
2022-01-18,19.1,13.7,0.1,12.2
2022-01-19,21.1,10.5,0.0,12.0
2022-01-20,21.8,10.9,0.0,12.7
2022-01-21,21.4,14.6,1.4,18.0
2022-01-22,19.8,15.5,9.6,16.9
2022-01-23,24.9,17.0,0.4,18.6
2022-01-24,24.0,16.8,4.3,13.2
2022-01-25,23.2,13.9,0.0,14.3
2022-01-26,21.5,16.8,6.9,15.5
2022-01-27,24.6,16.9,2.8,13.1
2022-01-28,21.6,16.3,0.1,13.0
2022-01-29,22.6,14.3,0.2,14.5
2022-01-30,18.2,9.6,0.2,21.4
2022-01-31,15.8,8.8,1.4,20.9
2022-02-01,13.6,10.0,1.3,19.5
2022-02-02,18.2,11.6,7.7,20.2
2022-02-03,14.9,9.3,10.5,17.1
2022-02-04,16.7,8.7,0.0,17.7
2022-02-05,16.4,8.8,0.0,15.9
2022-02-06,19.3,10.9,0.0,16.8
2022-02-07,20.0,14.1,6.6,25.6
2022-02-08,16.8,10.1,0.3,19.3
2022-02-09,16.8,10.6,0.1,12.9
2022-02-10,20.2,12.1,0.1,14.4
2022-02-11,22.7,15.4,0.0,17.4
2022-02-12,23.8,15.9,0.0,14.7
2022-02-13,18.0,12.6,7.8,16.3
2022-02-14,20.7,10.3,0.4,18.6
2022-02-15,21.2,12.4,0.0,13.7
2022-02-16,19.4,14.1,0.0,20.4
2022-02-17,17.0,14.5,4.4,23.1
2022-02-18,19.3,14.7,1.7,26.8
2022-02-19,15.3,7.9,18.6,22.4
2022-02-20,7.5,6.4,38.5,24.0
2022-02-21,8.5,6.0,33.4,18.6
2022-02-22,10.0,6.9,23.9,17.7
2022-02-23,15.8,7.3,6.0,20.4
2022-02-24,15.6,7.0,0.0,18.1
2022-02-25,18.7,8.9,0.0,12.3
2022-02-26,21.6,10.7,0.0,11.6
2022-02-27,22.6,12.1,0.0,15.5
2022-02-28,22.9,16.6,0.0,15.0
2022-03-01,25.9,17.1,0.7,9.4
2022-03-02,26.5,16.7,0.1,18.2
2022-03-03,23.2,16.9,0.0,16.6
2022-03-04,26.0,16.5,0.0,15.5
2022-03-05,26.3,16.7,0.0,16.5
2022-03-06,22.9,17.4,6.3,22.2
2022-03-07,22.1,15.6,11.1,19.7
2022-03-08,20.3,11.4,0.0,14.8
2022-03-09,22.4,11.8,0.0,16.7
2022-03-10,24.2,15.5,0.0,16.1
2022-03-11,26.0,16.6,0.0,10.2
2022-03-12,25.8,17.3,0.0,13.2
2022-03-13,27.9,18.1,0.0,11.0
2022-03-14,29.1,18.8,0.4,17.8
2022-03-15,29.3,18.7,0.1,13.5
2022-03-16,26.4,19.8,0.0,17.9
2022-03-17,28.0,21.4,0.6,14.1
2022-03-18,28.8,20.3,0.9,12.4
2022-03-19,28.2,21.4,2.3,16.8
2022-03-20,22.9,20.4,11.0,23.8
2022-03-21,28.4,21.1,0.0,17.8
2022-03-22,28.7,22.2,12.0,17.9
2022-03-23,22.9,14.6,76.4,20.0
2022-03-24,19.2,14.6,11.9,24.1
2022-03-25,25.3,19.4,25.6,23.8
2022-03-26,27.8,23.5,3.4,22.1
2022-03-27,22.4,16.8,2.0,17.3
2022-03-28,17.2,15.2,7.5,15.8
2022-03-29,21.1,15.2,4.0,15.1
2022-03-30,26.0,18.3,0.3,17.2
2022-03-31,28.0,20.7,0.9,15.7
2022-04-01,21.7,14.4,0.8,20.3
