Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,13.0,5.6,0.0,10.6
2022-01-02,13.9,5.1,0.0,21.2
2022-01-03,11.8,9.6,0.4,27.6
2022-01-04,13.1,4.5,19.7,29.3
2022-01-05,5.6,0.5,3.8,24.3
2022-01-06,3.7,-2.1,1.3,15.6
2022-01-07,3.1,-2.6,1.0,18.8
2022-01-08,4.0,1.5,2.4,27.9
2022-01-09,5.1,-0.7,6.3,27.6
2022-01-10,3.4,-1.4,0.4,7.0
2022-01-11,4.7,-1.6,0.0,12.9
2022-01-12,1.5,-5.6,0.0,6.7
2022-01-13,3.6,-5.1,0.0,6.5
2022-01-14,6.7,-3.3,0.0,10.1
2022-01-15,4.8,-4.9,0.0,8.4
2022-01-16,2.7,-4.3,0.1,14.5
2022-01-17,4.5,0.5,0.7,17.5
2022-01-18,5.8,0.4,0.1,10.0
2022-01-19,5.7,-3.8,0.0,17.3
2022-01-20,3.6,-0.7,4.0,20.9
2022-01-21,2.2,-1.7,0.5,14.2
2022-01-22,3.7,1.3,3.8,15.3
2022-01-23,4.9,1.9,0.2,7.3
2022-01-24,6.3,-2.6,0.0,9.1
2022-01-25,4.7,-3.3,0.0,7.9
2022-01-26,2.2,-3.6,0.0,12.7
2022-01-27,2.9,-2.4,1.7,16.0
2022-01-28,4.5,1.8,1.4,19.1
2022-01-29,6.0,1.2,0.0,25.9
2022-01-30,6.6,-0.6,0.5,24.8
2022-01-31,5.2,-1.1,7.9,32.9
2022-02-01,5.9,1.1,3.8,28.3
2022-02-02,7.7,3.8,9.3,24.6
2022-02-03,10.6,3.6,1.3,10.4
2022-02-04,8.1,1.3,0.2,24.2
2022-02-05,7.8,-0.2,0.8,24.6
2022-02-06,6.4,1.1,7.9,41.8
2022-02-07,4.8,-0.3,13.3,29.9
2022-02-08,8.6,-0.7,0.1,17.8
2022-02-09,12.6,3.5,0.0,11.8
2022-02-10,11.4,2.6,0.3,20.5
2022-02-11,6.2,-1.5,2.3,18.7
2022-02-12,6.4,-4.2,0.0,11.0
2022-02-13,11.9,-1.8,0.0,14.9
2022-02-14,11.8,1.2,1.4,15.6
2022-02-15,8.6,2.2,1.1,17.4
2022-02-16,11.0,2.5,4.2,32.4
2022-02-17,12.3,7.8,6.6,37.6
2022-02-18,15.6,7.1,3.2,35.3
2022-02-19,8.2,3.6,0.0,21.7
2022-02-20,9.0,4.7,0.1,31.4
2022-02-21,10.0,4.4,8.4,40.7
2022-02-22,8.5,3.1,2.4,24.3
2022-02-23,11.3,2.4,1.5,26.5
2022-02-24,13.7,2.3,2.3,25.3
2022-02-25,6.9,0.3,1.0,24.1
2022-02-26,5.9,-2.4,0.1,10.7
2022-02-27,7.2,-2.0,0.0,18.3
2022-02-28,8.5,-3.9,0.0,9.8
2022-03-01,7.0,-4.0,0.0,9.7
2022-03-02,7.5,-4.1,0.0,7.6
2022-03-03,10.5,-3.8,0.0,10.6
2022-03-04,8.0,-3.8,0.0,10.1
2022-03-05,6.3,-4.1,0.0,15.3
2022-03-06,4.9,-4.5,0.0,14.7
2022-03-07,4.0,-2.6,0.0,15.6
2022-03-08,8.9,-3.0,0.0,15.7
2022-03-09,11.6,-5.2,0.0,10.5
2022-03-10,14.1,-3.8,0.0,14.3
2022-03-11,13.0,-2.8,0.0,14.4
2022-03-12,13.8,0.0,0.0,8.8
2022-03-13,15.0,-0.8,0.0,9.7
2022-03-14,14.1,2.6,2.4,16.9
2022-03-15,13.8,3.0,8.3,18.3
2022-03-16,14.4,6.7,2.1,13.1
2022-03-17,11.6,2.9,2.8,12.9
