Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,10.6,-0.2,0.2,15.8
2022-01-02,10.7,3.5,2.7,15.2
2022-01-03,9.0,1.1,0.4,10.9
2022-01-04,8.4,-1.5,0.0,13.3
2022-01-05,8.5,-0.9,0.0,16.4
2022-01-06,8.3,-3.1,0.0,15.9
2022-01-07,9.5,-0.8,0.0,12.1
2022-01-08,11.0,0.7,0.0,10.6
2022-01-09,11.9,2.4,0.0,13.8
2022-01-10,11.5,0.4,0.0,14.1
2022-01-11,12.6,2.9,3.1,9.7
2022-01-12,13.9,3.2,1.0,17.6
2022-01-13,15.1,3.9,0.0,16.1
2022-01-14,11.5,5.7,9.7,19.9
2022-01-15,7.2,2.8,18.0,19.8
2022-01-16,8.1,-1.1,1.9,19.2
2022-01-17,8.5,1.1,1.1,19.2
2022-01-18,3.1,-4.0,1.8,29.9
2022-01-19,7.7,-4.3,0.0,13.0
2022-01-20,7.0,-3.0,3.6,23.4
2022-01-21,4.1,-5.5,0.0,21.6
2022-01-22,4.4,-5.7,0.0,13.0
2022-01-23,7.3,-4.8,0.0,12.1
2022-01-24,10.1,-2.5,0.0,16.7
2022-01-25,12.4,-0.7,0.0,18.2
2022-01-26,11.1,-0.2,0.5,14.3
2022-01-27,10.2,1.7,0.9,19.6
2022-01-28,7.7,-2.6,0.0,17.5
2022-01-29,7.8,-2.6,0.0,16.8
2022-01-30,7.9,-2.7,0.0,16.7
2022-01-31,8.8,-3.9,0.0,16.3
2022-02-01,6.8,-1.1,2.2,15.3
2022-02-02,10.6,-3.0,0.0,16.1
2022-02-03,11.5,0.5,0.0,13.4
2022-02-04,14.0,5.3,1.0,15.5
2022-02-05,8.6,2.0,4.7,25.8
2022-02-06,7.9,-1.3,0.0,15.3
2022-02-07,8.5,-1.8,0.0,16.9
2022-02-08,9.2,-1.6,0.0,16.1
2022-02-09,13.1,0.1,0.0,16.6
2022-02-10,15.8,1.7,0.0,15.9
2022-02-11,11.2,4.7,0.5,13.9
2022-02-12,11.9,2.7,0.1,13.5
2022-02-13,12.7,1.8,0.0,13.3
2022-02-14,11.2,1.0,0.0,13.4
2022-02-15,12.4,1.1,0.0,14.6
2022-02-16,11.9,3.0,0.1,15.1
2022-02-17,12.2,2.5,0.0,15.2
2022-02-18,12.1,-0.0,0.0,16.0
2022-02-19,14.8,2.4,1.2,14.0
2022-02-20,13.7,6.1,21.7,21.6
2022-02-21,14.0,3.6,0.7,18.8
2022-02-22,14.8,3.1,0.0,14.3
2022-02-23,15.4,1.3,0.0,16.8
2022-02-24,18.0,4.8,0.0,17.2
2022-02-25,17.8,5.3,0.2,18.8
2022-02-26,16.7,6.8,0.4,24.2
2022-02-27,15.2,3.2,0.0,17.7
2022-02-28,15.4,3.5,0.0,16.2
2022-03-01,16.4,3.2,0.0,16.9
2022-03-02,17.6,5.9,0.1,19.5
2022-03-03,19.8,5.3,8.1,25.6
2022-03-04,16.2,6.3,13.4,28.9
2022-03-05,13.8,0.7,0.0,22.2
2022-03-06,13.2,2.4,0.0,24.5
2022-03-07,10.9,4.9,1.6,9.8
2022-03-08,13.9,6.2,2.5,16.8
2022-03-09,15.6,1.7,4.3,18.6
2022-03-10,18.2,8.6,1.6,24.3
2022-03-11,17.4,8.0,7.2,22.8
2022-03-12,16.4,7.3,0.0,16.1
2022-03-13,19.7,7.0,0.0,20.0
2022-03-14,18.1,8.1,0.2,19.3
2022-03-15,18.5,5.8,0.0,20.2
2022-03-16,14.8,5.2,0.1,18.3
2022-03-17,10.9,-1.8,0.0,23.9
2022-03-18,12.2,2.0,0.0,15.3
2022-03-19,14.4,3.6,0.0,15.1
2022-03-20,17.5,5.9,0.0,21.0
2022-03-21,20.9,10.2,0.0,15.8
2022-03-22,19.7,8.3,0.9,19.0
2022-03-23,17.0,5.9,10.0,21.4
2022-03-24,19.6,7.7,0.4,18.3
2022-03-25,14.0,7.0,0.0,22.2
2022-03-26,13.1,3.1,0.0,22.3
2022-03-27,16.1,1.2,0.0,20.9
2022-03-28,16.0,4.0,0.0,21.1
2022-03-29,17.3,3.8,0.0,16.5
2022-03-30,20.3,6.0,0.0,16.4
2022-03-31,22.6,8.9,0.0,19.6
2022-04-01,24.3,9.2,0.0,17.5
2022-04-02,26.4,10.5,0.0,17.6
2022-04-03,29.4,12.0,0.0,18.6
2022-04-04,30.0,14.7,0.0,20.5
2022-04-05,27.1,13.4,0.0,18.6
2022-04-06,26.5,13.3,0.0,24.4
2022-04-07,27.9,11.9,0.6,27.2
2022-04-08,25.8,13.4,0.0,26.0
2022-04-09,26.9,15.5,1.9,27.0
2022-04-10,20.8,8.9,5.7,25.7
2022-04-11,25.8,7.4,0.0,21.1
2022-04-12,29.9,13.6,0.0,19.0
2022-04-13,29.6,15.0,0.0,22.3
2022-04-14,30.1,15.0,0.0,18.8
2022-04-15,27.2,16.0,0.0,23.7
2022-04-16,20.6,12.1,5.9,29.7
2022-04-17,20.1,8.7,0.0,19.8
2022-04-18,22.0,7.0,0.0,19.5
2022-04-19,24.7,9.4,0.0,14.2
2022-04-20,30.4,13.9,0.0,23.7
2022-04-21,30.6,15.5,0.9,31.4
2022-04-22,28.7,14.4,0.0,17.7
2022-04-23,29.2,15.0,0.0,18.4
2022-04-24,29.8,15.8,0.0,20.6
2022-04-25,28.5,18.2,0.0,23.7
2022-04-26,25.7,17.9,2.4,17.9
2022-04-27,26.2,14.2,0.0,23.3
2022-04-28,26.6,15.8,0.0,21.8
2022-04-29,24.2,16.1,1.4,17.4
2022-04-30,24.7,15.2,0.4,16.9
2022-05-01,25.7,11.9,2.2,25.8
2022-05-02,19.4,13.5,4.5,14.0
2022-05-03,22.0,9.9,0.3,20.7
2022-05-04,25.7,13.3,1.5,22.7
2022-05-05,24.7,13.8,4.0,21.5
2022-05-06,29.0,15.1,0.0,24.1
2022-05-07,28.2,15.2,5.6,35.7
2022-05-08,26.2,15.2,0.0,29.8
2022-05-09,23.4,10.9,0.0,22.0
2022-05-10,25.0,15.3,0.0,19.5
2022-05-11,28.1,13.4,0.0,21.4
2022-05-12,26.5,14.9,0.0,29.9
2022-05-13,24.5,12.1,0.0,18.2
2022-05-14,24.3,9.8,0.0,12.7
2022-05-15,29.1,14.1,0.0,15.7
2022-05-16,33.1,17.7,0.0,22.3
2022-05-17,29.3,16.2,0.0,22.4
2022-05-18,29.3,15.0,0.0,25.4
2022-05-19,29.7,17.3,0.0,21.5
2022-05-20,31.8,17.4,0.0,22.0
2022-05-21,27.8,15.4,0.0,38.2
2022-05-22,26.6,13.1,0.0,11.6
2022-05-23,33.5,16.4,0.0,18.6
2022-05-24,29.4,19.2,0.0,27.7
2022-05-25,29.2,17.4,0.0,28.3
2022-05-26,28.0,15.7,0.0,22.1
2022-05-27,28.8,12.8,0.0,16.1
2022-05-28,29.4,15.9,0.0,12.7
2022-05-29,30.5,19.3,0.0,25.5
2022-05-30,31.1,18.3,0.0,22.5
2022-05-31,31.5,19.4,0.0,15.2
2022-06-01,33.0,20.3,0.0,15.3
2022-06-02,34.9,20.5,0.0,19.1
2022-06-03,34.3,23.4,0.0,23.4
2022-06-04,34.8,21.4,0.0,16.7
2022-06-05,36.1,22.1,0.0,15.4
2022-06-06,36.4,23.1,0.0,34.7
2022-06-07,36.3,22.9,0.0,30.5
2022-06-08,37.8,21.9,0.0,35.9
2022-06-09,36.1,22.6,0.0,31.7
2022-06-10,35.7,22.3,0.0,31.1
2022-06-11,33.0,20.2,0.0,12.4
2022-06-12,32.6,22.0,0.0,10.7
2022-06-13,36.0,23.4,0.0,15.3
2022-06-14,37.3,22.5,0.0,21.2
2022-06-15,36.2,21.9,0.0,30.0
2022-06-16,35.8,21.4,0.0,19.8
2022-06-17,34.5,21.5,0.0,13.0
2022-06-18,36.0,23.3,0.0,14.7
2022-06-19,37.3,26.1,0.0,8.9
2022-06-20,34.7,24.5,0.0,12.6
2022-06-21,34.7,23.9,0.0,11.2
2022-06-22,37.1,23.3,0.0,20.2
2022-06-23,34.9,23.1,0.0,18.9
2022-06-24,36.0,22.6,0.0,18.0
2022-06-25,37.1,24.1,0.0,16.1
2022-06-26,39.6,24.6,0.0,21.0
2022-06-27,40.2,25.2,0.0,16.7
2022-06-28,41.9,26.0,0.0,16.3
2022-06-29,41.9,27.5,0.0,17.8
2022-06-30,40.1,24.6,0.0,14.7
2022-07-01,40.5,25.2,0.0,16.6
2022-07-02,40.7,25.8,0.0,13.5
2022-07-03,35.6,24.2,0.0,20.5
2022-07-04,32.5,19.6,0.0,17.0
2022-07-05,31.7,18.8,0.0,14.5
2022-07-06,33.2,22.5,0.0,15.3
2022-07-07,34.4,22.6,0.0,16.3
2022-07-08,37.4,24.6,0.0,15.5
2022-07-09,37.2,24.4,0.0,11.8
2022-07-10,37.6,25.5,0.0,13.4
2022-07-11,39.3,26.5,0.0,14.4
2022-07-12,40.2,27.1,0.0,15.4
2022-07-13,36.7,25.2,0.0,11.3
2022-07-14,35.9,23.8,0.0,13.9
2022-07-15,37.1,24.0,0.0,19.1
2022-07-16,36.1,23.8,0.0,13.2
2022-07-17,38.7,24.6,0.0,15.3
2022-07-18,38.3,24.3,0.0,16.5
2022-07-19,39.0,26.0,0.0,16.7
2022-07-20,38.2,26.8,0.0,14.3
2022-07-21,38.6,26.6,0.0,13.2
2022-07-22,39.8,26.2,0.0,14.5
2022-07-23,39.5,26.6,0.0,10.7
2022-07-24,39.0,25.7,0.0,15.8
2022-07-25,36.2,23.2,0.0,18.5
2022-07-26,36.4,23.0,0.0,11.4
2022-07-27,40.2,27.6,0.0,13.7
2022-07-28,40.1,29.0,0.0,20.1
2022-07-29,36.4,25.2,0.4,16.3
2022-07-30,33.8,23.5,1.1,24.8
2022-07-31,34.9,24.6,0.9,24.9
2022-08-01,35.5,23.1,0.0,18.1
2022-08-02,36.9,24.3,0.0,13.5
2022-08-03,37.8,25.5,0.0,14.0
2022-08-04,38.7,26.4,0.0,13.0
2022-08-05,36.6,26.2,0.0,12.6
2022-08-06,37.4,26.1,0.0,13.2
2022-08-07,38.3,26.0,0.0,12.8
2022-08-08,39.5,27.3,0.0,14.2
2022-08-09,37.0,26.7,0.0,13.4
2022-08-10,35.9,24.1,0.0,12.2
2022-08-11,35.1,25.7,0.0,13.7
2022-08-12,35.5,25.4,0.0,11.4
2022-08-13,35.1,22.7,0.0,12.0
2022-08-14,36.2,23.6,0.0,13.0
2022-08-15,38.4,23.6,0.0,14.6
2022-08-16,38.3,24.9,0.0,12.9
2022-08-17,35.5,23.5,0.0,12.9
2022-08-18,34.3,21.7,0.0,13.0
2022-08-19,34.7,23.1,0.0,13.8
2022-08-20,34.3,22.6,0.0,13.1
2022-08-21,32.7,22.9,0.0,11.4
2022-08-22,33.3,21.1,0.0,13.4
2022-08-23,32.9,22.0,0.0,19.0
2022-08-24,30.9,20.3,0.0,13.5
2022-08-25,30.8,19.8,0.0,14.5
2022-08-26,30.9,20.2,0.0,14.7
2022-08-27,32.4,20.3,0.0,14.9
2022-08-28,32.8,18.7,0.0,15.3
2022-08-29,32.2,19.4,0.0,13.6
2022-08-30,33.2,19.1,0.0,15.1
2022-08-31,33.7,19.7,0.0,13.7
2022-09-01,34.3,20.1,0.0,14.8
2022-09-02,35.0,20.9,0.0,14.8
2022-09-03,35.6,21.1,0.0,16.9
2022-09-04,34.3,21.1,0.0,13.5
2022-09-05,34.9,19.5,0.0,14.3
2022-09-06,34.3,20.7,0.0,14.0
2022-09-07,34.8,22.0,0.0,16.1
2022-09-08,35.5,22.4,0.0,15.9
2022-09-09,35.2,23.7,0.0,16.9
2022-09-10,33.4,20.4,0.0,15.3
2022-09-11,30.2,20.8,0.0,9.6
2022-09-12,29.9,19.5,0.0,12.8
2022-09-13,32.8,19.3,0.0,12.8
2022-09-14,35.6,20.9,0.0,14.8
2022-09-15,33.9,24.3,0.0,15.6
2022-09-16,32.3,16.7,0.0,10.4
2022-09-17,31.9,19.2,0.0,11.7
2022-09-18,32.3,19.6,0.0,11.8
2022-09-19,33.8,20.0,0.0,15.1
2022-09-20,34.2,20.3,0.0,15.6
2022-09-21,33.5,22.7,0.0,14.8
2022-09-22,34.0,21.3,0.0,17.1
