Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,3.5,-1.8,2.9,18.8
2022-01-02,-2.5,-9.0,5.6,21.0
2022-01-03,-5.7,-12.3,0.0,14.3
2022-01-04,2.5,-7.5,0.0,18.2
2022-01-05,3.8,-4.2,1.4,30.2
2022-01-06,-1.6,-6.8,0.0,22.4
2022-01-07,-5.6,-9.9,0.0,22.7
2022-01-08,0.1,-15.2,0.0,21.2
2022-01-09,3.3,-6.8,0.7,25.4
2022-01-10,-6.5,-12.5,1.1,29.2
2022-01-11,-4.3,-20.5,0.2,27.4
2022-01-12,2.5,-4.0,0.0,24.0
2022-01-13,0.9,-3.2,0.2,13.3
2022-01-14,-2.5,-17.0,0.0,24.5
2022-01-15,-12.8,-22.2,0.0,18.6
2022-01-16,-2.0,-16.1,0.0,15.7
2022-01-17,-3.3,-5.2,35.6,29.5
2022-01-18,-3.7,-10.3,0.9,17.0
2022-01-19,4.3,-5.5,1.3,25.0
2022-01-20,-6.8,-20.5,0.0,20.1
2022-01-21,-12.4,-24.6,0.0,9.1
2022-01-22,-5.4,-15.6,0.1,25.6
2022-01-23,-6.2,-19.0,0.3,19.4
2022-01-24,-5.9,-23.8,3.5,21.9
2022-01-25,-7.1,-18.0,0.1,17.2
2022-01-26,-9.9,-21.9,0.4,15.8
2022-01-27,-4.9,-13.2,0.0,25.7
2022-01-28,-5.6,-19.8,0.0,20.6
2022-01-29,-11.6,-23.8,0.0,15.6
2022-01-30,-6.1,-19.0,0.0,11.5
2022-01-31,-3.0,-15.0,0.1,10.4
2022-02-01,2.8,-7.4,0.0,21.9
2022-02-02,3.2,-2.5,12.2,23.2
2022-02-03,-3.0,-9.2,6.7,22.3
2022-02-04,-9.1,-14.1,1.9,17.3
2022-02-05,-9.6,-17.9,0.0,14.7
2022-02-06,-1.5,-10.6,0.1,22.5
2022-02-07,1.2,-5.7,0.0,17.5
2022-02-08,-0.9,-7.7,0.0,15.7
2022-02-09,3.6,-6.2,0.0,20.6
2022-02-10,2.5,-4.2,0.2,21.0
2022-02-11,3.0,-6.5,4.6,29.3
2022-02-12,2.0,-16.0,1.4,25.6
2022-02-13,-9.8,-21.2,0.0,11.2
2022-02-14,-9.5,-19.9,0.0,14.2
2022-02-15,-3.8,-16.0,0.1,15.9
2022-02-16,8.4,-4.8,0.6,33.2
2022-02-17,7.9,-1.1,32.1,26.6
2022-02-18,-2.0,-11.4,6.9,28.6
2022-02-19,-2.7,-14.4,2.3,38.2
2022-02-20,4.1,-15.0,0.0,32.2
2022-02-21,4.8,-1.9,0.0,21.7
2022-02-22,6.4,-1.4,13.0,23.6
2022-02-23,7.6,-11.4,0.1,27.5
2022-02-24,-5.4,-12.9,0.0,14.2
2022-02-25,-5.6,-13.2,10.2,29.3
2022-02-26,-2.2,-17.9,0.0,24.5
2022-02-27,0.6,-6.7,0.1,29.8
2022-02-28,-4.9,-14.8,0.2,15.5
2022-03-01,4.7,-4.6,2.7,17.5
2022-03-02,3.5,-6.2,0.5,23.1
2022-03-03,-1.9,-9.9,0.0,27.6
2022-03-04,2.8,-10.5,0.0,21.0
2022-03-05,2.5,-6.6,0.0,24.8
2022-03-06,18.6,0.0,6.7,44.3
2022-03-07,2.3,-1.1,8.6,19.4
2022-03-08,3.2,-4.1,1.4,19.6
2022-03-09,4.2,-4.9,0.0,11.8
2022-03-10,4.8,-4.2,0.0,14.8
2022-03-11,-0.2,-4.1,4.0,14.0
2022-03-12,-2.1,-9.1,0.4,35.3
2022-03-13,-1.2,-9.6,0.5,26.7
2022-03-14,5.6,-5.6,0.0,13.7
2022-03-15,1.4,-0.6,10.5,12.2
2022-03-16,5.3,-0.4,0.0,9.1
2022-03-17,14.6,-0.1,0.0,13.2
2022-03-18,15.2,3.2,0.2,17.2
2022-03-19,12.2,4.1,4.2,22.3
2022-03-20,10.5,1.5,1.5,26.3
2022-03-21,12.8,0.6,0.0,26.1
2022-03-22,5.8,-4.0,0.0,15.7
2022-03-23,3.5,1.1,14.6,37.1
2022-03-24,12.6,3.1,4.1,28.8
2022-03-25,6.1,1.9,0.1,21.5
2022-03-26,8.7,0.1,3.6,25.8
2022-03-27,-0.5,-8.2,1.4,27.9
2022-03-28,-4.9,-10.1,0.2,30.8
2022-03-29,3.5,-7.8,0.0,15.1
2022-03-30,2.4,-6.3,2.3,28.8
2022-03-31,16.3,3.0,2.2,33.2
2022-04-01,4.2,-2.0,1.1,25.4
2022-04-02,5.2,-4.8,0.0,14.5
2022-04-03,6.2,-0.7,2.0,21.0
2022-04-04,7.2,-2.5,0.2,14.2
2022-04-05,10.1,2.0,1.1,17.0
2022-04-06,10.4,3.8,5.1,29.6
2022-04-07,12.2,5.6,4.2,19.1
2022-04-08,9.6,0.6,1.3,20.9
2022-04-09,9.3,1.0,3.0,17.6
2022-04-10,8.1,0.2,0.0,25.2
2022-04-11,11.7,-2.7,0.7,18.3
2022-04-12,14.8,3.8,0.1,21.3
2022-04-13,22.4,6.3,1.4,25.8
2022-04-14,15.2,7.7,1.7,33.7
2022-04-15,14.6,2.8,2.7,41.8
2022-04-16,8.0,-1.5,0.9,21.4
2022-04-17,7.8,-2.0,0.8,17.7
2022-04-18,6.2,-2.5,11.6,29.6
2022-04-19,6.5,0.8,3.9,32.4
2022-04-20,9.9,-1.0,0.0,20.0
2022-04-21,16.5,3.5,5.3,26.9
2022-04-22,12.0,2.5,0.0,18.4
2022-04-23,9.5,3.8,0.6,24.9
2022-04-24,17.9,5.6,0.0,23.3
2022-04-25,21.9,8.9,11.5,18.7
2022-04-26,10.6,2.3,1.1,18.0
2022-04-27,4.2,-1.9,1.2,23.7
2022-04-28,9.1,-2.3,0.0,21.1
2022-04-29,13.1,-1.5,0.0,17.9
2022-04-30,12.9,2.2,0.0,16.4
2022-05-01,9.8,4.2,15.7,24.0
2022-05-02,13.9,7.8,1.0,14.6
2022-05-03,14.3,7.2,12.4,19.1
2022-05-04,16.5,8.1,16.3,22.0
2022-05-05,14.6,4.6,0.0,20.0
2022-05-06,14.5,7.1,0.0,20.7
2022-05-07,14.0,6.2,0.0,21.6
2022-05-08,14.4,3.8,0.0,16.0
2022-05-09,18.2,4.2,0.0,17.5
2022-05-10,20.9,6.9,0.0,15.6
2022-05-11,23.4,7.5,0.0,12.4
2022-05-12,24.1,10.4,0.0,11.3
