Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,17.6,11.5,22.4,16.4
2022-01-02,18.8,8.9,12.2,23.6
2022-01-03,8.1,-5.2,22.4,25.2
2022-01-04,0.7,-10.1,0.0,17.1
2022-01-05,5.9,-4.7,0.0,17.7
2022-01-06,4.2,0.7,0.0,15.5
2022-01-07,1.5,-8.9,5.6,21.1
2022-01-08,-0.2,-10.4,0.0,15.1
2022-01-09,8.8,-2.0,8.9,21.5
2022-01-10,6.6,-3.4,0.0,24.9
2022-01-11,-2.2,-6.2,0.0,15.9
2022-01-12,8.2,-5.1,0.0,18.3
2022-01-13,9.1,-2.3,0.0,7.7
2022-01-14,7.9,0.1,0.1,24.4
2022-01-15,1.2,-6.7,0.0,17.0
2022-01-16,3.6,-8.9,21.3,38.8
2022-01-17,7.7,-0.4,12.5,35.4
2022-01-18,3.6,-2.7,0.0,24.4
2022-01-19,10.3,-3.5,0.0,19.6
2022-01-20,7.6,-3.3,11.0,17.0
2022-01-21,-2.6,-8.9,0.0,17.6
2022-01-22,1.0,-8.7,0.0,10.4
2022-01-23,5.0,-5.1,0.0,10.6
2022-01-24,5.4,-3.9,0.0,15.9
2022-01-25,8.5,-1.1,0.0,18.2
2022-01-26,0.2,-6.5,0.0,16.0
2022-01-27,2.1,-7.7,0.1,11.4
2022-01-28,3.5,-2.2,3.5,14.2
2022-01-29,-0.3,-6.6,0.7,26.6
2022-01-30,0.1,-9.0,0.0,22.4
2022-01-31,2.5,-5.5,0.0,11.6
2022-02-01,5.3,-5.5,0.0,11.9
2022-02-02,10.1,-3.1,0.0,11.4
2022-02-03,14.2,4.8,16.5,24.3
2022-02-04,15.8,1.7,18.9,24.6
2022-02-05,0.5,-4.9,0.0,24.2
2022-02-06,2.9,-5.9,0.0,9.8
2022-02-07,5.9,-1.2,7.3,9.8
2022-02-08,6.9,-1.4,0.0,18.4
2022-02-09,11.6,-3.4,0.0,14.1
2022-02-10,14.0,0.4,0.0,25.2
2022-02-11,17.1,-2.0,0.0,21.7
2022-02-12,15.1,6.3,0.0,21.4
2022-02-13,7.5,-3.8,5.1,15.2
2022-02-14,-0.2,-5.9,0.0,18.2
2022-02-15,4.3,-6.4,0.0,9.1
2022-02-16,11.2,-2.9,0.0,16.3
2022-02-17,19.2,7.1,0.0,29.4
2022-02-18,17.5,-1.2,3.0,33.5
2022-02-19,7.9,-4.1,0.0,34.4
2022-02-20,4.9,-6.7,0.0,14.9
2022-02-21,15.7,-0.5,0.0,16.9
2022-02-22,19.0,7.3,2.8,31.3
2022-02-23,21.6,7.1,0.1,27.4
2022-02-24,5.4,0.6,8.0,16.9
2022-02-25,12.2,0.9,15.7,25.0
2022-02-26,6.9,-1.6,0.0,18.5
2022-02-27,11.4,-0.6,0.0,19.1
2022-02-28,8.6,-0.4,0.0,17.8
2022-03-01,13.5,-0.6,0.0,15.4
2022-03-02,15.9,3.1,0.0,14.4
2022-03-03,12.1,2.3,0.0,23.1
2022-03-04,6.6,-4.6,0.0,16.3
2022-03-05,15.0,0.4,0.0,16.9
2022-03-06,24.1,8.5,10.8,26.5
2022-03-07,25.0,14.6,4.2,35.8
2022-03-08,13.0,5.0,0.0,29.0
2022-03-09,7.5,3.7,11.8,15.5
2022-03-10,10.5,0.8,0.0,8.8
2022-03-11,15.3,1.3,0.0,15.9
2022-03-12,7.9,-4.7,15.5,33.3
2022-03-13,6.7,-7.0,0.0,21.3
2022-03-14,15.5,-2.8,0.0,13.6
2022-03-15,20.9,3.3,0.0,12.5
2022-03-16,21.1,4.1,0.0,16.3
2022-03-17,16.1,9.4,9.7,13.8
2022-03-18,22.8,7.2,0.0,19.1
2022-03-19,23.4,13.3,0.1,25.5
2022-03-20,14.8,8.9,0.0,30.2
2022-03-21,19.9,5.2,0.0,21.9
2022-03-22,17.7,6.8,0.0,10.8
2022-03-23,12.7,6.9,15.3,18.4
2022-03-24,17.6,10.8,15.4,19.1
2022-03-25,16.7,7.3,0.0,19.5
2022-03-26,11.3,4.5,0.5,26.5
2022-03-27,6.6,0.3,0.0,27.5
2022-03-28,2.8,-3.5,0.2,33.1
2022-03-29,7.1,-5.2,0.0,18.6
2022-03-30,15.2,-1.2,0.1,18.3
2022-03-31,22.2,10.2,3.6,36.9
2022-04-01,15.9,6.1,4.2,32.7
2022-04-02,12.7,1.5,0.0,14.8
2022-04-03,14.1,6.1,0.7,28.7
2022-04-04,14.2,1.1,0.0,16.6
2022-04-05,12.4,7.2,19.1,19.6
2022-04-06,17.3,10.3,9.2,18.6
2022-04-07,12.5,9.0,15.3,19.8
2022-04-08,16.7,5.2,2.7,18.6
2022-04-09,12.9,4.4,1.0,16.2
2022-04-10,12.4,3.0,0.0,28.2
2022-04-11,17.7,0.8,0.0,15.5
2022-04-12,24.0,10.6,0.3,18.8
2022-04-13,28.6,10.9,0.0,18.5
2022-04-14,27.0,13.0,1.4,25.0
2022-04-15,20.9,7.7,0.0,20.8
2022-04-16,25.8,13.4,2.0,22.3
2022-04-17,12.9,6.6,0.4,21.7
2022-04-18,7.8,4.4,16.0,20.6
2022-04-19,11.7,3.4,0.6,28.3
2022-04-20,15.7,2.1,0.0,13.7
2022-04-21,18.5,6.2,0.0,20.8
2022-04-22,23.0,10.2,0.0,14.7
2022-04-23,24.0,9.0,0.0,15.2
2022-04-24,25.6,10.0,0.0,19.5
2022-04-25,22.9,10.3,0.0,15.5
2022-04-26,22.7,11.0,5.9,18.1
2022-04-27,14.9,6.9,0.0,27.7
2022-04-28,14.8,1.6,0.0,21.8
2022-04-29,18.1,3.2,0.0,16.1
2022-04-30,20.0,4.8,0.0,14.5
2022-05-01,20.8,8.5,6.1,16.2
2022-05-02,27.2,12.3,0.7,14.9
2022-05-03,24.2,12.7,0.0,18.8
2022-05-04,26.4,13.1,4.2,15.3
2022-05-05,19.3,12.2,0.0,14.3
2022-05-06,16.7,11.8,33.0,17.7
2022-05-07,12.4,8.1,35.4,27.8
2022-05-08,12.7,6.9,0.1,24.2
2022-05-09,19.6,5.6,0.0,14.2
2022-05-10,21.3,8.3,0.0,17.3
2022-05-11,21.8,10.0,0.0,16.7
2022-05-12,22.9,12.0,0.0,19.6
2022-05-13,23.8,16.5,15.7,18.7
2022-05-14,20.8,16.6,19.9,13.1
2022-05-15,26.0,16.5,1.1,8.6
2022-05-16,27.1,16.8,15.9,21.5
2022-05-17,26.2,12.6,0.0,21.3
2022-05-18,23.8,11.2,0.2,13.4
2022-05-19,28.8,15.4,3.0,17.4
2022-05-20,33.2,16.7,0.0,20.2
2022-05-21,32.9,22.7,0.0,19.1
2022-05-22,33.2,21.0,5.8,15.0
2022-05-23,23.9,15.6,0.9,18.1
2022-05-24,17.9,15.0,13.2,17.3
2022-05-25,20.7,13.6,0.2,13.7
2022-05-26,23.4,13.5,0.3,14.8
2022-05-27,22.9,18.1,16.8,22.1
2022-05-28,25.9,16.8,0.8,17.2
2022-05-29,27.1,14.9,0.0,13.4
2022-05-30,31.6,17.8,0.2,12.0
2022-05-31,34.8,18.5,0.0,12.5
2022-06-01,35.1,21.4,0.0,13.4
2022-06-02,33.6,20.9,12.8,18.8
2022-06-03,26.7,17.9,0.5,18.1
2022-06-04,29.5,15.5,0.0,13.4
2022-06-05,26.0,16.3,0.0,14.9
2022-06-06,27.5,14.7,0.0,17.2
2022-06-07,28.3,16.7,2.5,25.1
2022-06-08,29.7,18.8,31.9,11.9
2022-06-09,28.9,19.1,0.4,23.4
2022-06-10,28.3,14.6,0.0,10.9
2022-06-11,24.9,17.7,3.7,14.5
2022-06-12,28.0,17.0,4.1,13.8
2022-06-13,32.4,19.7,0.3,14.8
2022-06-14,28.5,21.3,4.1,13.1
2022-06-15,32.1,18.7,0.0,13.2
2022-06-16,30.4,22.3,0.7,18.6
2022-06-17,34.7,22.4,0.1,26.9
2022-06-18,25.5,19.8,0.0,28.6
2022-06-19,26.1,13.9,0.0,23.9
2022-06-20,27.8,13.0,0.0,14.8
